,AZ_GM49_1,AZ_GM49_10,AZ_GM49_12,AZ_GM49_13,AZ_GM49_14,AZ_GM49_15,AZ_GM49_2,AZ_GM49_4,AZ_GM49_5,AZ_GM49_6,AZ_GM49_7,AZ_GM49_8
AZ_GM49_1,0.0,1.38629436111989,2.07944154167984,0.980829253011726,1.16315080980568,0.693147180559945,0.0,2.07944154167984,1.38629436111989,0.693147180559945,2.07944154167984,1.67397643357167
AZ_GM49_10,1.38629436111989,0.0,1.67397643357167,2.07944154167984,0.980829253011726,1.38629436111989,0.0,2.77258872223978,2.07944154167984,1.67397643357167,1.16315080980568,0.575364144903562
AZ_GM49_12,2.07944154167984,1.67397643357167,0.0,1.16315080980568,1.67397643357167,1.67397643357167,0.0,2.1296629463618775,2.77258872223978,2.07944154167984,2.77258872223978,1.67397643357167
AZ_GM49_13,0.980829253011726,2.07944154167984,1.16315080980568,0.0,0.980829253011726,1.16315080980568,0.0,2.77258872223978,2.07944154167984,1.38629436111989,2.07944154167984,1.67397643357167
AZ_GM49_14,1.16315080980568,0.980829253011726,1.67397643357167,0.980829253011726,0.0,1.16315080980568,0.0,2.0592939914940227,2.77258872223978,2.07944154167984,0.826678573184468,0.575364144903562
AZ_GM49_15,0.693147180559945,1.38629436111989,1.67397643357167,1.16315080980568,1.16315080980568,0.0,0.0,2.0246499524590083,2.77258872223978,0.693147180559945,1.38629436111989,1.38629436111989
AZ_GM49_2,2.024831687680226,2.24625523211112,2.13604684954798,2.210233562951208,2.1466659533528327,1.8270709133739642,0.0,2.0592939914940227,2.016721879316108,1.9264764248918966,2.1231611030473587,2.115842817242045
AZ_GM49_4,2.07944154167984,2.77258872223978,2.1874164581225024,2.77258872223978,2.197178588915414,1.9033752098003425,0.0,0.0,0.13353139262452302,1.67397643357167,2.1755706051187973,2.1688429127895517
AZ_GM49_5,1.38629436111989,2.07944154167984,2.77258872223978,2.07944154167984,2.77258872223978,2.77258872223978,0.0,0.13353139262452302,0.0,1.38629436111989,2.77258872223978,2.77258872223978
AZ_GM49_6,0.693147180559945,1.67397643357167,2.07944154167984,1.38629436111989,2.07944154167984,0.693147180559945,0.0,1.67397643357167,1.38629436111989,0.0,1.38629436111989,2.07944154167984
AZ_GM49_7,2.07944154167984,1.16315080980568,2.77258872223978,2.07944154167984,0.826678573184468,1.38629436111989,0.0,2.0592939914940227,2.77258872223978,1.38629436111989,0.0,0.826678573184468
AZ_GM49_8,1.67397643357167,0.575364144903562,1.67397643357167,1.67397643357167,0.575364144903562,1.38629436111989,0.0,2.126831097880428,2.77258872223978,2.07944154167984,0.826678573184468,0.0
AZ_GM49_9,1.67397643357167,1.38629436111989,1.67397643357167,1.38629436111989,1.67397643357167,1.16315080980568,0.0,2.0231033291371383,2.77258872223978,1.67397643357167,2.07944154167984,1.16315080980568
