,NM_GM48_1,NM_GM48_11,NM_GM48_12,NM_GM48_13,NM_GM48_14,NM_GM48_15,NM_GM48_16,NM_GM48_17,NM_GM48_18,NM_GM48_19,NM_GM48_2,NM_GM48_20
NM_GM48_1,0.0,2.293720322687847,2.00602614264157,0.0,2.0219423556601765,2.1691987659862724,2.1213914655767865,2.1536343283371853,2.1276197769421827,2.3346388490439858,1.9990626579207804,2.185431466379775
NM_GM48_11,0.0,0.0,1.16315080980568,0.0,2.77258872223978,2.169198765986273,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,2.07944154167984,2.77258872223978
NM_GM48_12,0.0,1.16315080980568,0.0,0.0,2.07944154167984,1.67397643357167,1.67397643357167,1.67397643357167,1.67397643357167,2.07944154167984,1.67397643357167,2.07944154167984
NM_GM48_13,0.0,2.293720322687847,2.0060261426415704,0.0,2.0219423556601765,2.1691987659862724,2.1213914655767865,2.1536343283371853,2.1276197769421827,2.3346388490439858,1.9990626579207804,2.1854314663797756
NM_GM48_14,0.0,2.77258872223978,2.07944154167984,0.0,0.0,2.07944154167984,1.67397643357167,1.38629436111989,1.16315080980568,1.38629436111989,0.575364144903562,2.07944154167984
NM_GM48_15,0.0,2.389266565183174,1.67397643357167,0.0,2.07944154167984,0.0,1.16315080980568,0.980829253011726,1.38629436111989,1.38629436111989,1.67397643357167,1.16315080980568
NM_GM48_16,0.0,2.77258872223978,1.67397643357167,0.0,1.67397643357167,1.16315080980568,0.0,0.287682072451781,0.20763936477824396,0.826678573184468,0.826678573184468,0.20763936477824396
NM_GM48_17,0.0,2.77258872223978,1.67397643357167,0.0,1.38629436111989,0.980829253011726,0.287682072451781,0.0,0.287682072451781,0.980829253011726,0.826678573184468,0.287682072451781
NM_GM48_18,0.0,2.77258872223978,1.67397643357167,0.0,1.16315080980568,1.38629436111989,0.20763936477824396,0.287682072451781,0.0,0.980829253011726,0.575364144903562,0.374693449441411
NM_GM48_19,0.0,2.77258872223978,2.07944154167984,0.0,1.38629436111989,1.38629436111989,0.826678573184468,0.980829253011726,0.980829253011726,0.0,1.67397643357167,0.826678573184468
NM_GM48_2,0.0,2.07944154167984,1.67397643357167,0.0,0.575364144903562,1.67397643357167,0.826678573184468,0.826678573184468,0.575364144903562,1.67397643357167,0.0,0.980829253011726
NM_GM48_20,0.0,2.77258872223978,2.07944154167984,0.0,2.07944154167984,1.16315080980568,0.20763936477824396,0.287682072451781,0.374693449441411,0.826678573184468,0.980829253011726,0.0
NM_GM48_21,0.0,2.564462441628608,2.07944154167984,0.0,1.16315080980568,1.38629436111989,0.470003629245736,0.374693449441411,0.470003629245736,0.826678573184468,1.16315080980568,0.693147180559945
NM_GM48_3,0.0,2.07944154167984,1.67397643357167,0.0,0.693147180559945,1.16315080980568,1.38629436111989,0.980829253011726,1.16315080980568,0.575364144903562,1.16315080980568,1.38629436111989
NM_GM48_4,0.0,2.551830931939013,2.77258872223978,0.0,0.693147180559945,1.16315080980568,0.980829253011726,0.826678573184468,0.693147180559945,0.826678573184468,1.38629436111989,1.16315080980568
NM_GM48_5,0.0,2.77258872223978,1.67397643357167,0.0,1.16315080980568,1.16315080980568,0.287682072451781,0.20763936477824396,0.0645385211375712,1.16315080980568,0.575364144903562,0.470003629245736
NM_GM48_6,0.0,2.77258872223978,2.07944154167984,0.0,0.980829253011726,1.67397643357167,0.980829253011726,0.826678573184468,0.826678573184468,0.374693449441411,1.38629436111989,0.980829253011726
NM_GM48_7,0.0,2.77258872223978,1.67397643357167,0.0,1.38629436111989,1.38629436111989,0.13353139262452302,0.374693449441411,0.0645385211375712,0.826678573184468,0.693147180559945,0.287682072451781
NM_GM48_8,0.0,2.77258872223978,1.67397643357167,0.0,1.16315080980568,1.38629436111989,0.374693449441411,0.470003629245736,0.13353139262452302,1.16315080980568,0.575364144903562,0.575364144903562
NM_GM48_9,0.0,2.07944154167984,1.67397643357167,0.0,0.980829253011726,1.67397643357167,0.470003629245736,0.575364144903562,0.20763936477824396,1.16315080980568,0.374693449441411,0.693147180559945
