,CA_GM33_10,CA_GM33_11a,CA_GM33_12a,CA_GM33_12b,CA_GM33_13a,CA_GM33_14,CA_GM33_15,CA_GM33_16,CA_GM33_21b,CA_GM33_22a,CA_GM33_22b,CA_GM33_27
CA_GM33_10,0.0,0.693147180559945,0.693147180559945,0.980829253011726,1.38629436111989,0.826678573184468,1.38629436111989,0.0,1.38629436111989,1.16315080980568,1.16315080980568,1.16315080980568
CA_GM33_11a,0.693147180559945,0.0,0.826678573184468,0.470003629245736,0.826678573184468,0.980829253011726,0.980829253011726,0.0,1.16315080980568,2.07944154167984,1.67397643357167,1.16315080980568
CA_GM33_12a,0.693147180559945,0.826678573184468,0.0,0.980829253011726,0.826678573184468,0.980829253011726,1.38629436111989,0.0,1.16315080980568,1.38629436111989,1.16315080980568,1.38629436111989
CA_GM33_12b,0.980829253011726,0.470003629245736,0.980829253011726,0.0,0.575364144903562,0.826678573184468,0.693147180559945,0.0,1.16315080980568,1.38629436111989,1.67397643357167,1.16315080980568
CA_GM33_13a,1.38629436111989,0.826678573184468,0.826678573184468,0.575364144903562,0.0,0.980829253011726,0.693147180559945,0.0,0.826678573184468,0.980829253011726,0.826678573184468,1.38629436111989
CA_GM33_14,0.826678573184468,0.980829253011726,0.980829253011726,0.826678573184468,0.980829253011726,0.0,0.980829253011726,0.0,0.826678573184468,0.575364144903562,0.693147180559945,1.67397643357167
CA_GM33_15,1.38629436111989,0.980829253011726,1.38629436111989,0.693147180559945,0.693147180559945,0.980829253011726,0.0,0.0,2.07944154167984,1.16315080980568,1.38629436111989,2.07944154167984
CA_GM33_16,1.9714706646945275,1.9154932239308875,2.0460961364666077,1.9820930913581465,1.925225436622884,1.9231599546987141,2.0098550073022956,0.0,1.9256607443636236,2.0362154133803614,1.951447145351331,1.7484772659061625
CA_GM33_21b,1.38629436111989,1.16315080980568,1.16315080980568,1.16315080980568,0.826678573184468,0.826678573184468,2.07944154167984,0.0,0.0,0.374693449441411,0.374693449441411,1.38629436111989
CA_GM33_22a,1.16315080980568,2.07944154167984,1.38629436111989,1.38629436111989,0.980829253011726,0.575364144903562,1.16315080980568,0.0,0.374693449441411,0.0,0.287682072451781,1.38629436111989
CA_GM33_22b,1.16315080980568,1.67397643357167,1.16315080980568,1.67397643357167,0.826678573184468,0.693147180559945,1.38629436111989,0.0,0.374693449441411,0.287682072451781,0.0,1.38629436111989
CA_GM33_27,1.16315080980568,1.16315080980568,1.38629436111989,1.16315080980568,1.38629436111989,1.67397643357167,2.07944154167984,0.0,1.38629436111989,1.38629436111989,1.38629436111989,0.0
CA_GM33_31,1.38629436111989,1.16315080980568,0.826678573184468,1.16315080980568,1.38629436111989,2.07944154167984,2.07944154167984,0.0,1.38629436111989,2.07944154167984,2.07944154167984,1.16315080980568
CA_GM33_32,2.07944154167984,0.693147180559945,1.16315080980568,0.826678573184468,0.826678573184468,0.575364144903562,1.38629436111989,0.0,0.575364144903562,0.826678573184468,0.826678573184468,1.38629436111989
CA_GM33_37,1.971470664694528,1.9154932239308873,2.0460961364666077,1.9820930913581465,1.9252254366228838,1.9231599546987141,2.009855007302295,0.0,1.9256607443636233,2.0362154133803614,1.951447145351331,1.7484772659061627
CA_GM33_3a,0.980829253011726,0.575364144903562,0.20763936477824396,0.693147180559945,0.693147180559945,0.980829253011726,1.16315080980568,0.0,0.980829253011726,1.38629436111989,1.16315080980568,1.67397643357167
CA_GM33_4,0.693147180559945,1.16315080980568,0.20763936477824396,0.980829253011726,0.575364144903562,0.826678573184468,1.38629436111989,0.0,0.693147180559945,0.826678573184468,0.693147180559945,1.16315080980568
CA_GM33_5,1.38629436111989,1.38629436111989,0.826678573184468,1.67397643357167,0.826678573184468,0.693147180559945,1.16315080980568,0.0,1.16315080980568,1.16315080980568,0.693147180559945,2.07944154167984
CA_GM33_6,0.980829253011726,1.38629436111989,0.826678573184468,1.16315080980568,0.826678573184468,0.470003629245736,1.16315080980568,0.0,1.16315080980568,0.826678573184468,0.980829253011726,2.07944154167984
CA_GM33_9a,2.044684658366472,1.930476422705582,2.049143565323411,2.77258872223978,2.77258872223978,2.0007890529643038,1.9791591422671138,0.0,2.07944154167984,2.77258872223978,1.9514471453513302,1.8420705746291286
