,CA_GM27_1,CA_GM27_10,CA_GM27_11,CA_GM27_12a,CA_GM27_12b,CA_GM27_12c,CA_GM27_2,CA_GM27_3,CA_GM27_4,CA_GM27_5a,CA_GM27_5b,CA_GM27_5c
CA_GM27_1,0.0,0.980829253011726,0.693147180559945,0.980829253011726,1.67397643357167,1.16315080980568,0.575364144903562,0.575364144903562,0.693147180559945,0.980829253011726,0.0,0.980829253011726
CA_GM27_10,0.980829253011726,0.0,1.16315080980568,1.67397643357167,1.67397643357167,2.07944154167984,1.67397643357167,1.16315080980568,1.38629436111989,1.67397643357167,0.0,1.67397643357167
CA_GM27_11,0.693147180559945,1.16315080980568,0.0,0.980829253011726,1.67397643357167,1.38629436111989,0.980829253011726,0.826678573184468,0.980829253011726,0.693147180559945,0.0,0.980829253011726
CA_GM27_12a,0.980829253011726,1.67397643357167,0.980829253011726,0.0,0.826678573184468,0.13353139262452302,0.980829253011726,0.470003629245736,0.575364144903562,0.374693449441411,0.0,0.470003629245736
CA_GM27_12b,1.67397643357167,1.67397643357167,1.67397643357167,0.826678573184468,0.0,0.693147180559945,1.38629436111989,1.16315080980568,1.16315080980568,1.38629436111989,0.0,1.16315080980568
CA_GM27_12c,1.16315080980568,2.07944154167984,1.38629436111989,0.13353139262452302,0.693147180559945,0.0,0.980829253011726,0.575364144903562,0.575364144903562,0.575364144903562,0.0,0.470003629245736
CA_GM27_2,0.575364144903562,1.67397643357167,0.980829253011726,0.980829253011726,1.38629436111989,0.980829253011726,0.0,0.980829253011726,0.826678573184468,0.826678573184468,0.0,0.980829253011726
CA_GM27_3,0.575364144903562,1.16315080980568,0.826678573184468,0.470003629245736,1.16315080980568,0.575364144903562,0.980829253011726,0.0,0.0645385211375712,0.693147180559945,0.0,0.826678573184468
CA_GM27_4,0.693147180559945,1.38629436111989,0.980829253011726,0.575364144903562,1.16315080980568,0.575364144903562,0.826678573184468,0.0645385211375712,0.0,0.826678573184468,0.0,0.826678573184468
CA_GM27_5a,0.980829253011726,1.67397643357167,0.693147180559945,0.374693449441411,1.38629436111989,0.575364144903562,0.826678573184468,0.693147180559945,0.826678573184468,0.0,0.0,0.13353139262452302
CA_GM27_5b,1.703663587552509,1.752928996246474,1.6876348628948763,1.7467317057579395,1.9275784057094199,1.6943001365033445,1.8809424237881243,1.7790425444169864,1.8229101912369625,1.7265123716407555,0.0,1.7054525489411416
CA_GM27_5c,0.980829253011726,1.67397643357167,0.980829253011726,0.470003629245736,1.16315080980568,0.470003629245736,0.980829253011726,0.826678573184468,0.826678573184468,0.13353139262452302,0.0,0.0
CA_GM27_6,0.287682072451781,0.980829253011726,0.980829253011726,0.693147180559945,1.38629436111989,0.826678573184468,0.374693449441411,0.575364144903562,0.693147180559945,0.693147180559945,0.0,0.693147180559945
CA_GM27_7,0.980829253011726,0.287682072451781,0.980829253011726,1.38629436111989,1.38629436111989,1.67397643357167,1.38629436111989,0.980829253011726,1.16315080980568,1.38629436111989,0.0,1.67397643357167
CA_GM27_8,2.77258872223978,1.38629436111989,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,1.67397643357167,2.77258872223978,2.07944154167984,2.77258872223978,0.0,2.77258872223978
CA_GM27_9,1.67397643357167,1.16315080980568,2.07944154167984,2.07944154167984,2.77258872223978,2.77258872223978,2.07944154167984,2.07944154167984,2.77258872223978,2.07944154167984,0.0,2.77258872223978
