,CA_GM21_1,CA_GM21_10,CA_GM21_11,CA_GM21_12,CA_GM21_13,CA_GM21_15,CA_GM21_16,CA_GM21_17a,CA_GM21_17b,CA_GM21_17c,CA_GM21_2,CA_GM21_3
CA_GM21_1,0.0,1.7201048838661395,2.3840990196292733,2.150684434574236,0.0,1.8388096419541273,1.7391387824515727,1.8645728114871916,1.8789265833463948,1.8627568923074382,0.0,0.0
CA_GM21_10,0.0,0.0,2.77258872223978,1.67397643357167,0.0,1.16315080980568,0.980829253011726,0.826678573184468,0.980829253011726,0.980829253011726,0.0,0.0
CA_GM21_11,0.0,2.77258872223978,0.0,0.980829253011726,0.0,2.07944154167984,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,0.0,0.0
CA_GM21_12,0.0,1.67397643357167,0.980829253011726,0.0,0.0,2.07944154167984,2.07944154167984,1.67397643357167,2.07944154167984,2.77258872223978,0.0,0.0
CA_GM21_13,0.0,1.7201048838661395,2.3840990196292737,2.150684434574237,0.0,1.8388096419541275,1.7391387824515727,1.864572811487192,1.8789265833463953,1.8627568923074382,0.0,0.0
CA_GM21_15,0.0,1.16315080980568,2.07944154167984,2.07944154167984,0.0,0.0,0.980829253011726,1.38629436111989,1.38629436111989,1.16315080980568,0.0,0.0
CA_GM21_16,0.0,0.980829253011726,2.77258872223978,2.07944154167984,0.0,0.980829253011726,0.0,0.575364144903562,0.470003629245736,0.575364144903562,0.0,0.0
CA_GM21_17a,0.0,0.826678573184468,2.77258872223978,1.67397643357167,0.0,1.38629436111989,0.575364144903562,0.0,0.0645385211375712,0.374693449441411,0.0,0.0
CA_GM21_17b,0.0,0.980829253011726,2.77258872223978,2.07944154167984,0.0,1.38629436111989,0.470003629245736,0.0645385211375712,0.0,0.287682072451781,0.0,0.0
CA_GM21_17c,0.0,0.980829253011726,2.77258872223978,2.77258872223978,0.0,1.16315080980568,0.575364144903562,0.374693449441411,0.287682072451781,0.0,0.0,0.0
CA_GM21_2,0.0,1.7201048838661395,2.3840990196292737,2.1506844345742366,0.0,1.8388096419541273,1.739138782451573,1.8645728114871916,1.878926583346395,1.8627568923074385,0.0,0.0
CA_GM21_3,0.0,1.7201048838661395,2.3840990196292733,2.1506844345742366,0.0,1.8388096419541269,1.7391387824515725,1.8645728114871916,1.8789265833463948,1.8627568923074382,0.0,0.0
CA_GM21_4,0.0,1.16315080980568,2.07944154167984,2.77258872223978,0.0,0.575364144903562,0.575364144903562,0.826678573184468,0.826678573184468,0.980829253011726,0.0,0.0
CA_GM21_5a,0.0,2.07944154167984,2.384099019629274,2.77258872223978,0.0,0.980829253011726,0.980829253011726,1.16315080980568,1.16315080980568,0.980829253011726,0.0,0.0
CA_GM21_5b,0.0,1.38629436111989,2.3840990196292733,2.77258872223978,0.0,1.16315080980568,1.16315080980568,0.980829253011726,0.980829253011726,0.980829253011726,0.0,0.0
CA_GM21_6,0.0,0.980829253011726,2.77258872223978,2.07944154167984,0.0,0.575364144903562,0.470003629245736,0.826678573184468,0.826678573184468,0.693147180559945,0.0,0.0
CA_GM21_7a,0.0,1.38629436111989,2.07944154167984,2.07944154167984,0.0,1.38629436111989,0.980829253011726,0.980829253011726,0.826678573184468,1.16315080980568,0.0,0.0
CA_GM21_7b,0.0,2.07944154167984,2.07944154167984,2.07944154167984,0.0,1.38629436111989,0.826678573184468,1.16315080980568,0.980829253011726,0.980829253011726,0.0,0.0
CA_GM21_8,0.0,1.16315080980568,1.67397643357167,0.980829253011726,0.0,0.826678573184468,0.980829253011726,0.826678573184468,0.980829253011726,1.38629436111989,0.0,0.0
CA_GM21_9,0.0,0.575364144903562,2.4053549906210177,2.77258872223978,0.0,0.980829253011726,0.470003629245736,0.826678573184468,0.693147180559945,0.826678573184468,0.0,0.0
