,CA_GM29_10b,CA_GM29_11,CA_GM29_12,CA_GM29_13,CA_GM29_14,CA_GM29_16b,CA_GM29_17a,CA_GM29_17b,CA_GM29_18a,CA_GM29_18c,CA_GM29_18d,CA_GM29_1a
CA_GM29_10b,0.0,1.16315080980568,1.38629436111989,2.07944154167984,2.07944154167984,1.67397643357167,0.980829253011726,1.67397643357167,2.77258872223978,0.980829253011726,0.826678573184468,1.38629436111989
CA_GM29_11,1.16315080980568,0.0,0.826678573184468,1.16315080980568,0.826678573184468,0.287682072451781,0.980829253011726,2.77258872223978,2.1683075335443784,0.980829253011726,0.980829253011726,0.470003629245736
CA_GM29_12,1.38629436111989,0.826678573184468,0.0,1.16315080980568,0.826678573184468,0.826678573184468,1.38629436111989,2.07944154167984,2.07944154167984,0.826678573184468,1.16315080980568,0.826678573184468
CA_GM29_13,2.07944154167984,1.16315080980568,1.16315080980568,0.0,0.980829253011726,0.693147180559945,1.38629436111989,2.07944154167984,2.77258872223978,0.980829253011726,0.980829253011726,0.826678573184468
CA_GM29_14,2.07944154167984,0.826678573184468,0.826678573184468,0.980829253011726,0.0,0.470003629245736,1.16315080980568,2.07944154167984,2.0120785753831036,0.693147180559945,0.693147180559945,0.575364144903562
CA_GM29_16b,1.67397643357167,0.287682072451781,0.826678573184468,0.693147180559945,0.470003629245736,0.0,0.826678573184468,2.77258872223978,2.012078575383103,0.693147180559945,0.693147180559945,0.575364144903562
CA_GM29_17a,0.980829253011726,0.980829253011726,1.38629436111989,1.38629436111989,1.16315080980568,0.826678573184468,0.0,2.07944154167984,2.77258872223978,1.38629436111989,1.16315080980568,0.980829253011726
CA_GM29_17b,1.67397643357167,2.77258872223978,2.07944154167984,2.07944154167984,2.07944154167984,2.77258872223978,2.07944154167984,0.0,0.980829253011726,2.77258872223978,2.07944154167984,2.07944154167984
CA_GM29_18a,2.77258872223978,1.9187436504559363,2.07944154167984,2.77258872223978,2.0018312084523004,1.9038657168686626,2.77258872223978,0.980829253011726,0.0,2.77258872223978,2.77258872223978,2.0004109666245076
CA_GM29_18c,0.980829253011726,0.980829253011726,0.826678573184468,0.980829253011726,0.693147180559945,0.693147180559945,1.38629436111989,2.77258872223978,2.77258872223978,0.0,0.20763936477824396,0.980829253011726
CA_GM29_18d,0.826678573184468,0.980829253011726,1.16315080980568,0.980829253011726,0.693147180559945,0.693147180559945,1.16315080980568,2.07944154167984,2.77258872223978,0.20763936477824396,0.0,0.826678573184468
CA_GM29_1a,1.38629436111989,0.470003629245736,0.826678573184468,0.826678573184468,0.575364144903562,0.575364144903562,0.980829253011726,2.07944154167984,2.2521016121862574,0.980829253011726,0.826678573184468,0.0
CA_GM29_1b,1.38629436111989,0.693147180559945,0.980829253011726,0.575364144903562,0.693147180559945,0.575364144903562,0.826678573184468,2.07944154167984,2.189633669607401,1.16315080980568,0.980829253011726,0.20763936477824396
CA_GM29_2a,1.67397643357167,0.20763936477824396,0.980829253011726,0.826678573184468,0.575364144903562,0.0645385211375712,0.980829253011726,2.77258872223978,2.274892389818117,0.693147180559945,0.693147180559945,0.470003629245736
CA_GM29_3,1.38629436111989,0.693147180559945,0.826678573184468,0.575364144903562,0.575364144903562,0.575364144903562,0.826678573184468,2.07944154167984,2.279788280111675,1.16315080980568,0.980829253011726,0.13353139262452302
CA_GM29_4,1.16315080980568,1.16315080980568,0.826678573184468,1.16315080980568,0.575364144903562,0.693147180559945,1.67397643357167,2.77258872223978,2.77258872223978,0.470003629245736,0.693147180559945,0.980829253011726
CA_GM29_5,2.07944154167984,0.980829253011726,1.16315080980568,0.13353139262452302,0.980829253011726,0.575364144903562,1.38629436111989,2.07944154167984,2.77258872223978,0.980829253011726,0.980829253011726,0.826678573184468
CA_GM29_6,1.67397643357167,0.287682072451781,0.826678573184468,0.693147180559945,0.470003629245736,0.0,0.826678573184468,2.77258872223978,2.012078575383103,0.693147180559945,0.693147180559945,0.575364144903562
CA_GM29_8,0.826678573184468,1.16315080980568,1.38629436111989,2.07944154167984,1.16315080980568,1.38629436111989,0.693147180559945,2.77258872223978,2.77258872223978,1.38629436111989,1.67397643357167,1.67397643357167
CA_GM29_9,0.980829253011726,2.07944154167984,2.07944154167984,2.77258872223978,2.07944154167984,2.07944154167984,2.77258872223978,0.980829253011726,1.67397643357167,2.07944154167984,1.67397643357167,2.77258872223978
