,NM_GM42_10,NM_GM42_11,NM_GM42_12,NM_GM42_13,NM_GM42_16,NM_GM42_17,NM_GM42_18,NM_GM42_20,NM_GM42_21,NM_GM42_22,NM_GM42_23,NM_GM42_24
NM_GM42_10,0.0,0.0,2.026046053870226,2.0297979159987345,0.0,2.06089901914276,0.0,2.098939112529411,0.0,1.792885618885003,1.7695867340344293,1.7695867340344293
NM_GM42_11,0.0,0.0,2.026046053870226,2.0297979159987345,0.0,2.0608990191427603,0.0,2.098939112529411,0.0,1.7928856188850033,1.7695867340344296,1.7695867340344296
NM_GM42_12,0.0,0.0,0.0,0.980829253011726,0.0,0.826678573184468,0.0,1.38629436111989,0.0,1.67397643357167,1.67397643357167,1.67397643357167
NM_GM42_13,0.0,0.0,0.980829253011726,0.0,0.0,0.13353139262452302,0.0,0.575364144903562,0.0,0.693147180559945,0.980829253011726,0.980829253011726
NM_GM42_16,0.0,0.0,2.0260460538702265,2.0297979159987345,0.0,2.0608990191427607,0.0,2.098939112529411,0.0,1.7928856188850035,1.76958673403443,1.76958673403443
NM_GM42_17,0.0,0.0,0.826678573184468,0.13353139262452302,0.0,0.0,0.0,0.575364144903562,0.0,0.575364144903562,0.826678573184468,0.826678573184468
NM_GM42_18,0.0,0.0,2.0260460538702256,2.029797915998734,0.0,2.06089901914276,0.0,2.0989391125294103,0.0,1.792885618885003,1.7695867340344296,1.7695867340344296
NM_GM42_20,0.0,0.0,1.38629436111989,0.575364144903562,0.0,0.575364144903562,0.0,0.0,0.0,0.826678573184468,0.980829253011726,0.980829253011726
NM_GM42_21,0.0,0.0,2.026046053870226,2.0297979159987345,0.0,2.0608990191427603,0.0,2.098939112529411,0.0,1.7928856188850033,1.7695867340344296,1.7695867340344296
NM_GM42_22,0.0,0.0,1.67397643357167,0.693147180559945,0.0,0.575364144903562,0.0,0.826678573184468,0.0,0.0,0.13353139262452302,0.13353139262452302
NM_GM42_23,0.0,0.0,1.67397643357167,0.980829253011726,0.0,0.826678573184468,0.0,0.980829253011726,0.0,0.13353139262452302,0.0,0.0
NM_GM42_24,0.0,0.0,1.67397643357167,0.980829253011726,0.0,0.826678573184468,0.0,0.980829253011726,0.0,0.13353139262452302,0.0,0.0
NM_GM42_25,0.0,0.0,2.026046053870226,2.0297979159987345,0.0,2.0608990191427603,0.0,2.098939112529411,0.0,1.7928856188850033,1.7695867340344296,1.7695867340344296
NM_GM42_26,0.0,0.0,1.67397643357167,0.826678573184468,0.0,0.826678573184468,0.0,0.980829253011726,0.0,0.374693449441411,0.20763936477824396,0.20763936477824396
NM_GM42_28,0.0,0.0,1.67397643357167,0.826678573184468,0.0,0.693147180559945,0.0,0.575364144903562,0.0,0.287682072451781,0.470003629245736,0.470003629245736
NM_GM42_3,0.0,0.0,0.826678573184468,0.575364144903562,0.0,0.470003629245736,0.0,1.16315080980568,0.0,0.980829253011726,1.16315080980568,1.16315080980568
NM_GM42_4,0.0,0.0,2.026046053870226,2.0297979159987345,0.0,2.0608990191427603,0.0,2.098939112529411,0.0,1.7928856188850033,1.7695867340344298,1.7695867340344298
NM_GM42_5,0.0,0.0,0.287682072451781,0.826678573184468,0.0,0.980829253011726,0.0,0.826678573184468,0.0,1.38629436111989,1.38629436111989,1.38629436111989
NM_GM42_8,0.0,0.0,1.16315080980568,1.38629436111989,0.0,1.38629436111989,0.0,0.693147180559945,0.0,1.38629436111989,1.67397643357167,1.67397643357167
NM_GM42_9,0.0,0.0,2.0260460538702256,2.029797915998735,0.0,2.0608990191427603,0.0,2.0989391125294103,0.0,1.7928856188850033,1.7695867340344296,1.7695867340344296
