,CA_Sol_JC_PJ81_1,CA_Sol_JC_PJ81_12,CA_Sol_JC_PJ81_3,CA_Sol_JC_PJ81_4,CA_Sol_JC_PJ81_5,CA_Sol_JC_PJ81_7,CA_Sol_JC_PJ81_9,CA_Sol_JC_PJ82_11,CA_Sol_JC_PJ82_12,CA_Sol_JC_PJ82_4,CA_Sol_JC_PJ82_7,CA_Sol_JC_PJ82_9
CA_Sol_JC_PJ81_1,0,0.461345567,1.423906072,0,0,0,0,2.463626843,0,1.69271798,2.280504645,2.240483291
CA_Sol_JC_PJ81_12,0.461345567,0,1.606227629,0,0,0,0,2.240483291,0,1.944032408,1.587357465,1.652696626
CA_Sol_JC_PJ81_3,1.423906072,1.606227629,0,0,0,0,0,1.732867951,0,1.331056553,2.006528101,2.543798168
CA_Sol_JC_PJ81_4,1.731604075,1.801076782,1.901145732,0,0,0,0,1.699721886,0,1.856641999,2.006528101,1.96225184
CA_Sol_JC_PJ81_5,1.731604075,1.801076782,1.901145732,0,0,0,0,1.699721886,0,1.856641999,2.006528101,1.96225184
CA_Sol_JC_PJ81_7,1.731604075,1.801076782,1.901145732,0,0,0,0,1.699721886,0,1.856641999,2.006528101,1.96225184
CA_Sol_JC_PJ81_9,1.731604075,1.801076782,1.901145732,0,0,0,0,1.699721886,0,1.856641999,2.006528101,1.96225184
CA_Sol_JC_PJ82_11,2.463626843,2.240483291,1.732867951,0,0,0,0,0,0,0.775728149,1.138633643,1.473305738
CA_Sol_JC_PJ82_12,1.731604075,1.801076782,1.901145732,0,0,0,0,1.699721886,0,1.856641999,2.006528101,1.96225184
CA_Sol_JC_PJ82_4,1.69271798,1.944032408,1.331056553,0,0,0,0,0.775728149,0,0,0.860201265,0.915490091
CA_Sol_JC_PJ82_7,2.280504645,1.587357465,1.901145732,0,0,0,0,1.138633643,0,0.860201265,0,0.579017855
CA_Sol_JC_PJ82_9,2.240483291,1.652696626,2.543798168,0,0,0,0,1.473305738,0,0.915490091,0.579017855,0
