,CA_ED_JHxJR_PJ73_10,CA_ED_JHxJR_PJ73_12,CA_ED_JHxJR_PJ73_4,CA_ED_JHxJR_PJ73_5,CA_ED_JHxJR_PJ73_6,CA_ED_JHxJR_PJ73_8,CA_ED_JHxJR_PJ73_9,CA_ED_JHxJR_PJ74_11,CA_ED_JHxJR_PJ74_12,CA_ED_JHxJR_PJ74_5,CA_ED_JHxJR_PJ74_6,CA_ED_JHxJR_PJ74_8
CA_ED_JHxJR_PJ73_10,0,1.173954525,1.155084361,1.215708982,0,0,0,0,1.911205423,0,0,0
CA_ED_JHxJR_PJ73_12,1.173954525,0,0.637909372,0.792060052,0,0,0,0,1.641707173,0,0,0
CA_ED_JHxJR_PJ73_4,1.155084361,0.637909372,0,0.655406853,0,0,0,0,1.740620045,0,0,0
CA_ED_JHxJR_PJ73_5,1.215708982,0.792060052,0.655406853,0,0,0,0,0,1.422166314,0,0,0
CA_ED_JHxJR_PJ73_6,1.879646682,1.774586061,1.703042482,1.65632743,0,0,0,0,1.871375392,0,0,0
CA_ED_JHxJR_PJ73_8,1.879646682,1.774586061,1.703042482,1.65632743,0,0,0,0,1.871375392,0,0,0
CA_ED_JHxJR_PJ73_9,1.879646682,1.774586061,1.703042482,1.65632743,0,0,0,0,1.871375392,0,0,0
CA_ED_JHxJR_PJ74_11,1.879646682,1.774586061,1.703042482,1.65632743,0,0,0,0,1.871375392,0,0,0
CA_ED_JHxJR_PJ74_12,1.911205423,1.641707173,1.740620045,1.422166314,0,0,0,0,0,0,0,0
CA_ED_JHxJR_PJ74_5,1.879646682,1.774586061,1.703042482,1.65632743,0,0,0,0,1.871375392,0,0,0
CA_ED_JHxJR_PJ74_6,1.879646682,1.774586061,1.703042482,1.65632743,0,0,0,0,1.871375392,0,0,0
CA_ED_JHxJR_PJ74_8,1.879646682,1.774586061,1.703042482,1.65632743,0,0,0,0,1.871375392,0,0,0
