,CA_GM34_1,CA_GM34_10,CA_GM34_11,CA_GM34_12,CA_GM34_13,CA_GM34_14,CA_GM34_15,CA_GM34_16,CA_GM34_17,CA_GM34_18,CA_GM34_19a,CA_GM34_19b
CA_GM34_1,0.0,2.07944154167984,2.2047500447944013,0.0,1.16315080980568,1.96752411864355,2.257178111104242,2.77258872223978,2.77258872223978,0.0,2.3103276341365184,2.296368806099786
CA_GM34_10,2.07944154167984,0.0,1.38629436111989,0.0,2.77258872223978,1.67397643357167,0.826678573184468,1.16315080980568,2.07944154167984,0.0,0.287682072451781,0.374693449441411
CA_GM34_11,2.1641490876105043,1.38629436111989,0.0,0.0,2.07944154167984,0.826678573184468,1.16315080980568,1.16315080980568,0.980829253011726,0.0,1.67397643357167,1.16315080980568
CA_GM34_12,2.174669051415009,1.9385715844488376,1.9046086614619924,0.0,2.2037210863910044,1.8346484650099824,1.9378536282138719,1.9105279013188488,1.9311559429378342,0.0,1.9520753322425544,1.9192875266166092
CA_GM34_13,1.16315080980568,2.77258872223978,2.07944154167984,0.0,0.0,2.07944154167984,2.77258872223978,2.77258872223978,2.77258872223978,0.0,2.77258872223978,2.77258872223978
CA_GM34_14,2.1652044723794495,1.67397643357167,0.826678573184468,0.0,2.07944154167984,0.0,1.16315080980568,1.38629436111989,1.16315080980568,0.0,2.07944154167984,1.38629436111989
CA_GM34_15,2.3766143125417565,0.826678573184468,1.16315080980568,0.0,2.77258872223978,1.16315080980568,0.0,1.38629436111989,0.980829253011726,0.0,0.826678573184468,0.693147180559945
CA_GM34_16,2.77258872223978,1.16315080980568,1.16315080980568,0.0,2.77258872223978,1.38629436111989,1.38629436111989,0.0,0.980829253011726,0.0,1.16315080980568,0.980829253011726
CA_GM34_17,2.77258872223978,2.07944154167984,0.980829253011726,0.0,2.77258872223978,1.16315080980568,0.980829253011726,0.980829253011726,0.0,0.0,2.77258872223978,1.67397643357167
CA_GM34_18,2.174669051415009,1.9385715844488374,1.9046086614619926,0.0,2.2037210863910044,1.8346484650099821,1.9378536282138719,1.9105279013188483,1.931155942937834,0.0,1.9520753322425541,1.9192875266166094
CA_GM34_19a,2.286789655537609,0.287682072451781,1.67397643357167,0.0,2.77258872223978,2.07944154167984,0.826678573184468,1.16315080980568,2.77258872223978,0.0,0.0,0.20763936477824396
