,CA_GM34_1,CA_GM34_10,CA_GM34_11,CA_GM34_12,CA_GM34_13,CA_GM34_14,CA_GM34_15,CA_GM34_16,CA_GM34_17,CA_GM34_18,CA_GM34_19a,CA_GM34_19b
CA_GM34_2b,2.77258872223978,1.16315080980568,1.38629436111989,0.0,2.496902019591328,0.980829253011726,0.826678573184468,1.16315080980568,0.575364144903562,0.0,1.67397643357167,1.67397643357167
CA_GM34_3,2.07944154167984,1.16315080980568,0.980829253011726,0.0,2.77258872223978,0.980829253011726,0.575364144903562,0.980829253011726,0.693147180559945,0.0,1.67397643357167,1.38629436111989
CA_GM34_30,2.1746690514150084,1.9385715844488371,1.9046086614619926,0.0,2.2037210863910044,1.8346484650099824,1.9378536282138719,1.9105279013188483,1.9311559429378338,0.0,1.952075332242554,1.919287526616609
CA_GM34_31,2.1746690514150084,1.9385715844488376,1.9046086614619921,0.0,2.203721086391004,1.8346484650099821,1.9378536282138716,1.9105279013188485,1.9311559429378338,0.0,1.9520753322425537,1.919287526616609
CA_GM34_32,2.411980723539798,0.826678573184468,0.980829253011726,0.0,2.07944154167984,0.980829253011726,0.980829253011726,0.693147180559945,0.980829253011726,0.0,0.826678573184468,0.470003629245736
CA_GM34_4a,2.1746690514150093,1.38629436111989,1.16315080980568,0.0,2.1793663341223635,1.16315080980568,0.980829253011726,0.980829253011726,0.980829253011726,0.0,1.38629436111989,1.16315080980568
CA_GM34_4b,2.2693792415087564,0.980829253011726,1.16315080980568,0.0,2.2485154555925235,1.38629436111989,0.826678573184468,1.38629436111989,0.826678573184468,0.0,1.16315080980568,0.980829253011726
CA_GM34_7,2.4060469537741596,0.693147180559945,1.67397643357167,0.0,2.07944154167984,1.67397643357167,0.826678573184468,0.826678573184468,2.07944154167984,0.0,0.374693449441411,0.287682072451781
CA_GM34_8a,2.77258872223978,0.20763936477824396,1.38629436111989,0.0,2.07944154167984,1.38629436111989,0.575364144903562,1.38629436111989,1.38629436111989,0.0,0.374693449441411,0.374693449441411
CA_GM34_8b,2.77258872223978,0.826678573184468,1.38629436111989,0.0,1.67397643357167,1.38629436111989,0.826678573184468,1.38629436111989,1.67397643357167,0.0,0.980829253011726,1.38629436111989
