,CA_GM30_1,CA_GM30_10,CA_GM30_11,CA_GM30_12,CA_GM30_13a,CA_GM30_13c,CA_GM30_13d,CA_GM30_14a,CA_GM30_14b,CA_GM30_14c,CA_GM30_2,CA_GM30_3
CA_GM30_1,0.0,0.20763936477824396,0.0645385211375712,0.13353139262452302,1.16315080980568,0.980829253011726,1.38629436111989,1.67397643357167,2.77258872223978,1.67397643357167,0.826678573184468,1.38629436111989
CA_GM30_10,0.20763936477824396,0.0,0.13353139262452302,0.20763936477824396,1.16315080980568,0.980829253011726,1.38629436111989,1.67397643357167,2.77258872223978,1.67397643357167,0.826678573184468,1.38629436111989
CA_GM30_11,0.0645385211375712,0.13353139262452302,0.0,0.0645385211375712,0.980829253011726,0.826678573184468,1.16315080980568,1.38629436111989,2.77258872223978,1.67397643357167,0.693147180559945,1.16315080980568
CA_GM30_12,0.13353139262452302,0.20763936477824396,0.0645385211375712,0.0,0.980829253011726,0.826678573184468,1.16315080980568,1.38629436111989,2.77258872223978,1.67397643357167,0.693147180559945,1.16315080980568
CA_GM30_13a,1.16315080980568,1.16315080980568,0.980829253011726,0.980829253011726,0.0,0.13353139262452302,0.287682072451781,1.38629436111989,1.38629436111989,2.07944154167984,0.374693449441411,0.575364144903562
CA_GM30_13c,0.980829253011726,0.980829253011726,0.826678573184468,0.826678573184468,0.13353139262452302,0.0,0.287682072451781,1.16315080980568,1.67397643357167,2.77258872223978,0.374693449441411,0.575364144903562
CA_GM30_13d,1.38629436111989,1.38629436111989,1.16315080980568,1.16315080980568,0.287682072451781,0.287682072451781,0.0,1.16315080980568,1.67397643357167,2.07944154167984,0.693147180559945,0.693147180559945
CA_GM30_14a,1.67397643357167,1.67397643357167,1.38629436111989,1.38629436111989,1.38629436111989,1.16315080980568,1.16315080980568,0.0,2.77258872223978,2.07944154167984,0.980829253011726,1.38629436111989
CA_GM30_14b,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,1.38629436111989,1.67397643357167,1.67397643357167,2.77258872223978,0.0,0.575364144903562,2.230812318974075,2.07944154167984
CA_GM30_14c,1.67397643357167,1.67397643357167,1.67397643357167,1.67397643357167,2.07944154167984,2.77258872223978,2.07944154167984,2.07944154167984,0.575364144903562,0.0,2.07944154167984,1.8191974403632791
CA_GM30_2,0.826678573184468,0.826678573184468,0.693147180559945,0.693147180559945,0.374693449441411,0.374693449441411,0.693147180559945,0.980829253011726,2.270386183789547,2.07944154167984,0.0,0.980829253011726
CA_GM30_3,1.38629436111989,1.38629436111989,1.16315080980568,1.16315080980568,0.575364144903562,0.575364144903562,0.693147180559945,1.38629436111989,2.07944154167984,2.6203874554457802,0.980829253011726,0.0
CA_GM30_4,0.0645385211375712,0.13353139262452302,0.0,0.0645385211375712,0.980829253011726,0.826678573184468,1.16315080980568,1.38629436111989,2.77258872223978,1.67397643357167,0.693147180559945,1.16315080980568
CA_GM30_5a,0.693147180559945,0.826678573184468,0.693147180559945,0.693147180559945,1.16315080980568,0.980829253011726,1.38629436111989,1.67397643357167,2.77258872223978,2.35074882153752,1.16315080980568,0.980829253011726
CA_GM30_5b,0.980829253011726,0.980829253011726,0.826678573184468,0.826678573184468,0.20763936477824396,0.0645385211375712,0.20763936477824396,0.980829253011726,1.67397643357167,2.77258872223978,0.470003629245736,0.470003629245736
CA_GM30_6,0.980829253011726,1.16315080980568,0.826678573184468,0.693147180559945,0.980829253011726,0.826678573184468,1.16315080980568,0.980829253011726,2.07944154167984,2.07944154167984,0.826678573184468,1.38629436111989
CA_GM30_7a,2.2714375483866776,2.3126138229727866,2.263531022531864,2.2663869889291,2.07944154167984,2.07944154167984,2.77258872223978,2.07944154167984,0.980829253011726,1.16315080980568,2.4853981104229423,1.67397643357167
CA_GM30_7b,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,1.38629436111989,1.67397643357167,1.67397643357167,2.07944154167984,0.374693449441411,0.470003629245736,2.259588495951857,2.07944154167984
CA_GM30_8,1.67397643357167,2.07944154167984,1.67397643357167,1.67397643357167,1.38629436111989,1.38629436111989,0.826678573184468,0.980829253011726,2.07944154167984,2.77258872223978,1.67397643357167,1.16315080980568
CA_GM30_9,1.38629436111989,1.38629436111989,1.16315080980568,1.16315080980568,0.693147180559945,0.575364144903562,1.16315080980568,0.575364144903562,2.07944154167984,2.2292903639267565,0.693147180559945,0.980829253011726
