,AZ_GM40_1,AZ_GM40_10,AZ_GM40_11,AZ_GM40_12,AZ_GM40_13,AZ_GM40_14,AZ_GM40_15,AZ_GM40_16,AZ_GM40_2,AZ_GM40_3,AZ_GM40_4,AZ_GM40_5
AZ_GM40_1,0.0,1.16315080980568,2.77258872223978,0.575364144903562,0.287682072451781,2.77258872223978,2.383944564258083,0.980829253011726,1.67397643357167,2.07944154167984,0.470003629245736,0.693147180559945
AZ_GM40_10,1.16315080980568,0.0,1.67397643357167,0.287682072451781,0.826678573184468,1.67397643357167,2.77258872223978,1.67397643357167,2.77258872223978,2.368527160788688,0.575364144903562,0.20763936477824396
AZ_GM40_11,2.77258872223978,1.67397643357167,0.0,1.67397643357167,2.07944154167984,2.07944154167984,2.77258872223978,2.07944154167984,2.77258872223978,2.77258872223978,2.07944154167984,2.07944154167984
AZ_GM40_12,0.575364144903562,0.287682072451781,1.67397643357167,0.0,0.374693449441411,1.38629436111989,2.77258872223978,1.38629436111989,2.07944154167984,2.525603941149505,0.20763936477824396,0.20763936477824396
AZ_GM40_13,0.287682072451781,0.826678573184468,2.07944154167984,0.374693449441411,0.0,1.38629436111989,2.77258872223978,0.980829253011726,2.07944154167984,2.77258872223978,0.287682072451781,0.693147180559945
AZ_GM40_14,2.77258872223978,1.67397643357167,2.07944154167984,1.38629436111989,1.38629436111989,0.0,1.67397643357167,2.77258872223978,0.20763936477824396,2.77258872223978,1.67397643357167,1.67397643357167
AZ_GM40_15,2.1764175965553196,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,1.67397643357167,0.0,2.77258872223978,2.07944154167984,0.20763936477824396,2.0355935018104305,2.0207784047939255
AZ_GM40_16,0.980829253011726,1.67397643357167,2.07944154167984,1.38629436111989,0.980829253011726,2.77258872223978,2.77258872223978,0.0,2.77258872223978,2.07944154167984,1.16315080980568,1.38629436111989
AZ_GM40_2,1.67397643357167,2.77258872223978,2.77258872223978,2.07944154167984,2.07944154167984,0.20763936477824396,2.07944154167984,2.77258872223978,0.0,2.07944154167984,1.67397643357167,1.67397643357167
AZ_GM40_3,2.07944154167984,2.0610335224790592,2.77258872223978,1.9603977401682375,2.77258872223978,2.77258872223978,0.20763936477824396,2.07944154167984,2.07944154167984,0.0,2.77258872223978,2.77258872223978
AZ_GM40_4,0.470003629245736,0.575364144903562,2.07944154167984,0.20763936477824396,0.287682072451781,1.67397643357167,2.562674999203712,1.16315080980568,1.67397643357167,2.77258872223978,0.0,0.287682072451781
AZ_GM40_5,0.693147180559945,0.20763936477824396,2.07944154167984,0.20763936477824396,0.693147180559945,1.67397643357167,2.4145045821135707,1.38629436111989,1.67397643357167,2.77258872223978,0.287682072451781,0.0
AZ_GM40_6,0.693147180559945,0.20763936477824396,2.07944154167984,0.20763936477824396,0.693147180559945,1.67397643357167,2.4145045821135707,1.38629436111989,1.67397643357167,2.77258872223978,0.287682072451781,0.0
AZ_GM40_7,1.67397643357167,1.16315080980568,2.77258872223978,1.16315080980568,2.07944154167984,2.1965965112811254,1.67397643357167,2.07944154167984,2.77258872223978,1.38629436111989,1.16315080980568,0.980829253011726
AZ_GM40_8,2.1749173051614576,1.9984138305011956,2.045567084902779,1.8889216984758692,2.1073910097164927,2.1965965112811254,2.3479344101536457,2.193711409268115,2.259012199097262,2.2302580683196807,1.9038345069181009,1.9226517000625423
AZ_GM40_9,1.67397643357167,1.67397643357167,1.38629436111989,1.38629436111989,2.07944154167984,2.77258872223978,1.67397643357167,1.67397643357167,2.07944154167984,1.16315080980568,1.38629436111989,1.16315080980568
