,UT_GM2_1,UT_GM2_11,UT_GM2_15a,UT_GM2_15b,UT_GM2_16,UT_GM2_18a,UT_GM2_18b,UT_GM2_2,UT_GM2_20,UT_GM2_6,UT_GM2_7,UT_GM2_8
UT_GM2_1,0.0,2.07944154167984,2.77258872223978,0.0,2.77258872223978,1.67397643357167,2.07944154167984,0.826678573184468,0.575364144903562,1.38629436111989,2.77258872223978,2.77258872223978
UT_GM2_11,2.07944154167984,0.0,0.693147180559945,0.0,0.470003629245736,0.287682072451781,0.980829253011726,2.07944154167984,2.07944154167984,1.38629436111989,1.16315080980568,1.38629436111989
UT_GM2_15a,2.77258872223978,0.693147180559945,0.0,0.0,0.826678573184468,1.16315080980568,1.38629436111989,2.77258872223978,2.77258872223978,1.67397643357167,0.374693449441411,2.07944154167984
UT_GM2_15b,2.0036899449371206,1.8993542214067753,1.800220464550332,0.0,1.8294649821649243,1.7443071992951977,1.8192889076927812,2.077324588100645,2.047762968427747,1.6379282499812544,1.7453654679175565,1.9240665947280382
UT_GM2_16,2.77258872223978,0.470003629245736,0.826678573184468,0.0,0.0,0.575364144903562,0.693147180559945,1.67397643357167,1.67397643357167,0.826678573184468,0.980829253011726,0.980829253011726
UT_GM2_18a,1.67397643357167,0.287682072451781,1.16315080980568,0.0,0.575364144903562,0.0,0.693147180559945,2.07944154167984,2.07944154167984,0.980829253011726,0.980829253011726,0.980829253011726
UT_GM2_18b,2.07944154167984,0.980829253011726,1.38629436111989,0.0,0.693147180559945,0.693147180559945,0.0,1.38629436111989,1.38629436111989,0.287682072451781,0.980829253011726,2.07944154167984
UT_GM2_2,0.826678573184468,2.07944154167984,2.77258872223978,0.0,1.67397643357167,2.07944154167984,1.38629436111989,0.0,0.13353139262452302,1.16315080980568,2.77258872223978,2.192999694901413
UT_GM2_20,0.575364144903562,2.07944154167984,2.77258872223978,0.0,1.67397643357167,2.07944154167984,1.38629436111989,0.13353139262452302,0.0,0.980829253011726,2.77258872223978,2.3702993978953826
UT_GM2_6,1.38629436111989,1.38629436111989,1.67397643357167,0.0,0.826678573184468,0.980829253011726,0.287682072451781,1.16315080980568,0.980829253011726,0.0,1.16315080980568,2.07944154167984
UT_GM2_7,2.77258872223978,1.16315080980568,0.374693449441411,0.0,0.980829253011726,0.980829253011726,0.980829253011726,2.77258872223978,2.77258872223978,1.16315080980568,0.0,1.67397643357167
UT_GM2_8,2.77258872223978,1.38629436111989,2.07944154167984,0.0,0.980829253011726,0.980829253011726,2.07944154167984,2.077324588100645,2.0477629684277465,2.07944154167984,1.67397643357167,0.0
UT_GM2_9a,2.07944154167984,0.0645385211375712,0.826678573184468,0.0,0.374693449441411,0.20763936477824396,0.826678573184468,2.07944154167984,2.07944154167984,1.16315080980568,0.980829253011726,1.16315080980568
UT_GM2_9b,2.07944154167984,0.287682072451781,1.16315080980568,0.0,0.374693449441411,0.287682072451781,1.16315080980568,2.77258872223978,2.77258872223978,1.38629436111989,1.38629436111989,0.826678573184468
