,CA_GM28_1a,CA_GM28_1b,CA_GM28_1c,CA_GM28_2,CA_GM28_3a,CA_GM28_3b,CA_GM28_3c,CA_GM28_4
CA_GM28_1a,0.0,0.20763936477824396,0.287682072451781,0.575364144903562,0.693147180559945,0.0,1.67397643357167,1.67397643357167
CA_GM28_1b,0.20763936477824396,0.0,0.374693449441411,0.575364144903562,0.826678573184468,0.0,2.07944154167984,2.77258872223978
CA_GM28_1c,0.287682072451781,0.374693449441411,0.0,0.575364144903562,0.693147180559945,0.0,1.38629436111989,1.67397643357167
CA_GM28_2,0.575364144903562,0.575364144903562,0.575364144903562,0.0,0.826678573184468,0.0,2.07944154167984,1.16315080980568
CA_GM28_3a,0.693147180559945,0.826678573184468,0.693147180559945,0.826678573184468,0.0,0.0,0.980829253011726,1.38629436111989
CA_GM28_3b,1.8314135865348857,1.7177712393290379,1.8296330350579213,1.752221633422293,1.756491837987429,0.0,1.9261682248513752,1.842492230267677
CA_GM28_3c,1.67397643357167,2.07944154167984,1.38629436111989,2.07944154167984,0.980829253011726,0.0,0.0,1.38629436111989
CA_GM28_4,1.67397643357167,2.77258872223978,1.67397643357167,1.16315080980568,1.38629436111989,0.0,1.38629436111989,0.0
