,NM_GM43_11,NM_GM43_13,NM_GM43_14,NM_GM43_15,NM_GM43_16,NM_GM43_17,NM_GM43_19,NM_GM43_2,NM_GM43_20,NM_GM43_22,NM_GM43_23,NM_GM43_24
NM_GM43_11,0.0,0.693147180559945,0.980829253011726,2.22033141484095,2.1714259276296355,0.826678573184468,2.07944154167984,1.67397643357167,0.470003629245736,2.07944154167984,0.470003629245736,0.470003629245736
NM_GM43_13,0.693147180559945,0.0,0.470003629245736,1.67397643357167,1.67397643357167,0.287682072451781,1.16315080980568,1.16315080980568,0.287682072451781,1.16315080980568,0.575364144903562,0.287682072451781
NM_GM43_14,0.980829253011726,0.470003629245736,0.0,2.07944154167984,1.67397643357167,0.13353139262452302,1.38629436111989,0.826678573184468,0.693147180559945,1.38629436111989,0.980829253011726,0.287682072451781
NM_GM43_15,2.159424828906731,1.67397643357167,2.07944154167984,0.0,0.826678573184468,1.67397643357167,1.67397643357167,1.38629436111989,1.67397643357167,2.07944154167984,1.67397643357167,2.07944154167984
NM_GM43_16,2.159072747009118,1.67397643357167,1.67397643357167,0.826678573184468,0.0,1.38629436111989,1.67397643357167,1.38629436111989,1.67397643357167,2.07944154167984,2.07944154167984,2.07944154167984
NM_GM43_17,0.826678573184468,0.287682072451781,0.13353139262452302,1.67397643357167,1.38629436111989,0.0,1.16315080980568,0.693147180559945,0.470003629245736,1.38629436111989,0.826678573184468,0.287682072451781
NM_GM43_19,2.07944154167984,1.16315080980568,1.38629436111989,1.67397643357167,1.67397643357167,1.16315080980568,0.0,1.67397643357167,0.826678573184468,0.20763936477824396,1.16315080980568,1.16315080980568
NM_GM43_2,1.67397643357167,1.16315080980568,0.826678573184468,1.38629436111989,1.38629436111989,0.693147180559945,1.67397643357167,0.0,1.16315080980568,2.77258872223978,2.07944154167984,0.980829253011726
NM_GM43_20,0.470003629245736,0.287682072451781,0.693147180559945,1.67397643357167,1.67397643357167,0.470003629245736,0.826678573184468,1.16315080980568,0.0,1.16315080980568,0.470003629245736,0.287682072451781
NM_GM43_22,2.07944154167984,1.16315080980568,1.38629436111989,2.07944154167984,2.07944154167984,1.38629436111989,0.20763936477824396,2.77258872223978,1.16315080980568,0.0,0.980829253011726,1.16315080980568
NM_GM43_23,0.470003629245736,0.575364144903562,0.980829253011726,1.67397643357167,2.07944154167984,0.826678573184468,1.16315080980568,2.07944154167984,0.470003629245736,0.980829253011726,0.0,0.470003629245736
NM_GM43_24,0.470003629245736,0.287682072451781,0.287682072451781,2.07944154167984,2.07944154167984,0.287682072451781,1.16315080980568,0.980829253011726,0.287682072451781,1.16315080980568,0.470003629245736,0.0
NM_GM43_25,2.0911213678708704,1.8691634952406786,2.0152684099775655,2.296615916369783,2.1092351101054736,1.9697145823077844,1.7020371818393636,2.1956114083274234,1.8191592833469084,1.8521681978992268,2.022603448653023,1.927477079837376
NM_GM43_27,1.67397643357167,1.16315080980568,0.980829253011726,0.470003629245736,1.16315080980568,0.826678573184468,1.38629436111989,0.470003629245736,0.980829253011726,2.07944154167984,1.67397643357167,0.980829253011726
NM_GM43_28,2.77258872223978,1.67397643357167,1.16315080980568,0.980829253011726,0.826678573184468,1.38629436111989,2.07944154167984,0.826678573184468,1.67397643357167,1.67397643357167,1.16315080980568,1.67397643357167
NM_GM43_29,0.826678573184468,0.374693449441411,0.20763936477824396,1.67397643357167,1.16315080980568,0.0645385211375712,1.16315080980568,0.693147180559945,0.470003629245736,1.67397643357167,0.826678573184468,0.374693449441411
NM_GM43_5,0.20763936477824396,0.470003629245736,0.980829253011726,2.285076268716647,2.174404020697906,0.826678573184468,1.67397643357167,2.07944154167984,0.575364144903562,2.07944154167984,0.693147180559945,0.693147180559945
NM_GM43_6,0.575364144903562,0.374693449441411,0.826678573184468,2.77258872223978,2.77258872223978,0.826678573184468,1.16315080980568,1.38629436111989,0.20763936477824396,1.38629436111989,0.575364144903562,0.374693449441411
NM_GM43_7,0.575364144903562,0.374693449441411,0.826678573184468,1.67397643357167,1.67397643357167,0.575364144903562,0.693147180559945,1.38629436111989,0.0645385211375712,0.980829253011726,0.575364144903562,0.374693449441411
NM_GM43_8,0.575364144903562,0.374693449441411,0.826678573184468,1.67397643357167,1.67397643357167,0.575364144903562,0.826678573184468,1.38629436111989,0.0645385211375712,1.16315080980568,0.575364144903562,0.374693449441411
