,CA_GM20_1,CA_GM20_10,CA_GM20_11,CA_GM20_12a,CA_GM20_12b,CA_GM20_13,CA_GM20_14,CA_GM20_15,CA_GM20_2,CA_GM20_3,CA_GM20_4,CA_GM20_5
CA_GM20_1,0.0,1.67397643357167,1.38629436111989,1.16315080980568,1.67397643357167,1.16315080980568,1.38629436111989,2.07944154167984,0.0,1.16315080980568,1.67397643357167,0.470003629245736
CA_GM20_10,1.67397643357167,0.0,0.980829253011726,0.693147180559945,0.980829253011726,0.826678573184468,0.575364144903562,1.16315080980568,0.0,1.38629436111989,2.77258872223978,1.67397643357167
CA_GM20_11,1.38629436111989,0.980829253011726,0.0,0.826678573184468,0.980829253011726,0.693147180559945,0.693147180559945,0.826678573184468,0.0,1.67397643357167,2.77258872223978,1.38629436111989
CA_GM20_12a,1.16315080980568,0.693147180559945,0.826678573184468,0.0,0.826678573184468,1.16315080980568,0.980829253011726,1.67397643357167,0.0,1.67397643357167,2.77258872223978,1.67397643357167
CA_GM20_12b,1.67397643357167,0.980829253011726,0.980829253011726,0.826678573184468,0.0,0.693147180559945,0.826678573184468,0.826678573184468,0.0,1.38629436111989,2.07944154167984,1.67397643357167
CA_GM20_13,1.16315080980568,0.826678573184468,0.693147180559945,1.16315080980568,0.693147180559945,0.0,0.826678573184468,0.826678573184468,0.0,1.38629436111989,2.271343517732611,1.38629436111989
CA_GM20_14,1.38629436111989,0.575364144903562,0.693147180559945,0.980829253011726,0.826678573184468,0.826678573184468,0.0,0.980829253011726,0.0,0.980829253011726,2.07944154167984,1.38629436111989
CA_GM20_15,2.07944154167984,1.16315080980568,0.826678573184468,1.67397643357167,0.826678573184468,0.826678573184468,0.980829253011726,0.0,0.0,2.77258872223978,2.07944154167984,2.07944154167984
CA_GM20_2,1.770531138792427,1.8266487644999503,1.6837417428633867,1.8584449600200192,1.886652335184169,1.8598080462743203,1.7225388392516099,1.8141761996418815,0.0,1.860751217726716,2.0004925879319115,1.6870885289242195
CA_GM20_3,1.16315080980568,1.38629436111989,1.67397643357167,1.67397643357167,1.38629436111989,1.38629436111989,0.980829253011726,2.77258872223978,0.0,0.0,2.77258872223978,1.16315080980568
CA_GM20_4,1.67397643357167,2.77258872223978,2.77258872223978,2.77258872223978,2.07944154167984,1.9422680671739154,2.07944154167984,2.07944154167984,0.0,2.77258872223978,0.0,1.67397643357167
CA_GM20_5,0.470003629245736,1.67397643357167,1.38629436111989,1.67397643357167,1.67397643357167,1.38629436111989,1.38629436111989,2.07944154167984,0.0,1.16315080980568,1.67397643357167,0.0
CA_GM20_6,0.826678573184468,2.77258872223978,1.67397643357167,2.07944154167984,2.77258872223978,1.67397643357167,2.07944154167984,2.07944154167984,0.0,1.67397643357167,1.38629436111989,1.16315080980568
CA_GM20_7,0.826678573184468,0.693147180559945,1.67397643357167,0.980829253011726,1.16315080980568,1.38629436111989,1.16315080980568,1.16315080980568,0.0,1.67397643357167,1.38629436111989,0.826678573184468
CA_GM20_8,2.07944154167984,2.77258872223978,1.16315080980568,2.07944154167984,2.77258872223978,2.07944154167984,2.07944154167984,1.67397643357167,0.0,1.9687449275085551,1.67397643357167,2.07944154167984
CA_GM20_9,1.38629436111989,0.693147180559945,0.980829253011726,0.374693449441411,0.826678573184468,0.980829253011726,1.16315080980568,1.67397643357167,0.0,1.67397643357167,2.3252808417319013,1.38629436111989
