,CA_GM7_1,CA_GM7_10,CA_GM7_11,CA_GM7_15,CA_GM7_17,CA_GM7_19,CA_GM7_20,CA_GM7_22,CA_GM7_3,CA_GM7_4,CA_GM7_5,CA_GM7_6
CA_GM7_1,0.0,0.20763936477824396,1.38629436111989,1.67397643357167,0.0645385211375712,0.980829253011726,1.16315080980568,0.980829253011726,0.575364144903562,0.470003629245736,0.575364144903562,1.16315080980568
CA_GM7_10,0.20763936477824396,0.0,1.16315080980568,1.38629436111989,0.13353139262452302,1.16315080980568,0.980829253011726,0.826678573184468,0.575364144903562,0.374693449441411,0.470003629245736,1.16315080980568
CA_GM7_11,1.38629436111989,1.16315080980568,0.0,0.470003629245736,1.16315080980568,2.2702957412354916,1.7966763065715345,2.07944154167984,2.07944154167984,1.67397643357167,1.67397643357167,2.77258872223978
CA_GM7_15,1.67397643357167,1.38629436111989,0.470003629245736,0.0,1.38629436111989,2.287073842645593,2.0824889205123243,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,2.3904362709977574
CA_GM7_17,0.0645385211375712,0.13353139262452302,1.16315080980568,1.38629436111989,0.0,1.16315080980568,1.16315080980568,0.826678573184468,0.693147180559945,0.575364144903562,0.693147180559945,1.16315080980568
CA_GM7_19,0.980829253011726,1.16315080980568,1.9510397839915612,1.8831261839802222,1.16315080980568,0.0,0.980829253011726,1.16315080980568,0.980829253011726,1.16315080980568,1.67397643357167,1.67397643357167
CA_GM7_20,1.16315080980568,0.980829253011726,2.315504616440073,2.192320577751234,1.16315080980568,0.980829253011726,0.0,1.38629436111989,0.980829253011726,0.980829253011726,0.980829253011726,1.16315080980568
CA_GM7_22,0.980829253011726,0.826678573184468,2.07944154167984,2.77258872223978,0.826678573184468,1.16315080980568,1.38629436111989,0.0,0.826678573184468,0.980829253011726,0.826678573184468,0.20763936477824396
CA_GM7_3,0.575364144903562,0.575364144903562,2.07944154167984,2.77258872223978,0.693147180559945,0.980829253011726,0.980829253011726,0.826678573184468,0.0,0.470003629245736,0.693147180559945,0.980829253011726
CA_GM7_4,0.470003629245736,0.374693449441411,1.67397643357167,2.77258872223978,0.575364144903562,1.16315080980568,0.980829253011726,0.980829253011726,0.470003629245736,0.0,0.287682072451781,1.16315080980568
CA_GM7_5,0.575364144903562,0.470003629245736,1.67397643357167,2.77258872223978,0.693147180559945,1.67397643357167,0.980829253011726,0.826678573184468,0.693147180559945,0.287682072451781,0.0,0.693147180559945
CA_GM7_6,1.16315080980568,1.16315080980568,2.77258872223978,2.431387406743985,1.16315080980568,1.67397643357167,1.16315080980568,0.20763936477824396,0.980829253011726,1.16315080980568,0.693147180559945,0.0
CA_GM7_7,1.6529670626491877,1.591944342127101,1.9510397839915612,1.8831261839802227,1.6172620892511367,1.9587891193095786,1.7138601110493237,1.7626043349912464,1.7213161503671484,1.708410537376323,1.702135974154203,1.8341082794665402
CA_GM7_8,0.826678573184468,0.826678573184468,2.07944154167984,2.77258872223978,0.826678573184468,2.07944154167984,0.980829253011726,0.470003629245736,0.826678573184468,0.980829253011726,0.575364144903562,0.374693449441411
CA_GM7_9,0.693147180559945,0.826678573184468,2.07944154167984,2.77258872223978,0.826678573184468,0.980829253011726,1.38629436111989,0.826678573184468,0.575364144903562,0.693147180559945,0.575364144903562,0.980829253011726
