,CA_LA_JC_PJ51_1,CA_LA_JC_PJ51_10,CA_LA_JC_PJ51_11,CA_LA_JC_PJ51_12,CA_LA_JC_PJ51_13,CA_LA_JC_PJ51_14,CA_LA_JC_PJ51_15,CA_LA_JC_PJ51_16,CA_LA_JC_PJ51_17,CA_LA_JC_PJ51_18,CA_LA_JC_PJ51_19,CA_LA_JC_PJ51_2,CA_LA_JC_PJ51_20,CA_LA_JC_PJ51_21,CA_LA_JC_PJ51_22,CA_LA_JC_PJ51_23,CA_LA_JC_PJ51_24,CA_LA_JC_PJ51_3,CA_LA_JC_PJ51_4,CA_LA_JC_PJ51_5,CA_LA_JC_PJ51_6,CA_LA_JC_PJ51_7,CA_LA_JC_PJ51_8,CA_LA_JC_PJ51_9,CA_LA_JC_PJ52_1,CA_LA_JC_PJ52_10,CA_LA_JC_PJ52_11,CA_LA_JC_PJ52_12,CA_LA_JC_PJ52_13,CA_LA_JC_PJ52_14,CA_LA_JC_PJ52_15,CA_LA_JC_PJ52_16,CA_LA_JC_PJ52_17,CA_LA_JC_PJ52_18,CA_LA_JC_PJ52_19,CA_LA_JC_PJ52_2,CA_LA_JC_PJ52_20,CA_LA_JC_PJ52_22,CA_LA_JC_PJ52_23,CA_LA_JC_PJ52_24,CA_LA_JC_PJ52_3,CA_LA_JC_PJ52_4,CA_LA_JC_PJ52_5,CA_LA_JC_PJ52_6,CA_LA_JC_PJ52_7,CA_LA_JC_PJ52_8,CA_LA_JC_PJ52_9
CA_LA_JC_PJ51_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ51_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ51_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ51_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ51_4,NA,NA,NA,NA,1.58902691517397,1.44518587894808,NA,3.13454814185313,NA,NA,2.03593585318502,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.464356625936356,1.36514317127455,1.40670535838002,NA,NA,NA,NA,1.49371673536965,NA,NA,NA,NA,NA,1.96531221568935,1.92529086185258,NA,NA,NA,NA,NA,1.47330573810952,NA,NA,NA,NA
CA_LA_JC_PJ51_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ51_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ51_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ51_8,NA,NA,NA,NA,1.242453324894,0.944461608840852,NA,1.32163748277973,NA,NA,1.4886915674429,NA,NA,NA,NA,NA,NA,NA,0.464356625936356,NA,NA,NA,0,1.34992671694902,0.731627701128009,NA,NA,NA,NA,1.06013176810005,NA,NA,NA,NA,NA,1.33105655295759,1.85065098705625,NA,NA,NA,NA,NA,1.85065098705625,NA,NA,NA,NA
CA_LA_JC_PJ51_9,NA,NA,NA,NA,1.87106198431637,1.90954250488444,NA,1.80714529856143,NA,NA,2.50029247912138,NA,NA,NA,NA,NA,NA,NA,1.36514317127455,NA,NA,NA,1.34992671694902,0,1.87106198431637,NA,NA,NA,NA,1.75327894865999,NA,NA,NA,NA,NA,1.33105655295759,2.32065461630198,NA,NA,NA,NA,NA,2.32065461630198,NA,NA,NA,NA
