,UT_Ca_JN_PJ17_1,UT_Ca_JN_PJ17_10,UT_Ca_JN_PJ17_11,UT_Ca_JN_PJ17_12,UT_Ca_JN_PJ17_13,UT_Ca_JN_PJ17_14,UT_Ca_JN_PJ17_15,UT_Ca_JN_PJ17_16,UT_Ca_JN_PJ17_17,UT_Ca_JN_PJ17_18,UT_Ca_JN_PJ17_19,UT_Ca_JN_PJ17_2,UT_Ca_JN_PJ17_20,UT_Ca_JN_PJ17_21,UT_Ca_JN_PJ17_22,UT_Ca_JN_PJ17_23,UT_Ca_JN_PJ17_24,UT_Ca_JN_PJ17_3,UT_Ca_JN_PJ17_4,UT_Ca_JN_PJ17_5,UT_Ca_JN_PJ17_6,UT_Ca_JN_PJ17_7,UT_Ca_JN_PJ17_8,UT_Ca_JN_PJ17_9,UT_Ca_JN_PJ18_1,UT_Ca_JN_PJ18_10,UT_Ca_JN_PJ18_11,UT_Ca_JN_PJ18_12,UT_Ca_JN_PJ18_13,UT_Ca_JN_PJ18_14,UT_Ca_JN_PJ18_15,UT_Ca_JN_PJ18_16,UT_Ca_JN_PJ18_17,UT_Ca_JN_PJ18_18,UT_Ca_JN_PJ18_19,UT_Ca_JN_PJ18_2,UT_Ca_JN_PJ18_20,UT_Ca_JN_PJ18_21,UT_Ca_JN_PJ18_22,UT_Ca_JN_PJ18_23,UT_Ca_JN_PJ18_24,UT_Ca_JN_PJ18_3,UT_Ca_JN_PJ18_4,UT_Ca_JN_PJ18_5,UT_Ca_JN_PJ18_6,UT_Ca_JN_PJ18_7,UT_Ca_JN_PJ18_8,UT_Ca_JN_PJ18_9
UT_Ca_JN_PJ17_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_23,1.90885616297845,NA,1.30921902120626,NA,NA,1.09792594676212,NA,NA,NA,NA,NA,1.6661022550876,NA,NA,NA,0,NA,1.19609862584187,0.864843520292839,1.38629436111989,1.32963001846639,NA,1.21570898241851,NA,NA,NA,1.05790459292536,NA,1.17568762858174,2.13523707438407,1.68571261166424,1.50339105487029,1.70754608499049,2.02277719902633,1.94591014905531,NA,2.41814095347574,NA,2.19653823543023,0.897255251299972,1.92772632696988,2.11301119309865,NA,NA,NA,NA,NA,1.62441145061808
UT_Ca_JN_PJ17_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_3,2.5453390008849,NA,0.847089570444596,NA,NA,1.15904463976501,NA,NA,NA,NA,NA,1.02165124753198,NA,NA,NA,1.19609862584187,NA,0,1.68364791499324,1.88924580640181,1.20397280432594,NA,1.44672671221679,NA,NA,NA,1.49371673536965,NA,1.81217046648818,2.26089428852452,3.23848618144484,2.13987389277673,3.15495913911326,2.81341071676004,2.58239298696176,NA,1.10871364232687,NA,NA,1.44672671221679,3.25735634543627,0.670052489325258,NA,NA,NA,NA,NA,1.0371188569024
UT_Ca_JN_PJ17_4,2.39640545212982,NA,1.66323691773311,NA,NA,1.36678603494866,NA,NA,NA,NA,NA,1.34717567837202,NA,NA,NA,0.864843520292839,NA,1.68364791499324,0,0.67560152065431,0.654028497812079,NA,1.01011109100993,NA,NA,NA,1.3267646811119,NA,1.88638046904732,1.64195711052371,1.36678603494866,1.92640182288409,1.61973122923829,2.59993864686739,1.96345580896095,NA,1.87607082544595,NA,1.92640182288409,1.17263002050771,2.63841916743546,1.03194456433618,NA,NA,NA,NA,NA,0.612337693342553
UT_Ca_JN_PJ17_5,NA,NA,1.00383737165508,NA,NA,1.34924037504303,NA,NA,NA,NA,NA,0.672850482077319,NA,NA,NA,1.38629436111989,NA,1.88924580640181,0.67560152065431,0,1.02424836891521,NA,1.04385872549185,NA,NA,NA,2.56198198970163,NA,3.25512917026157,1.28793921399686,1.50339105487029,3.98829770465829,2.29533274989261,1.6661022550876,1.7227665977411,NA,1.50185022160158,NA,2.6020033435384,2.6020033435384,2.21540839942166,1.33982130486517,NA,NA,NA,NA,NA,1.21894634250991
UT_Ca_JN_PJ17_6,2.83302107333668,NA,1.94570185911271,NA,NA,1.85219182032495,NA,NA,NA,NA,NA,1.83258146374831,NA,NA,NA,1.32963001846639,NA,1.20397280432594,0.654028497812079,1.02424836891521,0,NA,0.376285300515373,NA,NA,NA,1.49371673536965,NA,1.6943874308318,2.07857273173057,1.44672671221679,1.98572321294947,1.45021104687483,2.52572864430826,1.77146277074543,NA,1.80186082288681,NA,2.5453390008849,1.22358316090258,1.64791843300216,0.957734561777039,NA,NA,NA,NA,NA,0.979960443062456
UT_Ca_JN_PJ17_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
