,CA_Lake_JH_PJ31_1,CA_Lake_JH_PJ31_10,CA_Lake_JH_PJ31_11,CA_Lake_JH_PJ31_12,CA_Lake_JH_PJ31_13,CA_Lake_JH_PJ31_14,CA_Lake_JH_PJ31_15,CA_Lake_JH_PJ31_16,CA_Lake_JH_PJ31_17,CA_Lake_JH_PJ31_18,CA_Lake_JH_PJ31_19,CA_Lake_JH_PJ31_2,CA_Lake_JH_PJ31_20,CA_Lake_JH_PJ31_21,CA_Lake_JH_PJ31_22,CA_Lake_JH_PJ31_23,CA_Lake_JH_PJ31_24,CA_Lake_JH_PJ31_3,CA_Lake_JH_PJ31_4,CA_Lake_JH_PJ31_5,CA_Lake_JH_PJ31_6,CA_Lake_JH_PJ31_7,CA_Lake_JH_PJ31_8,CA_Lake_JH_PJ31_9,CA_Lake_JH_PJ32_1,CA_Lake_JH_PJ32_10,CA_Lake_JH_PJ32_11,CA_Lake_JH_PJ32_12,CA_Lake_JH_PJ32_13,CA_Lake_JH_PJ32_14,CA_Lake_JH_PJ32_15,CA_Lake_JH_PJ32_16,CA_Lake_JH_PJ32_17,CA_Lake_JH_PJ32_18,CA_Lake_JH_PJ32_19,CA_Lake_JH_PJ32_2,CA_Lake_JH_PJ32_20,CA_Lake_JH_PJ32_21,CA_Lake_JH_PJ32_22,CA_Lake_JH_PJ32_23,CA_Lake_JH_PJ32_24,CA_Lake_JH_PJ32_3,CA_Lake_JH_PJ32_4,CA_Lake_JH_PJ32_5,CA_Lake_JH_PJ32_6,CA_Lake_JH_PJ32_7,CA_Lake_JH_PJ32_8,CA_Lake_JH_PJ32_9
CA_Lake_JH_PJ31_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Lake_JH_PJ31_10,NA,0,1.04126160410862,1.60863727175061,NA,1.33105655295759,0.955511445027436,0.61538549874033,0.599428851829583,1.60863727175061,1.00680473941499,1.83178082306482,0.395895657092014,1.09792594676212,0.655406852577098,1.90885616297845,NA,0.61538549874033,0.522561801858562,NA,0.879071429214535,0.860201265223111,0.673536823983305,1.24319351747922,2.32219544957069,1.07974212467669,1.2721650351294,2.05269719920434,1.59040243185992,1.44672671221679,0.435125800538306,NA,1.02567490340641,1.75401914124521,1.62904826901074,NA,0.915490091190668,1.11735383529548,0.485507815781701,0.915490091190668,NA,0.845420119811838,0.473606321106371,1.03450333219363,0.823194238526421,0.693147180559945,0.773189888233482,0.834619666643701
CA_Lake_JH_PJ31_11,NA,1.04126160410862,0,1.6943874308318,NA,0.772449695648265,0.987194382838346,1.81217046648818,1.27296567581289,1.81217046648818,1.44672671221679,1.32666265070648,1.29257603238953,1.07831559018548,1.44672671221679,1.32963001846639,NA,1.40670535838002,1.40373799062011,NA,1.00606454682977,1.04126160410862,1.13943428318836,1.44672671221679,2.52572864430826,1.87106198431637,1.40670535838002,1.33993966206776,1.32963001846639,0.916290731874155,1.13943428318836,NA,1.46559687620821,1.15904463976501,1.20397280432594,NA,0.713558177820073,1.38542555117062,1.04126160410862,1.32666265070648,NA,1.79089065927878,0.859461072637894,1.20904899005794,0.852374046119213,1.29257603238953,1.62904826901074,0.859461072637894
CA_Lake_JH_PJ31_12,NA,1.60863727175061,1.6943874308318,0,NA,1.98418237968077,3.91122236474466,2.484906649788,2.50531764704813,NA,2.1194628955166,1.09861228866811,2.52492800362477,3.25512917026157,2.52492800362477,3.25512917026157,NA,1.79175946922805,1.86883480914168,NA,3.93009252873608,2.30178445231056,1.94570185911271,3.21807518418471,1.00124025027185,3.23694534817614,2.484906649788,0.914063556699465,1.17568762858174,2.28217409573392,1.81217046648818,NA,NA,NA,3.19846482760807,NA,2.484906649788,2.05816173447044,2.30178445231056,2.484906649788,NA,1.90401105464318,1.98418237968077,2.21825740997898,2.21825740997898,2.81261007607655,3.91122236474466,NA
CA_Lake_JH_PJ31_13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Lake_JH_PJ31_14,NA,1.33105655295759,0.772449695648265,1.98418237968077,NA,0,1.33105655295759,1.73286795139986,1.17791480375643,2.13833305950803,1.40516452511131,0.934360255182092,1.02567490340641,1.36811053903445,1.66752878957881,1.70458277565567,NA,1.29103519912082,1.52226121886171,NA,1.34992671694902,1.77288930523663,1.06013176810005,0.97438160901886,2.56420916487632,1.42403468910274,0.794598312806933,2.25388891998972,1.1739545245935,1.06013176810005,1.64791843300216,NA,2.60268968544438,2.58381952145296,2.15874405676816,NA,1.1575038064963,1.60622762853264,1.89067234089301,1.1575038064963,NA,1.82937117984685,1.34992671694902,1.94067669118595,1.94067669118595,1.57221860977448,2.02420373351754,1.50407739677627
CA_Lake_JH_PJ31_15,NA,0.955511445027436,0.987194382838346,3.91122236474466,NA,1.33105655295759,0,0.820179911386343,0.635796496000458,2.30178445231056,0.906721280858004,2.30178445231056,0.550046336919272,1.09792594676212,1.00680473941499,0.852803488729138,NA,1.07800902068844,1.15508436060207,NA,0.792060052224905,0.860201265223111,0.753579531656841,1.11803037452521,1.98572321294947,1.33105655295759,1.42631571495666,3.15130948787245,3.98829770465829,1.36668400454325,0.840590908646471,NA,0.792060052224905,1.24319351747922,1.22358316090258,NA,0.733168534396713,1.25088522792,1.11803037452521,1.96531221568935,NA,1.49204728473689,0.536126678087705,0.776674222891528,1.15966647514763,1.00680473941499,0.955511445027436,0.602818052586377
CA_Lake_JH_PJ31_16,NA,0.61538549874033,1.81217046648818,2.484906649788,NA,1.73286795139986,0.820179911386343,0,0.847089570444595,1.16315080980568,0.61538549874033,3.17805383034795,0.61538549874033,1.24022614971931,0.653125826723177,0.857233897463204,NA,0.92676203174145,0.547078969159365,NA,0.839050075377767,0.579017854569455,0.559407497992815,1.07800902068844,2.28217409573392,0.752038698388137,1.09861228866811,1.72499377291579,1.86883480914168,1.40670535838002,0.524316178181544,NA,0.634255662731754,1.2721650351294,0.895879734614027,NA,0.980829253011726,1.28497184623696,0.61538549874033,1.16315080980568,NA,0.671867373350547,0.496105324250936,0.831963048859085,1.11964512131087,0.915490091190668,0.414714803278179,0.839050075377767
CA_Lake_JH_PJ31_17,NA,0.599428851829583,1.27296567581289,2.50531764704813,NA,1.17791480375643,0.635796496000458,0.847089570444595,0,1.0583986641118,0.987194382838346,1.49371673536965,0.348114423548677,0.672850482077319,0.935901088450796,1.32963001846639,NA,1.0583986641118,0.749811523213447,NA,1.06013176810005,0.935901088450796,0.776528789498996,1.53373808920642,3.2188758248682,1.46559687620821,0.800569554809702,3.82484631185576,2.17692787885359,1.96611285637283,0.579818495252942,NA,0.905981088272787,1.62904826901074,1.20397280432594,NA,0.713558177820073,0.92589322179218,0.712757537136586,1.58902691517397,NA,0.92589322179218,0.484767623196484,1.01489297561699,1.07551759743342,0.635796496000458,0.530435980342632,0.583207696009736
CA_Lake_JH_PJ31_18,NA,1.60863727175061,1.81217046648818,NA,NA,2.13833305950803,2.30178445231056,1.16315080980568,1.0583986641118,0,0.966783385578219,2.07944154167984,1.20317216364245,0.770222520473574,1.20317216364245,1.38332699335998,NA,1.67397643357167,1.46336970103352,NA,0.794598312806933,1.02085060684849,1.32666265070648,0.866699927021236,3.19846482760807,1.44518587894808,1.23214368129263,2.19499740216153,NA,1.81217046648818,1.25255467855276,NA,0.88557009101266,0.692346539876458,0.713558177820073,NA,0.980829253011726,1.45202593090012,1.02085060684849,1.03798766685167,NA,1.28497184623696,1.1575038064963,1.26274596495154,0.831963048859085,1.42631571495666,0.775728148815509,0.88557009101266
CA_Lake_JH_PJ31_19,NA,1.00680473941499,1.44672671221679,2.1194628955166,NA,1.40516452511131,0.906721280858004,0.61538549874033,0.987194382838346,0.966783385578219,0,2.1194628955166,0.955511445027436,1.21570898241851,1.00680473941499,1.28024750355608,NA,0.915490091190668,1.15508436060207,NA,0.925591444849428,0.815749502652278,1.15904463976501,0.860201265223111,NA,1.40516452511131,1.42631571495666,2.05269719920434,2.88968541599018,1.44672671221679,0.49764615751964,NA,0.792060052224905,1.11803037452521,0.753579531656841,NA,0.820179911386343,1.40503590774726,1.17865499634165,1.42631571495666,NA,0.798900104176945,0.637909372397647,1.09512795401006,0.97734491835368,1.64865862558738,0.693147180559945,1.19752516033307
CA_Lake_JH_PJ31_2,NA,1.83178082306482,1.32666265070648,1.09861228866811,NA,0.934360255182092,2.30178445231056,3.17805383034795,1.49371673536965,2.07944154167984,2.1194628955166,0,1.71399778740844,1.30921902120626,1.83178082306482,1.24022614971931,NA,1.56861591791385,2.56198198970163,NA,1.44518587894808,2.81261007607655,2.50531764704813,1.60863727175061,1.11902328592824,1.85065098705625,0.980829253011726,1.40654004179726,1.17568762858174,1.11902328592824,1.81217046648818,NA,2.54379816761619,2.52492800362477,NA,NA,1.23214368129263,3.15677402313855,3.21807518418471,1.92529086185258,NA,2.05816173447044,2.54379816761619,2.72908303374497,3.82769532241308,1.96531221568935,2.1194628955166,1.85065098705625
