,CA_Te_JH_PJ71_1,CA_Te_JH_PJ71_10,CA_Te_JH_PJ71_11,CA_Te_JH_PJ71_12,CA_Te_JH_PJ71_2,CA_Te_JH_PJ71_3,CA_Te_JH_PJ71_4,CA_Te_JH_PJ71_5,CA_Te_JH_PJ71_6,CA_Te_JH_PJ71_7,CA_Te_JH_PJ71_8,CA_Te_JH_PJ71_9,CA_Te_JH_PJ72_1,CA_Te_JH_PJ72_10,CA_Te_JH_PJ72_11,CA_Te_JH_PJ72_12,CA_Te_JH_PJ72_2,CA_Te_JH_PJ72_3,CA_Te_JH_PJ72_4,CA_Te_JH_PJ72_5,CA_Te_JH_PJ72_6,CA_Te_JH_PJ72_7,CA_Te_JH_PJ72_8,CA_Te_JH_PJ72_9
CA_Te_JH_PJ71_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ71_10,NA,0,0.729400525953319,1.09861228866811,1.42631571495666,NA,0.915490091190668,1.90401105464318,1.30921902120626,NA,1.18356180706581,0.820179911386343,0.80539876597507,0.711216703867882,0.733168534396713,1.03972077083992,1.36501455391049,1.11902328592824,1.32666265070648,1.17568762858174,NA,NA,0.895879734614027,1.22204232763387
CA_Te_JH_PJ71_11,NA,0.729400525953319,0,0.857233897463204,0.897255251299972,NA,1.34924037504303,2.54070218249223,1.7227665977411,NA,2.17692787885359,0.943775266934865,0.66890000559064,0.639872038663238,0.730201166636806,1.36811053903445,1.03662478571596,1.6661022550876,1.07831559018548,1.02961941718116,NA,NA,0.972955074527657,1.70458277565567
CA_Te_JH_PJ71_12,NA,1.09861228866811,0.857233897463204,0,0.384861840128498,NA,1.34627300728312,1.90401105464318,1.64569125782747,NA,1.49371673536965,0.820179911386343,0.384185300898766,0.634255662731754,0.775728148815509,0.752038698388137,1.14187100259628,1.0583986641118,1.6943874308318,1.24022614971931,NA,NA,1.32666265070648,1.22204232763387
CA_Te_JH_PJ71_2,NA,1.42631571495666,0.897255251299972,0.384861840128498,0,NA,1.17865499634165,1.18189235643305,1.68571261166424,NA,1.15904463976501,1.31218638896617,0.754448341606111,0.602818052586377,0.550046336919272,0.712017344551369,1.40503590774726,0.753579531656841,1.36668400454325,1.50339105487029,NA,NA,1.29257603238953,1.02567490340641
CA_Te_JH_PJ71_3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ71_4,NA,0.915490091190668,1.34924037504303,1.34627300728312,1.17865499634165,NA,0,0.798900104176945,1.34924037504303,NA,0.753579531656841,1.00680473941499,0.89421028398127,0.75123805770465,0.773189888233482,0.792060052224905,1.81050101585543,0.673536823983305,0.564337532018313,0.992565431104297,NA,NA,0.796139146075637,0.879071429214535
CA_Te_JH_PJ71_5,NA,1.90401105464318,2.54070218249223,1.90401105464318,1.18189235643305,NA,0.798900104176945,0,1.62441145061808,NA,1.16228199985641,1.69271798019904,1.43074612369072,1.60622762853264,1.58735746454122,1.26975539191143,1.52605630349505,0.734837985029471,0.979960443062456,1.21894634250991,NA,NA,1.38542555117062,0.913080447972694
CA_Te_JH_PJ71_6,NA,1.30921902120626,1.7227665977411,1.64569125782747,1.68571261166424,NA,1.34924037504303,1.62441145061808,0,NA,1.19609862584187,1.21570898241851,1.84755500193229,1.52226121886171,1.50339105487029,1.92772632696988,3.23384936305218,1.6661022550876,1.13547400402543,1.13497993283898,NA,NA,1.07831559018548,1.80994329131349
CA_Te_JH_PJ71_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ71_8,NA,1.18356180706581,2.17692787885359,1.49371673536965,1.15904463976501,NA,0.753579531656841,1.16228199985641,1.19609862584187,NA,0,1.09842001794857,1.92442205190331,1.00606454682977,0.887110924281364,0.815009310067061,1.09774347871884,1.27296567581289,0.776528789498996,1.19609862584187,NA,NA,1.02165124753198,1.11729018193999
CA_Te_JH_PJ71_9,NA,0.820179911386343,0.943775266934865,0.820179911386343,1.31218638896617,NA,1.00680473941499,1.69271798019904,1.21570898241851,NA,1.09842001794857,0,0.89421028398127,0.879071429214535,0.906721280858004,1.26206368147064,0.798900104176945,1.29257603238953,1.22358316090258,0.897255251299972,NA,NA,1.36668400454325,1.19752516033307
CA_Te_JH_PJ72_1,NA,0.80539876597507,0.66890000559064,0.384185300898766,0.754448341606111,NA,0.89421028398127,1.43074612369072,1.84755500193229,NA,1.92442205190331,0.89421028398127,0,0.730758891178739,0.594105691530932,1.20076252042447,0.832909122935104,1.38542555117062,1.38542555117062,1.21894634250991,NA,NA,0.692278370610675,0.864290283803262
CA_Te_JH_PJ72_10,NA,0.711216703867882,0.639872038663238,0.634255662731754,0.602818052586377,NA,0.75123805770465,1.60622762853264,1.52226121886171,NA,1.00606454682977,0.879071429214535,0.730758891178739,0,0.256541815868543,0.6216882165778,1.51091744872831,0.692406987974728,1.00606454682977,1.1739545245935,NA,NA,0.954771252442219,1.28093384546206
CA_Te_JH_PJ72_11,NA,0.733168534396713,0.730201166636806,0.775728148815509,0.550046336919272,NA,0.773189888233482,1.58735746454122,1.50339105487029,NA,0.887110924281364,0.906721280858004,0.594105691530932,0.256541815868543,0,0.712017344551369,1.32499320007372,1.15904463976501,0.840590908646471,1.50339105487029,NA,NA,0.887110924281364,1.13690053851663
CA_Te_JH_PJ72_12,NA,1.03972077083992,1.36811053903445,0.752038698388137,0.712017344551369,NA,0.792060052224905,1.26975539191143,1.92772632696988,NA,0.815009310067061,1.26206368147064,1.20076252042447,0.6216882165778,0.712017344551369,0,1.34386336406515,0.516516321511064,0.815009310067061,1.92772632696988,NA,NA,1.38555416853467,1.15577070250806
CA_Te_JH_PJ72_2,NA,1.36501455391049,1.03662478571596,1.14187100259628,1.40503590774726,NA,1.81050101585543,1.52605630349505,3.23384936305218,NA,1.09774347871884,0.798900104176945,0.832909122935104,1.51091744872831,1.32499320007372,1.34386336406515,0,1.56774710796457,1.38542555117062,3.23384936305218,NA,NA,1.0371188569024,1.1362239992869
CA_Te_JH_PJ72_3,NA,1.11902328592824,1.6661022550876,1.0583986641118,0.753579531656841,NA,0.673536823983305,0.734837985029471,1.6661022550876,NA,1.27296567581289,1.29257603238953,1.38542555117062,0.692406987974728,1.15904463976501,0.516516321511064,1.56774710796457,0,1.02165124753198,1.88924580640181,NA,NA,1.96611285637283,1.31144619638095
CA_Te_JH_PJ72_4,NA,1.32666265070648,1.07831559018548,1.6943874308318,1.36668400454325,NA,0.564337532018313,0.979960443062456,1.13547400402543,NA,0.776528789498996,1.22358316090258,1.38542555117062,1.00606454682977,0.840590908646471,0.815009310067061,1.38542555117062,1.02165124753198,0,1.13547400402543,NA,NA,1.34707364796661,1.17791480375643
CA_Te_JH_PJ72_5,NA,1.17568762858174,1.02961941718116,1.24022614971931,1.50339105487029,NA,0.992565431104297,1.21894634250991,1.13497993283898,NA,1.19609862584187,0.897255251299972,1.21894634250991,1.1739545245935,1.50339105487029,1.92772632696988,3.23384936305218,1.88924580640181,1.13547400402543,0,NA,NA,1.02424836891521,1.01143559509572
