,NM_Li_JMa_PJ85_1,NM_Li_JMa_PJ85_10,NM_Li_JMa_PJ85_11,NM_Li_JMa_PJ85_12,NM_Li_JMa_PJ85_2,NM_Li_JMa_PJ85_3,NM_Li_JMa_PJ85_4,NM_Li_JMa_PJ85_5,NM_Li_JMa_PJ85_6,NM_Li_JMa_PJ85_7,NM_Li_JMa_PJ85_8,NM_Li_JMa_PJ85_9,NM_Li_JMa_PJ86_1,NM_Li_JMa_PJ86_10,NM_Li_JMa_PJ86_11,NM_Li_JMa_PJ86_12,NM_Li_JMa_PJ86_2,NM_Li_JMa_PJ86_3,NM_Li_JMa_PJ86_4,NM_Li_JMa_PJ86_5,NM_Li_JMa_PJ86_6,NM_Li_JMa_PJ86_7,NM_Li_JMa_PJ86_8,NM_Li_JMa_PJ86_9
NM_Li_JMa_PJ85_1,0,1.2991176675475,0.591364486250003,0.459378412184674,0.577161447841058,0.25062808637492,0.405311190914398,0.336472236621213,0.65865074481647,0.916125415291396,1.40384002102553,NA,0.279807893967711,1.82812711339893,0.72951482473082,0.730201166636806,0.423648930193602,0.480807344033551,0.567489966419492,0.459378412184674,0.432949643168875,0.934309237376833,1.34924037504303,NA
NM_Li_JMa_PJ85_10,1.2991176675475,0,1.36811053903445,1.25212480631557,1.38565619894009,1.19752516033307,1.08027454938891,1.23457914640993,1.26907558215341,2.19722457733622,1.25212480631557,NA,1.38555416853467,1.11679611075355,1.52226121886171,1.89067234089301,1.28093384546206,1.28093384546206,1.31144619638095,1.82748895121913,1.77288930523663,1.2991176675475,1.26206368147064,NA
NM_Li_JMa_PJ85_11,0.591364486250003,1.36811053903445,0,0.459378412184674,0.641699968978629,1.04385872549185,0.516536826024623,0.414433778090925,0.476329188022515,0.510660307183232,1.15252559274462,NA,0.534700143596501,3.3322045101752,0.498991166118988,0.491790143191808,0.711331002645383,0.573180664164565,0.534700143596501,0.487549289151371,0.461937180042127,0.693147180559945,1.04385872549185,NA
NM_Li_JMa_PJ85_12,0.459378412184674,1.25212480631557,0.459378412184674,0,0.594707107746693,0.509335803097443,0.476924072090309,0.379335704511138,0.388514332270324,0.657417698568873,1.06471073699243,NA,0.402714069531173,2.25113788141273,0.192749748930726,0.479482839947762,0.287043910271979,0.498353003939186,0.430884946497869,0.659245628884264,0.638547534577449,0.459378412184674,1.01011109100993,NA
NM_Li_JMa_PJ85_2,0.577161447841058,1.38565619894009,0.641699968978629,0.594707107746693,0,0.604645982901768,0.276253376628158,0.354017896526848,1.08166151283027,1.38565619894009,1.28785428830664,NA,0.585035626325127,3.34975017008084,0.71069284046558,1.01011109100993,0.335834074441411,0.196072132066252,0.808179177639337,0.659245628884264,1.01011109100993,1.15252559274462,1.36678603494866,NA
NM_Li_JMa_PJ85_3,0.25062808637492,1.19752516033307,1.04385872549185,0.509335803097443,0.604645982901768,0,0.479482839947762,0.350711544931903,0.764697602380282,0.834619666643701,0.914800911205607,NA,0.405272837388625,1.59040243185992,0.554310500173142,0.655406852577098,0.359195969928627,0.568916500910695,0.564337532018313,0.673638854388719,0.454736157114947,0.491790143191808,0.955511445027436,NA
NM_Li_JMa_PJ85_4,0.405311190914398,1.08027454938891,0.516536826024623,0.476924072090309,0.276253376628158,0.479482839947762,0,0.281697234947222,1.08166151283027,1.02898125500136,1.98100146886658,NA,0.402714069531173,2.65660298952089,0.71069284046558,0.870349148634774,0.311141461851039,0.240523894637086,0.520497105187556,0.422856850820034,0.914800911205607,1.270308628401,1.92640182288409,NA
NM_Li_JMa_PJ85_5,0.336472236621213,1.23457914640993,0.414433778090925,0.379335704511138,0.354017896526848,0.350711544931903,0.281697234947222,0,0.476329188022515,0.605970486987557,1.40384002102553,NA,0.25511528137734,2.63905732961526,0.336472236621213,0.491790143191808,0.269498250366343,0.369581708923326,0.279807893967711,0.214255954151689,0.432949643168875,0.658055860748675,1.42334834719675,NA
NM_Li_JMa_PJ85_6,0.65865074481647,1.26907558215341,0.476329188022515,0.388514332270324,1.08166151283027,0.764697602380282,1.08166151283027,0.476329188022515,0,0.515303779777026,0.899339956036314,NA,0.601986402162968,1.75726303348458,0.422261966752239,0.439275201945654,0.640466922731032,0.950621851034872,0.601986402162968,0.49387484792815,0.285124522118396,0.322178508195257,0.931751687043448,NA
NM_Li_JMa_PJ85_7,0.916125415291396,2.19722457733622,0.510660307183232,0.657417698568873,1.38565619894009,0.834619666643701,1.02898125500136,0.605970486987557,0.515303779777026,0,1.25212480631557,NA,0.654666659991881,2.39772995621561,0.396249956005487,0.18592424865459,0.897941593205959,1.09861228866811,0.618299015821006,0.55897762575562,0.414765821083437,0.48080734403355,1.26206368147064,NA
