,CA_Te_JH_PJ49_1,CA_Te_JH_PJ49_10,CA_Te_JH_PJ49_11,CA_Te_JH_PJ49_12,CA_Te_JH_PJ49_13,CA_Te_JH_PJ49_14,CA_Te_JH_PJ49_15,CA_Te_JH_PJ49_16,CA_Te_JH_PJ49_17,CA_Te_JH_PJ49_18,CA_Te_JH_PJ49_19,CA_Te_JH_PJ49_2,CA_Te_JH_PJ49_20,CA_Te_JH_PJ49_21,CA_Te_JH_PJ49_22,CA_Te_JH_PJ49_23,CA_Te_JH_PJ49_24,CA_Te_JH_PJ49_3,CA_Te_JH_PJ49_4,CA_Te_JH_PJ49_5,CA_Te_JH_PJ49_6,CA_Te_JH_PJ49_7,CA_Te_JH_PJ49_8,CA_Te_JH_PJ49_9,CA_Te_JH_PJ50_1,CA_Te_JH_PJ50_10,CA_Te_JH_PJ50_11,CA_Te_JH_PJ50_12,CA_Te_JH_PJ50_13,CA_Te_JH_PJ50_14,CA_Te_JH_PJ50_15,CA_Te_JH_PJ50_16,CA_Te_JH_PJ50_17,CA_Te_JH_PJ50_18,CA_Te_JH_PJ50_19,CA_Te_JH_PJ50_2,CA_Te_JH_PJ50_20,CA_Te_JH_PJ50_21,CA_Te_JH_PJ50_22,CA_Te_JH_PJ50_23,CA_Te_JH_PJ50_24,CA_Te_JH_PJ50_3,CA_Te_JH_PJ50_4,CA_Te_JH_PJ50_5,CA_Te_JH_PJ50_6,CA_Te_JH_PJ50_7,CA_Te_JH_PJ50_8,CA_Te_JH_PJ50_9
CA_Te_JH_PJ49_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ49_10,NA,0,1.34627300728312,NA,2.85263142991332,1.22358316090258,0.89421028398127,1.09842001794857,0.966783385578219,0.945503578368821,0.986848242291466,0.999570799639096,0.635796496000458,1.00680473941499,0.621001874671814,1.31218638896617,3.23848618144484,1.18189235643305,0.712757537136586,NA,0.925591444849428,0.848724394878407,0.834619666643701,0.712757537136586,2.32219544957069,1.18189235643305,0.599428851829583,NA,NA,NA,0.915490091190668,0.840590908646471,NA,NA,NA,0.792060052224905,NA,NA,0.775728148815509,NA,NA,0.775539148624259,0.673536823983305,1.06087196068526,1.31218638896617,1.44672671221679,0.648840851381643,0.860201265223111
CA_Te_JH_PJ49_11,NA,1.34627300728312,0,NA,1.34627300728312,0.365251483551857,0.80539876597507,1.6943874308318,0.780158557549575,1.54733611070445,1.0719900314087,0.959549445802328,1.81217046648818,0.966783385578219,1.00383737165508,0.692346539876458,1.94570185911271,1.07733248145871,1.18356180706581,NA,1.73286795139986,1.40654004179726,1.53219725593771,0.895879734614027,1.40670535838002,0.80539876597507,0.457624803682872,NA,NA,NA,0.92676203174145,1.11902328592824,NA,NA,NA,0.934360255182092,NA,NA,0.826678573184468,NA,NA,1.21509087504938,1.25255467855276,1.34627300728312,1.2721650351294,1.0583986641118,1.74825378073324,0.915490091190668
CA_Te_JH_PJ49_12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ49_13,NA,2.85263142991332,1.34627300728312,NA,0,1.53373808920642,1.05672921347905,1.98572321294947,1.20317216364245,1.94403240847995,1.87415143729237,2.09818308830721,2.13987389277673,1.55334844578306,3.29515052409834,1.64865862558738,0.530435980342631,1.49204728473689,1.85219182032495,NA,1.66752878957881,1.89854651937708,2.1783544133448,1.73440878466857,0.635796496000458,3.88994255753526,1.62904826901074,NA,NA,NA,1.60863727175061,1.53373808920642,NA,NA,NA,1.66752878957881,NA,NA,2.1194628955166,NA,NA,1.51747649335364,2.32219544957069,2.34180580614733,NA,1.98572321294947,2.07595720702179,1.31218638896617
CA_Te_JH_PJ49_14,NA,1.22358316090258,0.365251483551857,NA,1.53373808920642,0,0.87459992740463,1.6094379124341,1.00124025027185,1.38542555117062,1.09240102866883,0.825809763235198,1.42711635564015,1.04126160410862,0.924164910358225,0.935901088450796,1.71479842809193,0.92589322179218,1.20397280432594,NA,1.87106198431637,1.62762173451954,1.75327894865999,0.776528789498996,1.34707364796661,0.825809763235198,0.867500567704723,NA,NA,NA,1.0583986641118,1.20397280432594,NA,NA,NA,0.692406987974728,NA,NA,1.0583986641118,NA,NA,1.2355018723095,1.07880966137193,1.53373808920642,0.887110924281364,1.27296567581289,1.90219617061789,0.887110924281364
CA_Te_JH_PJ49_15,NA,0.89421028398127,0.80539876597507,NA,1.05672921347905,0.87459992740463,0,0.612235662937138,0.905482224532052,0.650587566141149,0.868388667405351,0.784118958765672,0.65145637609042,0.945503578368821,0.835954090253806,0.999570799639096,1.56774710796457,0.650587566141149,0.779289747600305,NA,0.650716183505203,0.738633069662809,0.689936896658484,0.612235662937138,1.30538284349708,0.995428052432879,0.825809763235198,NA,NA,NA,1.01670785964228,0.65145637609042,NA,NA,NA,0.730758891178739,NA,NA,0.671867373350547,NA,NA,0.763028151747525,0.825809763235198,1.18189235643305,1.58735746454122,0.92589322179218,0.810683241649687,0.522646727548787
CA_Te_JH_PJ49_16,NA,1.09842001794857,1.6943874308318,NA,1.98572321294947,1.6094379124341,0.612235662937138,0,1.58902691517397,0.979960443062456,0.967237885714825,1.56774710796457,0.616186139423817,1.36668400454325,0.790633517733702,1.36668400454325,2.81341071676004,1.30538284349708,0.867500567704723,NA,0.731627701128009,0.780323874132334,0.731627701128009,1.27296567581289,2.81341071676004,1.38542555117062,1.6094379124341,NA,NA,NA,2.09985253893996,0.967584026261706,NA,NA,NA,1.00606454682977,NA,NA,0.947173029001578,NA,NA,1.31554457998304,0.7339691750802,0.712757537136586,1.04126160410862,1.02165124753198,0.712612103744054,0.887110924281364
CA_Te_JH_PJ49_17,NA,0.966783385578219,0.780158557549575,NA,1.20317216364245,1.00124025027185,0.905482224532052,1.58902691517397,0,1.07733248145871,1.0719900314087,1.77047966201866,1.6943874308318,0.543926534758185,1.00383737165508,1.20317216364245,1.40670535838002,0.905482224532052,0.947173029001578,NA,0.985653549569642,1.23948595713409,1.85065098705625,0.672736183299818,1.32666265070648,1.21086387408323,1.0583986641118,NA,NA,NA,0.980829253011726,1.00124025027185,NA,NA,NA,1.73286795139986,NA,NA,0.735706794978741,NA,NA,1.58281565517469,0.895879734614027,0.966783385578219,1.2721650351294,0.524316178181544,0.783172884689653,0.866699927021236
CA_Te_JH_PJ49_18,NA,0.945503578368821,1.54733611070445,NA,1.94403240847995,1.38542555117062,0.650587566141149,0.979960443062456,1.07733248145871,0,1.11970309568626,1.63141681915288,0.436344996473474,0.557738047360057,1.09378319955591,0.89421028398127,2.26089428852452,1.12059119538689,1.47243692816025,NA,0.913080447972694,0.949942163330016,0.913080447972694,0.692278370610675,1.23127487134336,1.12059119538689,1.56774710796457,NA,NA,NA,1.07733248145871,0.92589322179218,NA,NA,NA,1.26975539191143,NA,NA,1.01670785964228,NA,NA,1.36086515250315,1.0371188569024,0.89421028398127,1.11735383529548,0.734837985029471,0.810683241649687,0.798900104176945
CA_Te_JH_PJ49_19,NA,0.986848242291466,1.0719900314087,NA,1.87415143729237,1.09240102866883,0.868388667405351,0.967237885714825,1.0719900314087,1.11970309568626,0,1.05071022419931,0.856012250604601,0.824329312793691,0.861383298870552,1.25511222888614,1.72100968809121,1.27385377551352,0.468246719595837,NA,1.19987442072385,0.45517799817717,0.894492771172665,0.334715326971315,1.60322665243482,0.9255470812453,0.856012250604601,NA,NA,NA,1.00745151027113,0.967237885714825,NA,NA,NA,1.35402510055111,NA,NA,0.688997779152598,NA,NA,1.20397280432594,0.581575404902841,1.62283700901146,0.986848242291466,0.856012250604601,0.963945821776317,1.0474728641079
CA_Te_JH_PJ49_2,NA,0.999570799639096,0.959549445802328,NA,2.09818308830721,0.825809763235198,0.784118958765672,1.56774710796457,1.77047966201866,1.63141681915288,1.05071022419931,0,1.56774710796457,1.81050101585543,1.52910127081375,1.18189235643305,2.07857273173057,1.18958406687384,1.30538284349708,NA,1.42390607173868,1.29824885759823,1.51091744872831,1.16228199985641,1.38542555117062,1.18958406687384,0.65145637609042,NA,NA,NA,1.01670785964228,1.0371188569024,NA,NA,NA,0.689936896658484,NA,NA,0.80539876597507,NA,NA,0.9255470812453,1.92442205190331,2.79133026886715,1.69271798019904,2.07857273173057,2.42012115408379,1.25088522792
CA_Te_JH_PJ49_20,NA,0.635796496000458,1.81217046648818,NA,2.13987389277673,1.42711635564015,0.65145637609042,0.616186139423817,1.6943874308318,0.436344996473474,0.856012250604601,1.56774710796457,0,1.09842001794857,0.877644894723332,1.36668400454325,3.2188758248682,1.0371188569024,0.916290731874155,NA,1.242453324894,0.934474553959593,0.654666659991881,0.776528789498996,2.12026353620009,0.92589322179218,1.42711635564015,NA,NA,NA,1.81217046648818,0.967584026261706,NA,NA,NA,1.242453324894,NA,NA,1.18356180706581,NA,NA,1.31554457998304,0.776528789498996,1.15904463976501,0.840590908646471,1.02165124753198,0.552269453668874,1.29257603238953
CA_Te_JH_PJ49_21,NA,1.00680473941499,0.966783385578219,NA,1.55334844578306,1.04126160410862,0.945503578368821,1.36668400454325,0.543926534758185,0.557738047360057,0.824329312793691,1.81050101585543,1.09842001794857,0,1.04385872549185,0.815749502652278,1.62904826901074,1.40503590774726,0.840590908646471,NA,0.792060052224905,0.799934230708975,1.02567490340641,0.46589745920506,1.09842001794857,1.11735383529548,0.935901088450796,NA,NA,NA,0.966783385578219,0.49764615751964,NA,NA,NA,1.33105655295759,NA,NA,0.775728148815509,NA,NA,1.18100425673242,0.564337532018313,0.860201265223111,0.955511445027436,0.564337532018313,0.776674222891528,0.773189888233482
CA_Te_JH_PJ49_22,NA,0.621001874671814,1.00383737165508,NA,3.29515052409834,0.924164910358225,0.835954090253806,0.790633517733702,1.00383737165508,1.09378319955591,0.861383298870552,1.52910127081375,0.877644894723332,1.04385872549185,0,0.730201166636806,3.2755401675217,1.84755500193229,0.924164910358225,NA,1.1739545245935,1.04829731045304,0.74907133062823,0.749811523213447,3.2755401675217,0.791502327682972,0.749811523213447,NA,NA,NA,1.64569125782747,0.924164910358225,NA,NA,NA,1.23457914640993,NA,NA,0.616071840646316,NA,NA,1.91120542336923,0.601391518095174,0.897255251299972,0.810243874310343,0.833193132152498,0.909038388772714,0.730201166636806
CA_Te_JH_PJ49_23,NA,1.31218638896617,0.692346539876458,NA,1.64865862558738,0.935901088450796,0.999570799639096,1.36668400454325,1.20317216364245,0.89421028398127,1.25511222888614,1.18189235643305,1.36668400454325,0.815749502652278,0.730201166636806,0,2.13987389277673,1.40503590774726,1.36668400454325,NA,1.02567490340641,1.44656139563403,1.02567490340641,1.09842001794857,1.15904463976501,0.845420119811838,0.599428851829583,NA,NA,NA,0.966783385578219,1.29257603238953,NA,NA,NA,0.792060052224905,NA,NA,0.866699927021236,NA,NA,1.42216631354931,1.15904463976501,0.860201265223111,1.17865499634165,0.840590908646471,1.22865934663459,1.06087196068526
CA_Te_JH_PJ49_24,NA,3.23848618144484,1.94570185911271,NA,0.530435980342631,1.71479842809193,1.56774710796457,2.81341071676004,1.40670535838002,2.26089428852452,1.72100968809121,2.07857273173057,3.2188758248682,1.62904826901074,3.2755401675217,2.13987389277673,0,1.38542555117062,1.96611285637283,NA,1.87106198431637,2.21540839942166,2.34106561356211,1.83258146374831,0.776528789498996,3.17718502039868,1.71479842809193,NA,NA,NA,1.6943874308318,2.12026353620009,NA,NA,NA,2.15874405676816,NA,NA,1.94570185911271,NA,NA,1.40255595697267,2.52572864430826,2.5453390008849,NA,2.52572864430826,2.2386684072391,1.53373808920642
CA_Te_JH_PJ49_3,NA,1.18189235643305,1.07733248145871,NA,1.49204728473689,0.92589322179218,0.650587566141149,1.30538284349708,0.905482224532052,1.12059119538689,1.27385377551352,1.18958406687384,1.0371188569024,1.40503590774726,1.84755500193229,1.40503590774726,1.38542555117062,0,1.38542555117062,NA,0.964373742360244,1.07510530628402,1.20076252042447,1.23127487134336,1.16228199985641,1.05605267424931,1.23127487134336,NA,NA,NA,0.905482224532052,1.47243692816025,NA,NA,NA,0.913080447972694,NA,NA,1.21086387408323,NA,NA,0.868388667405351,1.23127487134336,1.49204728473689,1.69271798019904,1.56774710796457,0.973202171147462,1.05672921347904
CA_Te_JH_PJ49_4,NA,0.712757537136586,1.18356180706581,NA,1.85219182032495,1.20397280432594,0.779289747600305,0.867500567704723,0.947173029001578,1.47243692816025,0.468246719595837,1.30538284349708,0.916290731874155,0.840590908646471,0.924164910358225,1.36668400454325,1.96611285637283,1.38542555117062,0,NA,0.549306144334055,0.829114038301766,0.954771252442219,0.579818495252942,1.6094379124341,0.979960443062456,0.867500567704723,NA,NA,NA,1.11902328592824,0.653926467406664,NA,NA,NA,1.38555416853467,NA,NA,0.895879734614027,NA,NA,0.856012250604601,0.653926467406664,0.840590908646471,0.840590908646471,0.967584026261706,0.670052489325258,1.04126160410862
CA_Te_JH_PJ49_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ49_6,NA,0.925591444849428,1.73286795139986,NA,1.66752878957881,1.87106198431637,0.650716183505203,0.731627701128009,0.985653549569642,0.913080447972694,1.19987442072385,1.42390607173868,1.242453324894,0.792060052224905,1.1739545245935,1.02567490340641,1.87106198431637,0.964373742360244,0.549306144334055,NA,0,0.972955074527657,0.853489830635125,1.00606454682977,1.17791480375643,1.71158814419047,1.55260825319784,NA,NA,NA,1.22204232763387,0.859461072637894,NA,NA,NA,1.42403468910274,NA,NA,0.985653549569642,NA,NA,0.580835212317623,1.11729018193999,0.568916500910695,1.48520723278485,1.11729018193999,0.842064402517845,0.44375335795669
CA_Te_JH_PJ49_7,NA,0.848724394878407,1.40654004179726,NA,1.89854651937708,1.62762173451954,0.738633069662809,0.780323874132334,1.23948595713409,0.949942163330016,0.45517799817717,1.29824885759823,0.934474553959593,0.799934230708975,1.04829731045304,1.44656139563403,2.21540839942166,1.07510530628402,0.829114038301766,NA,0.972955074527657,0,0.567489966419492,0.566749773834275,1.25989695439422,0.838716528219791,0.829114038301766,NA,NA,NA,1.03184659235585,0.492641801680553,NA,NA,NA,0.685273002075876,NA,NA,0.713392861237314,NA,NA,1.07421720658339,0.689352095926608,1.27950731097086,0.954084910536233,1.05225758961598,0.716407188377392,0.848724394878407
