,CA_Te_JHxJR_PJ41_1,CA_Te_JHxJR_PJ41_10,CA_Te_JHxJR_PJ41_11,CA_Te_JHxJR_PJ41_12,CA_Te_JHxJR_PJ41_13,CA_Te_JHxJR_PJ41_14,CA_Te_JHxJR_PJ41_15,CA_Te_JHxJR_PJ41_16,CA_Te_JHxJR_PJ41_17,CA_Te_JHxJR_PJ41_18,CA_Te_JHxJR_PJ41_19,CA_Te_JHxJR_PJ41_2,CA_Te_JHxJR_PJ41_20,CA_Te_JHxJR_PJ41_21,CA_Te_JHxJR_PJ41_22,CA_Te_JHxJR_PJ41_23,CA_Te_JHxJR_PJ41_24,CA_Te_JHxJR_PJ41_3,CA_Te_JHxJR_PJ41_4,CA_Te_JHxJR_PJ41_5,CA_Te_JHxJR_PJ41_6,CA_Te_JHxJR_PJ41_7,CA_Te_JHxJR_PJ41_8,CA_Te_JHxJR_PJ41_9,CA_Te_JHxJR_PJ42_1,CA_Te_JHxJR_PJ42_10,CA_Te_JHxJR_PJ42_11,CA_Te_JHxJR_PJ42_12,CA_Te_JHxJR_PJ42_13,CA_Te_JHxJR_PJ42_14,CA_Te_JHxJR_PJ42_15,CA_Te_JHxJR_PJ42_16,CA_Te_JHxJR_PJ42_17,CA_Te_JHxJR_PJ42_18,CA_Te_JHxJR_PJ42_19,CA_Te_JHxJR_PJ42_2,CA_Te_JHxJR_PJ42_20,CA_Te_JHxJR_PJ42_21,CA_Te_JHxJR_PJ42_22,CA_Te_JHxJR_PJ42_23,CA_Te_JHxJR_PJ42_24,CA_Te_JHxJR_PJ42_3,CA_Te_JHxJR_PJ42_4,CA_Te_JHxJR_PJ42_5,CA_Te_JHxJR_PJ42_6,CA_Te_JHxJR_PJ42_7,CA_Te_JHxJR_PJ42_8,CA_Te_JHxJR_PJ42_9
CA_Te_JHxJR_PJ41_1,0,0.769421879790088,0.485507815781701,0.987194382838346,0.75123805770465,0.602818052586377,0.491790143191808,0.733168534396713,0.860201265223111,1.83178082306482,1.55334844578306,0.693147180559945,1.31218638896617,1.44089400710239,0.673536823983305,0.732367893713227,0.915490091190668,0.496433615785603,1.07974212467669,1.07800902068844,2.1783544133448,2.1783544133448,1.46633706879343,1.02567490340641,0.300304452100435,NA,0.754448341606111,0.792060052224905,0.887110924281364,0.376285300515373,0.350711544931903,0.966783385578219,1.02085060684849,NA,2.1783544133448,0.393434996068781,1.22865934663459,0.906721280858004,0.820179911386343,0.820179911386343,0.568916500910695,0.653125826723177,0.635796496000458,0.712017344551369,2.30178445231056,1.62904826901074,1.2721650351294,0.504377979773124
CA_Te_JHxJR_PJ41_10,0.769421879790088,0,0.769421879790088,0.833193132152498,1.36811053903445,0.639872038663238,0.693147180559945,0.580980520835046,1.09792594676212,2.33883843838742,1.68571261166424,0.554310500173142,0.852803488729139,0.71069284046558,0.601391518095174,0.461937180042127,0.652439484817191,1.06411585292463,0.451819807160298,1.24022614971931,4.00716786864971,3.31402068808977,1.34924037504303,0.573180664164566,1.00383737165508,NA,1.84755500193229,0.916125415291396,0.790633517733702,0.924164910358225,0.806475865866949,1.1150630067653,0.857233897463204,NA,3.31402068808977,0.631159677607793,1.01439890443054,0.769421879790088,1.00383737165508,0.952544077267529,0.74907133062823,0.482540448021794,0.601391518095174,1.01143559509572,3.25512917026157,2.17692787885359,0.857233897463204,0.674963358474508
CA_Te_JHxJR_PJ41_11,0.485507815781701,0.769421879790088,0,1.36668400454325,0.879071429214535,0.879071429214535,0.656093194483084,0.866699927021236,0.955511445027436,2.1194628955166,1.64865862558738,0.815749502652278,1.11803037452521,0.870349148634774,0.673536823983305,0.906721280858004,0.820179911386343,0.621596758739609,1.48520723278485,1.07800902068844,2.02420373351754,2.58381952145296,1.31218638896617,1.02567490340641,0.477235160259513,NA,1.05672921347905,1.02567490340641,0.712757537136586,0.564337532018313,0.621001874671814,0.866699927021236,0.653125826723177,NA,3.27696670201291,0.711888727187316,1.38281002646184,0.815749502652278,0.445486461944932,1.20317216364245,0.568916500910695,0.733168534396713,0.887110924281364,0.97438160901886,1.83178082306482,1.36668400454325,1.71399778740844,0.712017344551369
CA_Te_JHxJR_PJ41_12,0.987194382838346,0.833193132152498,1.36668400454325,0,0.815009310067061,0.815009310067061,0.924164910358225,0.457624803682872,0.935901088450796,1.81217046648818,1.98572321294947,0.887110924281364,1.22358316090258,1.09586125009112,0.544727175441672,0.935901088450796,1.0583986641118,1.00745151027113,1.11729018193999,1.40670535838002,2.0045933769409,1.46559687620821,0.840590908646471,0.731627701128009,0.847089570444596,NA,1.23127487134336,0.772449695648265,1.13943428318836,1.42711635564015,1.13547400402543,0.713558177820073,1.0583986641118,NA,1.64791843300216,0.825809763235198,1.45021104687483,1.09842001794857,1.18356180706581,1.11902328592824,0.692406987974728,1.0583986641118,0.653926467406664,1.06013176810005,1.32666265070648,1.34707364796661,0.895879734614027,0.516516321511064
CA_Te_JHxJR_PJ41_13,0.75123805770465,1.36811053903445,0.879071429214535,0.815009310067061,0,0.853489830635125,0.788292043781511,0.752038698388137,1.48520723278485,2.13833305950803,2.1783544133448,1.26206368147064,1.07974212467669,1.53980687876735,0.954771252442219,1.66752878957881,0.88557009101266,0.640466922731032,1.42403468910274,1.53219725593771,1.90954250488444,1.90954250488444,1.57221860977448,0.944461608840852,0.403732004119921,NA,0.913080447972694,1.21639532432449,0.859461072637894,0.654666659991881,0.573180664164566,0.934360255182092,1.09687918467987,NA,1.90954250488444,1.07559937747047,1.24752951062601,1.57221860977448,0.711216703867882,1.03972077083992,0.523248143764548,0.934360255182092,1.11729018193999,1.21639532432449,1.62750743574204,2.8518912373281,1.53219725593771,0.730887508542792
CA_Te_JHxJR_PJ41_14,0.602818052586377,0.639872038663238,0.879071429214535,0.815009310067061,0.853489830635125,0,0.674963358474508,0.752038698388137,0.712017344551369,1.53219725593771,2.58381952145296,0.97438160901886,0.792060052224905,0.657417698568873,0.618299015821006,0.602818052586377,0.711216703867882,0.863610474045242,0.853489830635125,1.03972077083992,3.98898404656427,1.79175946922805,1.07974212467669,0.770108221696074,0.562796698749609,NA,1.82937117984685,1.09861228866811,0.549306144334055,0.654666659991881,0.74907133062823,0.711216703867882,1.09687918467987,NA,2.19722457733622,0.612975855522356,0.708533009893322,0.879071429214535,0.839050075377767,0.794598312806933,0.523248143764548,0.711216703867882,0.772449695648265,0.587786664902119,1.98418237968077,2.8518912373281,0.839050075377767,0.405465108108164
CA_Te_JHxJR_PJ41_15,0.491790143191808,0.693147180559945,0.656093194483084,0.924164910358225,0.788292043781511,0.674963358474508,0,0.857233897463204,1.15508436060207,1.64569125782747,1.68571261166424,0.656093194483084,1.34924037504303,1.04716507708679,0.710590810060166,1.21570898241851,0.652439484817191,1.06411585292463,0.962645430926289,1.00383737165508,1.92772632696988,2.62087350752982,1.50339105487029,1.01143559509572,0.770222520473574,NA,1.21894634250991,1.01143559509572,0.790633517733702,0.710590810060166,0.658055860748675,1.05790459292536,1.05790459292536,NA,1.92772632696988,0.66890000559064,1.1967204612245,0.943775266934865,0.616071840646316,0.770222520473574,0.480807344033551,0.514289146336374,0.442326823465486,1.23457914640993,2.56198198970163,1.57079207528328,2.00236620176621,0.711331002645383
CA_Te_JHxJR_PJ41_16,0.733168534396713,0.580980520835046,0.866699927021236,0.457624803682872,0.752038698388137,0.752038698388137,0.857233897463204,0,0.915490091190668,1.79175946922805,1.96531221568935,0.510024983082504,1.13863364250488,1.13260866667094,1.0583986641118,0.915490091190668,0.780158557549575,1.09240102866883,1.29103519912082,1.23214368129263,1.98418237968077,1.29103519912082,1.07800902068844,1.09687918467987,0.613104472886409,NA,1.45202593090012,1.29103519912082,1.0583986641118,1.0583986641118,0.857233897463204,0.65232518603969,0.92676203174145,NA,1.62750743574204,0.80539876597507,1.34278867262508,1.2721650351294,1.16315080980568,1.23214368129263,0.562796698749609,0.780158557549575,0.713558177820073,0.985653549569642,1.67397643357167,1.6943874308318,1.03798766685167,0.597888018560879
CA_Te_JHxJR_PJ41_17,0.860201265223111,1.09792594676212,0.955511445027436,0.935901088450796,1.48520723278485,0.712017344551369,1.15508436060207,0.915490091190668,0,2.1194628955166,2.15948424935337,0.906721280858004,0.693147180559945,1.11547160666776,0.796139146075637,0.906721280858004,1.07800902068844,1.38373681078651,1.77288930523663,0.775728148815509,NA,1.66752878957881,0.367724780125317,0.97438160901886,0.820179911386343,NA,1.81050101585543,2.1783544133448,1.62904826901074,1.73440878466857,1.34924037504303,1.02085060684849,0.820179911386343,NA,2.58381952145296,1.18189235643305,0.923277697083404,1.11803037452521,1.83178082306482,1.42631571495666,0.97438160901886,1.2721650351294,1.09842001794857,0.281234428458915,1.96531221568935,2.13987389277673,0.733168534396713,0.925591444849428
CA_Te_JHxJR_PJ41_18,1.83178082306482,2.33883843838742,2.1194628955166,1.81217046648818,2.13833305950803,1.53219725593771,1.64569125782747,1.79175946922805,2.1194628955166,0,1.42631571495666,3.21807518418471,2.81261007607655,1.76859743339094,2.09985253893996,2.30178445231056,1.56861591791385,2.19101331733694,2.32065461630198,3.87120101090789,0.752038698388137,0.752038698388137,2.1194628955166,3.23694534817614,1.79175946922805,NA,2.75130891503038,2.54379816761619,2.28217409573392,1.94570185911271,2.15651688159347,2.07944154167984,3.87120101090789,NA,1.1575038064963,1.90401105464318,2.72908303374497,1.83178082306482,1.79175946922805,2.07944154167984,1.85065098705625,2.26176309847379,2.50531764704813,2.54379816761619,1.38629436111989,1.32666265070648,2.07944154167984,1.44518587894808
