,AZ_Pi_JMa_PJ91_1,AZ_Pi_JMa_PJ91_10,AZ_Pi_JMa_PJ91_11,AZ_Pi_JMa_PJ91_12,AZ_Pi_JMa_PJ91_2,AZ_Pi_JMa_PJ91_3,AZ_Pi_JMa_PJ91_4,AZ_Pi_JMa_PJ91_5,AZ_Pi_JMa_PJ91_6,AZ_Pi_JMa_PJ91_7,AZ_Pi_JMa_PJ91_8,AZ_Pi_JMa_PJ91_9,AZ_Pi_JMa_PJ92_1,AZ_Pi_JMa_PJ92_10,AZ_Pi_JMa_PJ92_11,AZ_Pi_JMa_PJ92_12,AZ_Pi_JMa_PJ92_2,AZ_Pi_JMa_PJ92_3,AZ_Pi_JMa_PJ92_4,AZ_Pi_JMa_PJ92_5,AZ_Pi_JMa_PJ92_6,AZ_Pi_JMa_PJ92_7,AZ_Pi_JMa_PJ92_8,AZ_Pi_JMa_PJ92_9
AZ_Pi_JMa_PJ91_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ_Pi_JMa_PJ91_10,NA,0,1.22358316090258,0.792060052224905,0.773189888233482,0.906721280858004,1.57221860977448,1.31218638896617,1.89067234089301,1.77288930523663,1.36668400454325,0.530435980342632,1.11803037452521,0.866699927021236,1.17865499634165,1.09512795401006,0.966783385578219,1.15904463976501,1.38629436111989,1.38281002646184,3.86771667624984,NA,1.2721650351294,0.887110924281364
AZ_Pi_JMa_PJ91_11,NA,1.22358316090258,0,0.692406987974728,1.62904826901074,1.04126160410862,0.772449695648265,2.13987389277673,3.95050352599621,2.56420916487632,1.07880966137193,1.51412773262978,0.599428851829583,0.672736183299818,0.712757537136586,0.957734561777039,1.6943874308318,0.693147180559945,0.635796496000458,2.2386684072391,1.90219617061789,NA,1.00124025027185,0.967584026261706
AZ_Pi_JMa_PJ91_12,NA,0.792060052224905,0.692406987974728,0,1.07974212467669,1.26206368147064,1.21639532432449,1.77288930523663,2.19722457733622,1.90954250488444,1.11729018193999,0.815009310067061,0.637909372397647,0.6719959907146,1.26206368147064,0.554382330066064,1.85065098705625,0.954771252442219,1.02567490340641,1.17853663913906,1.94067669118595,NA,1.53219725593771,0.484767623196484
AZ_Pi_JMa_PJ91_2,NA,0.773189888233482,1.62904826901074,1.07974212467669,0,0.517256514096281,1.57221860977448,2.56494935746154,2.58381952145296,NA,1.85219182032495,0.840590908646471,0.773189888233482,1.07800902068844,0.693147180559945,0.648840851381643,0.915490091190668,0.987194382838346,1.31218638896617,2.07595720702179,2.48142231512995,NA,1.83178082306482,1.29257603238953
AZ_Pi_JMa_PJ91_3,NA,0.906721280858004,1.04126160410862,1.26206368147064,0.517256514096281,0,0.925591444849428,1.38629436111989,2.36067597013875,NA,1.04126160410862,1.36668400454325,0.454736157114947,0.477235160259513,0.815749502652278,1.15966647514763,0.692346539876458,0.796139146075637,1.00680473941499,3.1745694956899,2.76910438758173,NA,0.866699927021236,1.36668400454325
AZ_Pi_JMa_PJ91_4,NA,1.57221860977448,0.772449695648265,1.21639532432449,1.57221860977448,0.925591444849428,0,1.33105655295759,2.60268968544438,3.98898404656427,0.583207696009736,1.242453324894,0.712017344551369,0.794598312806933,0.879071429214535,1.40168019045327,1.22204232763387,0.859461072637894,0.306552236443205,2.50029247912138,3.88658684024127,NA,0.6719959907146,0.815009310067061
AZ_Pi_JMa_PJ91_5,NA,1.31218638896617,2.13987389277673,1.77288930523663,2.56494935746154,1.38629436111989,1.33105655295759,0,1.19752516033307,1.48520723278485,1.44672671221679,1.04126160410862,1.87180217690159,1.60863727175061,1.87180217690159,1.67049209891362,0.775728148815509,1.85219182032495,1.06087196068526,1.15966647514763,2.48142231512995,NA,0.579017854569455,2.5453390008849
AZ_Pi_JMa_PJ91_6,NA,1.89067234089301,3.95050352599621,2.19722457733622,2.58381952145296,2.36067597013875,2.60268968544438,1.19752516033307,0,1.09861228866811,3.95050352599621,2.8518912373281,2.1783544133448,3.93009252873608,3.27696670201291,1.58400174724722,1.29103519912082,1.55260825319784,2.36067597013875,1.80714529856143,2.50029247912138,NA,1.44518587894808,2.56420916487632
AZ_Pi_JMa_PJ91_7,NA,1.77288930523663,2.56420916487632,1.90954250488444,NA,NA,3.98898404656427,1.48520723278485,1.09861228866811,0,2.56420916487632,1.55260825319784,3.97011388257285,2.54379816761619,NA,NA,2.54379816761619,2.0045933769409,3.27696670201291,1.58400174724722,1.94067669118595,NA,2.32065461630198,1.55260825319784
AZ_Pi_JMa_PJ91_8,NA,1.36668400454325,1.07880966137193,1.11729018193999,1.85219182032495,1.04126160410862,0.583207696009736,1.44672671221679,3.95050352599621,2.56420916487632,0,1.20397280432594,1.04126160410862,0.672736183299818,0.987194382838346,1.90219617061789,1.94570185911271,1.27296567581289,0.753579531656841,1.54552122667916,2.46181195855331,NA,0.895879734614027,1.13943428318836
AZ_Pi_JMa_PJ91_9,NA,0.530435980342632,1.51412773262978,0.815009310067061,0.840590908646471,1.36668400454325,1.242453324894,1.04126160410862,2.8518912373281,1.55260825319784,1.20397280432594,0,1.44672671221679,0.756117792238869,1.04126160410862,0.852374046119213,1.32666265070648,2.12026353620009,1.04126160410862,1.01489297561699,3.8481063196732,NA,1.40670535838002,0.7339691750802
AZ_Pi_JMa_PJ92_1,NA,1.11803037452521,0.599428851829583,0.637909372397647,0.773189888233482,0.454736157114947,0.712017344551369,1.87180217690159,2.1783544133448,3.97011388257285,1.04126160410862,1.44672671221679,0,0.579017854569455,0.906721280858004,0.689662845901899,0.820179911386343,0.840590908646471,0.773189888233482,2.25827876381574,2.48142231512995,NA,0.866699927021236,0.599428851829583
AZ_Pi_JMa_PJ92_10,NA,0.866699927021236,0.672736183299818,0.6719959907146,1.07800902068844,0.477235160259513,0.794598312806933,1.60863727175061,3.93009252873608,2.54379816761619,0.672736183299818,0.756117792238869,0.579017854569455,0,0.775728148815509,1.42980004961471,1.30625165344635,1.0583986641118,0.61538549874033,1.88178517335776,2.72908303374497,NA,1.03798766685167,0.847089570444596
AZ_Pi_JMa_PJ92_11,NA,1.17865499634165,0.712757537136586,1.26206368147064,0.693147180559945,0.815749502652278,0.879071429214535,1.87180217690159,3.27696670201291,NA,0.987194382838346,1.04126160410862,0.906721280858004,0.775728148815509,0,0.871984402695853,1.34627300728312,0.712757537136586,0.655406852577098,1.5651315832558,2.76910438758173,NA,1.02085060684849,1.22358316090258
AZ_Pi_JMa_PJ92_12,NA,1.09512795401006,0.957734561777039,0.554382330066064,0.648840851381643,1.15966647514763,1.40168019045327,1.67049209891362,1.58400174724722,NA,1.90219617061789,0.852374046119213,0.689662845901899,1.42980004961471,0.871984402695853,0,1.11964512131087,0.957734561777039,1.03450333219363,1.48160454092422,1.83827948486295,NA,1.26274596495154,0.852374046119213
AZ_Pi_JMa_PJ92_2,NA,0.966783385578219,1.6943874308318,1.85065098705625,0.915490091190668,0.692346539876458,1.22204232763387,0.775728148815509,1.29103519912082,2.54379816761619,1.94570185911271,1.32666265070648,0.820179911386343,1.30625165344635,1.34627300728312,1.11964512131087,0,1.00124025027185,1.2721650351294,1.26274596495154,2.44140096129319,NA,0.980829253011726,1.49371673536965
AZ_Pi_JMa_PJ92_3,NA,1.15904463976501,0.693147180559945,0.954771252442219,0.987194382838346,0.796139146075637,0.859461072637894,1.85219182032495,1.55260825319784,2.0045933769409,1.27296567581289,2.12026353620009,0.840590908646471,1.0583986641118,0.712757537136586,0.957734561777039,1.00124025027185,0,0.673536823983305,2.46181195855331,3.15495913911326,NA,0.895879734614027,0.916290731874155
