,CA_Sol_JC_PJ69_1,CA_Sol_JC_PJ69_10,CA_Sol_JC_PJ69_11,CA_Sol_JC_PJ69_12,CA_Sol_JC_PJ69_2,CA_Sol_JC_PJ69_3,CA_Sol_JC_PJ69_4,CA_Sol_JC_PJ69_5,CA_Sol_JC_PJ69_6,CA_Sol_JC_PJ69_7,CA_Sol_JC_PJ69_8,CA_Sol_JC_PJ69_9,CA_Sol_JC_PJ70_1,CA_Sol_JC_PJ70_10,CA_Sol_JC_PJ70_11,CA_Sol_JC_PJ70_12,CA_Sol_JC_PJ70_2,CA_Sol_JC_PJ70_3,CA_Sol_JC_PJ70_4,CA_Sol_JC_PJ70_5,CA_Sol_JC_PJ70_6,CA_Sol_JC_PJ70_7,CA_Sol_JC_PJ70_8,CA_Sol_JC_PJ70_9
CA_Sol_JC_PJ69_1,0,0.712757537136586,0.404778766202178,1.85219182032495,0.987194382838346,0.637909372397647,1.06087196068526,NA,NA,NA,1.2721650351294,1.15904463976501,1.23325464232414,0.619039208406223,1.25088522792,0.435125800538306,NA,NA,0.732367893713227,NA,NA,NA,0.999570799639096,1.00680473941499
CA_Sol_JC_PJ69_10,0.712757537136586,0,1.13547400402543,1.27296567581289,0.579818495252942,0.45399596452973,0.935901088450796,NA,NA,NA,1.00124025027185,0.967584026261706,0.990500734433292,0.753579531656841,1.09774347871884,0.579818495252942,NA,NA,0.840590908646471,NA,NA,NA,0.87459992740463,1.04126160410862
CA_Sol_JC_PJ69_11,0.404778766202178,1.13547400402543,0,1.13547400402543,1.13547400402543,0.711331002645383,1.09792594676212,NA,NA,NA,1.30921902120626,0.833193132152498,1.04716507708679,0.852803488729139,0.982557564445682,0.672850482077318,NA,NA,0.810243874310343,NA,NA,NA,1.36204718615059,0.692460838653959
CA_Sol_JC_PJ69_12,1.85219182032495,1.27296567581289,1.13547400402543,0,0.7339691750802,0.772449695648265,0.840590908646471,NA,NA,NA,1.81217046648818,0.967584026261706,0.850738792058133,0.935901088450796,0.734837985029471,1.07880966137193,NA,NA,1.04126160410862,NA,NA,NA,1.79089065927878,0.935901088450796
CA_Sol_JC_PJ69_2,0.987194382838346,0.579818495252942,1.13547400402543,0.7339691750802,0,0.692406987974728,0.712757537136586,NA,NA,NA,2.09985253893996,0.7339691750802,0.430884946497869,0.673536823983305,1.16228199985641,0.653926467406664,NA,NA,0.530435980342632,NA,NA,NA,0.979960443062456,0.599428851829583
CA_Sol_JC_PJ69_3,0.637909372397647,0.45399596452973,0.711331002645383,0.772449695648265,0.692406987974728,0,0.712017344551369,NA,NA,NA,1.09687918467987,0.772449695648265,0.805837703687146,0.386594944116741,0.964373742360244,0.312917366269824,NA,NA,0.75123805770465,NA,NA,NA,0.650716183505203,0.834619666643701
CA_Sol_JC_PJ69_4,1.06087196068526,0.935901088450796,1.09792594676212,0.840590908646471,0.712757537136586,0.712017344551369,0,NA,NA,NA,1.02085060684849,0.887110924281364,0.673638854388719,0.693147180559945,1.58735746454122,0.796139146075637,NA,NA,0.955511445027436,NA,NA,NA,0.89421028398127,1.11803037452521
CA_Sol_JC_PJ69_5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ69_6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ69_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ69_8,1.2721650351294,1.00124025027185,1.30921902120626,1.81217046648818,2.09985253893996,1.09687918467987,1.02085060684849,NA,NA,NA,0,1.40670535838002,1.40087265326562,1.51332709194629,1.45202593090012,1.11902328592824,NA,NA,1.96531221568935,NA,NA,NA,1.01670785964228,1.02085060684849
CA_Sol_JC_PJ69_9,1.15904463976501,0.967584026261706,0.833193132152498,0.967584026261706,0.7339691750802,0.772449695648265,0.887110924281364,NA,NA,NA,1.40670535838002,0,0.728136469965801,0.987194382838346,0.612235662937138,0.867500567704723,NA,NA,0.887110924281364,NA,NA,NA,1.30538284349708,1.09842001794857
CA_Sol_JC_PJ70_1,1.23325464232414,0.990500734433292,1.04716507708679,0.850738792058133,0.430884946497869,0.805837703687146,0.673638854388719,NA,NA,NA,1.40087265326562,0.728136469965801,0,0.827789534215978,1.45963555372976,0.850738792058133,NA,NA,0.786967539695723,NA,NA,NA,1.3054848739025,0.827789534215978
CA_Sol_JC_PJ70_10,0.619039208406223,0.753579531656841,0.852803488729139,0.935901088450796,0.673536823983305,0.386594944116741,0.693147180559945,NA,NA,NA,1.51332709194629,0.987194382838346,0.827789534215978,0,1.05672921347905,0.635796496000458,NA,NA,1.17865499634165,NA,NA,NA,0.945503578368821,0.860201265223111
CA_Sol_JC_PJ70_11,1.25088522792,1.09774347871884,0.982557564445682,0.734837985029471,1.16228199985641,0.964373742360244,1.58735746454122,NA,NA,NA,1.45202593090012,0.612235662937138,1.45963555372976,1.05672921347905,0,1.0371188569024,NA,NA,1.18189235643305,NA,NA,NA,2.03688192726104,1.18189235643305
CA_Sol_JC_PJ70_12,0.435125800538306,0.579818495252942,0.672850482077318,1.07880966137193,0.653926467406664,0.312917366269824,0.796139146075637,NA,NA,NA,1.11902328592824,0.867500567704723,0.850738792058133,0.635796496000458,1.0371188569024,0,NA,NA,0.530435980342631,NA,NA,NA,0.734837985029471,0.712757537136586
CA_Sol_JC_PJ70_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ70_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ70_4,0.732367893713227,0.840590908646471,0.810243874310343,1.04126160410862,0.530435980342632,0.75123805770465,0.955511445027436,NA,NA,NA,1.96531221568935,0.887110924281364,0.786967539695723,1.17865499634165,1.18189235643305,0.530435980342631,NA,NA,0,NA,NA,NA,0.631846019513779,0.815749502652278
CA_Sol_JC_PJ70_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_Sol_JC_PJ70_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_Sol_JC_PJ70_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_Sol_JC_PJ70_8,0.999570799639096,0.87459992740463,1.36204718615059,1.79089065927878,0.979960443062456,0.650716183505203,0.89421028398127,NA,NA,NA,1.01670785964228,1.30538284349708,1.3054848739025,0.945503578368821,2.03688192726104,0.734837985029471,NA,NA,0.631846019513779,NA,NA,NA,0,0.711888727187316
CA_Sol_JC_PJ70_9,1.00680473941499,1.04126160410862,0.692460838653959,0.935901088450796,0.599428851829583,0.834619666643701,1.11803037452521,NA,NA,NA,1.02085060684849,1.09842001794857,0.827789534215978,0.860201265223111,1.18189235643305,0.712757537136586,NA,NA,0.815749502652278,NA,NA,NA,0.711888727187316,0
