,NM_Soc_JMa_PJ23_1,NM_Soc_JMa_PJ23_10,NM_Soc_JMa_PJ23_11,NM_Soc_JMa_PJ23_12,NM_Soc_JMa_PJ23_13,NM_Soc_JMa_PJ23_14,NM_Soc_JMa_PJ23_15,NM_Soc_JMa_PJ23_16,NM_Soc_JMa_PJ23_17,NM_Soc_JMa_PJ23_18,NM_Soc_JMa_PJ23_19,NM_Soc_JMa_PJ23_2,NM_Soc_JMa_PJ23_20,NM_Soc_JMa_PJ23_21,NM_Soc_JMa_PJ23_22,NM_Soc_JMa_PJ23_23,NM_Soc_JMa_PJ23_24,NM_Soc_JMa_PJ23_3,NM_Soc_JMa_PJ23_4,NM_Soc_JMa_PJ23_5,NM_Soc_JMa_PJ23_6,NM_Soc_JMa_PJ23_7,NM_Soc_JMa_PJ23_8,NM_Soc_JMa_PJ23_9,NM_Soc_JMa_PJ24_1,NM_Soc_JMa_PJ24_10,NM_Soc_JMa_PJ24_11,NM_Soc_JMa_PJ24_12,NM_Soc_JMa_PJ24_13,NM_Soc_JMa_PJ24_14,NM_Soc_JMa_PJ24_15,NM_Soc_JMa_PJ24_16,NM_Soc_JMa_PJ24_17,NM_Soc_JMa_PJ24_18,NM_Soc_JMa_PJ24_19,NM_Soc_JMa_PJ24_2,NM_Soc_JMa_PJ24_20,NM_Soc_JMa_PJ24_21,NM_Soc_JMa_PJ24_22,NM_Soc_JMa_PJ24_23,NM_Soc_JMa_PJ24_24,NM_Soc_JMa_PJ24_3,NM_Soc_JMa_PJ24_4,NM_Soc_JMa_PJ24_5,NM_Soc_JMa_PJ24_6,NM_Soc_JMa_PJ24_7,NM_Soc_JMa_PJ24_8,NM_Soc_JMa_PJ24_9
NM_Soc_JMa_PJ23_1,0,0.287043910271979,0.182321556793955,0.44375335795669,0.359195969928626,0.423648930193602,0.37806613392005,0.766616990533865,0.783567766371706,2.23295405932729,2.04307389750896,0.325422400434628,1.19752516033307,0.335834074441411,0.395155464506797,0.287043910271979,0.536126678087705,0.293595801945404,0.674963358474508,1.23457914640993,NA,1.90954250488444,0.962645430926289,0.369581708923326,0.386594944116741,0.484767623196484,0.48080734403355,0.44375335795669,0.693147180559945,0.587786664902119,0.568916500910695,0.536126678087705,1.01143559509572,NA,1.50407739677627,0.879071429214535,1.19150018449913,0.766616990533865,0.583207696009736,0.916125415291396,0.554996842079128,0.523248143764548,0.541431965849985,1.92772632696988,2.04307389750896,1.77288930523663,1.19752516033307,0.458145365937078
NM_Soc_JMa_PJ23_10,0.287043910271979,0,0.441194590099237,0.673638854388719,0.479482839947762,0.214255954151689,0.387127368828961,0.728238500371216,0.986351333025944,1.42138568093116,1.7221284355613,0.287043910271979,1.01011109100993,0.476924072090309,0.375315095343058,0.594707107746693,0.747746826542441,0.459378412184674,0.516536826024623,1.55799070085278,NA,1.38565619894009,1.15252559274462,0.516536826024623,0.422324426107813,0.520497105187556,0.864843520292839,0.422324426107813,0.623516146893192,0.441194590099237,0.540107461764197,0.342281718434277,0.951854897282468,2.63841916743546,1.53980687876735,0.827789534215978,1.06471073699243,0.882389180198474,0.585035626325127,0.784800812619302,0.623516146893192,0.55897762575562,0.641699968978629,1.55799070085278,2.63841916743546,1.92640182288409,0.914800911205607,0.439807626657874
NM_Soc_JMa_PJ23_11,0.182321556793955,0.441194590099237,0,0.414765821083437,0.473606321106371,0.369581708923326,0.275411979859967,0.766616990533865,0.783567766371706,2.23295405932729,1.90954250488444,0.433635985074861,1.02567490340641,0.441194590099237,0.45399596452973,0.112690523127201,0.414765821083437,0.369581708923326,0.788292043781511,1.1739545245935,NA,2.19722457733622,1.23457914640993,0.480807344033551,0.414765821083437,0.618299015821006,0.396249956005487,0.414765821083437,0.587786664902119,0.523248143764548,0.834619666643701,0.568916500910695,0.962645430926289,3.29583686600433,1.5910887737659,0.75123805770465,1.25212480631557,0.623516146893191,0.424143001380049,0.711331002645383,0.462623521948113,0.523248143764548,0.541431965849985,1.70458277565567,2.04307389750896,1.89067234089301,1.40516452511131,0.458145365937078
NM_Soc_JMa_PJ23_12,0.44375335795669,0.673638854388719,0.414765821083437,0,0.655406852577098,0.522561801858562,0.637909372397647,0.673638854388719,0.844740310053818,2.21408389533587,1.66752878957881,0.602818052586377,1.06087196068526,0.914800911205607,0.673536823983305,0.540107461764197,0.583947888594953,0.621001874671814,0.852803488729139,1.15508436060207,NA,1.48520723278485,1.09792594676212,0.852803488729139,0.693147180559945,0.796139146075637,0.554310500173142,0.367724780125317,0.637909372397647,0.925591444849428,0.955511445027436,0.732367893713227,0.897255251299972,NA,1.26206368147064,0.693147180559945,1.11547160666776,1.44089400710239,0.46589745920506,0.943775266934865,0.792060052224905,0.97438160901886,0.621001874671814,1.21570898241851,2.58381952145296,1.46633706879343,1.31218638896617,0.931751687043448
NM_Soc_JMa_PJ23_13,0.359195969928626,0.479482839947762,0.473606321106371,0.655406852577098,0,0.587100322996133,0.712017344551369,0.747746826542441,0.931751687043448,2.21408389533587,3.27696670201291,0.306552236443205,1.00680473941499,0.479482839947762,0.170433246311224,0.673638854388719,0.550046336919272,0.432949643168875,0.621001874671814,1.79107312732207,NA,2.1783544133448,0.992565431104297,0.587100322996133,0.583947888594953,0.46589745920506,0.692460838653959,0.619039208406223,0.568916500910695,0.473606321106371,0.693147180559945,0.550046336919272,1.04385872549185,3.27696670201291,1.77288930523663,0.906721280858004,1.06140438539748,0.747746826542441,0.753579531656841,0.852803488729138,0.568916500910695,0.504377979773124,0.404778766202178,1.68571261166424,3.97011388257285,2.15948424935337,0.906721280858004,0.764697602380282
NM_Soc_JMa_PJ23_14,0.423648930193602,0.214255954151689,0.369581708923326,0.522561801858562,0.587100322996133,0,0.293595801945404,0.71069284046558,1.06411585292463,1.96345580896095,2.62087350752982,0.48080734403355,1.09792594676212,0.641699968978629,0.442326823465486,0.459378412184674,0.587100322996133,0.624154309072994,0.767255152713667,1.54044504094715,NA,1.92772632696988,1.25276296849537,0.658055860748675,0.461937180042127,0.636482837906444,0.693147180559945,0.461937180042127,0.480807344033551,0.541431965849985,0.730201166636806,0.377379792014064,1.13497993283898,NA,1.36811053903445,0.730201166636806,1.270308628401,0.824021525772584,0.502951445281921,0.658055860748675,0.480807344033551,0.674963358474508,0.693147180559945,1.54044504094715,2.62087350752982,1.90885616297845,1.15508436060207,0.476329188022515
NM_Soc_JMa_PJ23_15,0.37806613392005,0.387127368828961,0.275411979859967,0.637909372397647,0.712017344551369,0.293595801945404,0,0.933671075197031,0.863610474045242,1.94527198687551,1.79175946922805,0.6216882165778,1.02567490340641,0.311141461851039,0.654666659991881,0.311141461851039,0.306552236443205,0.541431965849985,0.916125415291396,1.52226121886171,NA,1.79175946922805,1.52226121886171,0.451819807160298,0.674277016568522,0.45399596452973,0.74907133062823,0.414765821083437,0.405465108108164,0.65677953638907,0.504377979773124,0.568916500910695,1.23457914640993,3.29583686600433,1.34992671694902,0.925591444849428,1.38565619894009,0.469365467065933,0.261624071882274,0.510660307183232,0.300104592450338,0.770108221696074,0.711331002645383,2.39772995621561,2.37954613413017,1.57221860977448,1.89067234089301,0.213022907904093
NM_Soc_JMa_PJ23_16,0.766616990533865,0.728238500371216,0.766616990533865,0.673638854388719,0.747746826542441,0.71069284046558,0.933671075197031,0,0.165370780956114,2.67414864942653,2.23295405932729,0.55897762575562,0.827789534215978,0.969400557188104,0.728136469965801,0.882389180198474,0.747746826542441,0.516536826024623,0.784800812619302,0.784800812619302,NA,2.23295405932729,0.577161447841058,0.951854897282468,0.827789534215978,0.895190554628967,0.864843520292839,0.604645982901768,0.623516146893192,1.02898125500136,0.673638854388719,0.604645982901768,0.214255954151689,2.63841916743546,1.7221284355613,0.747746826542441,0.802346472524937,1.17007125265025,0.990500734433292,0.951854897282468,1.13434177065918,0.623516146893192,0.354017896526848,0.71069284046558,3.3315663479954,1.92640182288409,0.45049530307451,0.676196404722105
NM_Soc_JMa_PJ23_17,0.783567766371706,0.986351333025944,0.783567766371706,0.844740310053818,0.931751687043448,1.06411585292463,0.863610474045242,0.165370780956114,0,2.2856343171562,1.73907921139914,0.783567766371706,0.844740310053818,0.899339956036314,1.11281202592896,0.819297248362778,0.69058963022656,0.533487601862464,0.801751588457143,0.533487601862464,NA,1.96222276271335,0.727643616303421,0.881794296130679,1.02706186684777,0.912141330466808,0.881794296130679,0.621596758739609,0.863610474045242,1.26907558215341,0.557058237602038,0.844740310053818,0.147825121050479,2.6553699432733,1.26907558215341,0.764697602380282,0.745189276209056,1.1870220284881,1.00745151027113,0.968805673120309,1.40260697477793,0.950621851034872,0.422261966752239,0.801751588457143,2.6553699432733,1.53788749061376,0.557058237602038,0.628608659422374
NM_Soc_JMa_PJ23_18,2.23295405932729,1.42138568093116,2.23295405932729,2.21408389533587,2.21408389533587,1.96345580896095,1.94527198687551,2.67414864942653,2.2856343171562,0,0.387127368828961,1.53980687876735,1.92640182288409,1.57553636075842,2.19447353875923,2.67414864942653,1.92640182288409,2.25113788141273,2.25113788141273,2.25113788141273,NA,0.196072132066252,2.25113788141273,2.25113788141273,1.92640182288409,2.59993864686739,2.65660298952089,1.92640182288409,2.63841916743546,2.63841916743546,1.52093671477592,1.92640182288409,2.25113788141273,0.766616990533865,0.846659698207401,2.21408389533587,1.98100146886658,3.36729582998647,2.19447353875923,2.65660298952089,2.63841916743546,3.3315663479954,1.74031225764674,1.96345580896095,0.361151882425701,0.673638854388719,2.61954900344403,1.77480869339021
