,CA_Sol_Jai_PJ33_1,CA_Sol_Jai_PJ33_10,CA_Sol_Jai_PJ33_11,CA_Sol_Jai_PJ33_12,CA_Sol_Jai_PJ33_13,CA_Sol_Jai_PJ33_14,CA_Sol_Jai_PJ33_15,CA_Sol_Jai_PJ33_16,CA_Sol_Jai_PJ33_17,CA_Sol_Jai_PJ33_18,CA_Sol_Jai_PJ33_19,CA_Sol_Jai_PJ33_2,CA_Sol_Jai_PJ33_20,CA_Sol_Jai_PJ33_21,CA_Sol_Jai_PJ33_22,CA_Sol_Jai_PJ33_23,CA_Sol_Jai_PJ33_24,CA_Sol_Jai_PJ33_3,CA_Sol_Jai_PJ33_4,CA_Sol_Jai_PJ33_5,CA_Sol_Jai_PJ33_6,CA_Sol_Jai_PJ33_7,CA_Sol_Jai_PJ33_8,CA_Sol_Jai_PJ33_9,CA_Sol_Jai_PJ34_1,CA_Sol_Jai_PJ34_10,CA_Sol_Jai_PJ34_11,CA_Sol_Jai_PJ34_12,CA_Sol_Jai_PJ34_13,CA_Sol_Jai_PJ34_14,CA_Sol_Jai_PJ34_15,CA_Sol_Jai_PJ34_16,CA_Sol_Jai_PJ34_17,CA_Sol_Jai_PJ34_18,CA_Sol_Jai_PJ34_19,CA_Sol_Jai_PJ34_2,CA_Sol_Jai_PJ34_20,CA_Sol_Jai_PJ34_21,CA_Sol_Jai_PJ34_22,CA_Sol_Jai_PJ34_23,CA_Sol_Jai_PJ34_24,CA_Sol_Jai_PJ34_3,CA_Sol_Jai_PJ34_4,CA_Sol_Jai_PJ34_5,CA_Sol_Jai_PJ34_6,CA_Sol_Jai_PJ34_7,CA_Sol_Jai_PJ34_8,CA_Sol_Jai_PJ34_9
CA_Sol_Jai_PJ33_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jai_PJ33_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jai_PJ33_20,NA,0.951854897282468,1.92640182288409,NA,NA,1.2136442857475,NA,0.479482839947762,0.827789534215978,0.914800911205607,NA,NA,0,1.25999898479964,0.55897762575562,1.01011109100993,NA,1.08910297817612,NA,1.09586125009112,0.930222253163738,0.585035626325128,1.11547160666776,0.948809929963766,2.55824784239787,2.59993864686739,1.64195711052371,3.31269618400398,1.98100146886658,NA,2.512761953295,3.34975017008084,2.59993864686739,1.92640182288409,2.1740625414991,NA,1.88638046904732,2.57952764960726,2.57952764960726,2.19447353875923,1.74031225764674,NA,1.70325827156988,NA,2.59993864686739,2.69109942526437,1.70325827156988,2.59993864686739
CA_Sol_Jai_PJ33_21,NA,0.991138896613094,0.954084910536233,NA,NA,1.25989695439422,NA,1.44656139563403,1.07186794619262,1.01124332437618,NA,NA,1.25999898479964,0,0.972955074527657,1.44656139563403,NA,1.27602297631281,NA,1.1857889822405,0.822902778302488,0.689352095926608,0.799934230708975,0.892783749490067,1.48057041439219,2.43855195073587,1.48057041439219,1.89854651937708,1.81961477273506,1.81961477273506,2.35137525716348,2.78289836584115,2.0330868426277,2.2350187559983,2.19499740216153,2.0330868426277,1.31952866480763,1.60721073725941,1.60721073725941,1.62762173451954,2.0897511852812,3.82484631185576,2.2350187559983,1.64723209109618,1.52226121886171,1.8365655485729,1.89854651937708,2.72623402318765
CA_Sol_Jai_PJ33_22,NA,1.92772632696988,1.13690053851663,NA,NA,1.17791480375643,NA,0.712017344551369,1.07974212467669,0.712017344551369,NA,NA,0.55897762575562,0.972955074527657,0,0.712017344551369,NA,1.17853663913906,NA,1.64791843300216,0.894492771172665,1.11729018193999,1.07974212467669,1.42390607173868,1.96290257247137,2.56420916487632,1.1362239992869,3.97011388257285,1.25212480631557,2.23295405932729,2.47703247130393,2.62087350752982,2.15874405676816,1.33105655295759,1.53219725593771,2.56420916487632,1.62750743574204,1.85065098705625,2.54379816761619,2.15874405676816,1.23457914640993,3.95050352599621,1.57221860977448,3.27696670201291,2.34106561356211,1.73907921139914,1.66752878957881,2.15874405676816
CA_Sol_Jai_PJ33_23,NA,1.04385872549185,1.38629436111989,NA,NA,1.44672671221679,NA,0.773189888233482,1.38629436111989,1.17865499634165,NA,NA,1.01011109100993,1.44656139563403,0.712017344551369,0,NA,0.689662845901899,NA,1.44672671221679,1.11201138524547,1.15904463976501,0.906721280858004,1.69271798019904,1.69271798019904,3.23848618144484,1.81050101585543,1.64865862558738,1.52093671477592,2.21408389533587,1.44656139563403,2.88968541599018,2.13987389277673,2.15948424935337,2.1194628955166,1.85219182032495,1.60863727175061,2.52492800362477,3.21807518418471,1.85219182032495,1.79107312732207,3.23848618144484,3.25809653802148,2.85263142991332,1.85219182032495,1.72020904740772,2.34180580614733,1.85219182032495
CA_Sol_Jai_PJ33_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jai_PJ33_3,NA,0.537474832340231,1.38281002646184,NA,NA,1.20904899005795,NA,0.648840851381643,1.5651315832558,0.97734491835368,NA,NA,1.08910297817612,1.27602297631281,1.17853663913906,0.689662845901899,NA,0,NA,0.957734561777039,0.740802270462108,0.515901809498,0.823194238526421,0.973202171147462,2.01465604597562,3.8481063196732,2.01465604597562,1.30276731878831,1.61973122923829,2.13055685300429,1.36303435330244,2.51847630120681,2.2386684072391,2.07595720702179,1.63047074507686,1.54552122667916,2.44140096129319,3.13454814185313,3.13454814185313,1.65088174233698,1.60218556933266,2.46181195855331,3.1745694956899,2.76910438758173,3.15495913911326,1.85982555639034,2.76910438758173,1.65088174233698
CA_Sol_Jai_PJ33_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jai_PJ33_5,NA,0.972955074527657,1.15904463976501,NA,NA,1.02165124753198,NA,1.98572321294947,1.22358316090258,0.796139146075637,NA,NA,1.09586125009112,1.1857889822405,1.64791843300216,1.44672671221679,NA,0.957734561777039,NA,0,1.16139390015578,0.867500567704723,0.405272837388625,0.734837985029471,1.23127487134336,2.30258509299405,1.56774710796457,1.29257603238953,1.50132635819928,2.19447353875923,1.52226121886171,2.35924943564755,1.51412773262978,2.13987389277673,1.94570185911271,1.96611285637283,1.49371673536965,1.81217046648818,3.19846482760807,1.34707364796661,1.57079207528328,3.2188758248682,2.32219544957069,2.13987389277673,1.6094379124341,1.51827713403712,1.85219182032495,1.07880966137193
