,CA_SD_Jsp_PJ5_1,CA_SD_Jsp_PJ5_10,CA_SD_Jsp_PJ5_11,CA_SD_Jsp_PJ5_12,CA_SD_Jsp_PJ5_13,CA_SD_Jsp_PJ5_14,CA_SD_Jsp_PJ5_15,CA_SD_Jsp_PJ5_16,CA_SD_Jsp_PJ5_17,CA_SD_Jsp_PJ5_19,CA_SD_Jsp_PJ5_2,CA_SD_Jsp_PJ5_21,CA_SD_Jsp_PJ5_22,CA_SD_Jsp_PJ5_23,CA_SD_Jsp_PJ5_24,CA_SD_Jsp_PJ5_3,CA_SD_Jsp_PJ5_4,CA_SD_Jsp_PJ5_5,CA_SD_Jsp_PJ5_6,CA_SD_Jsp_PJ5_7,CA_SD_Jsp_PJ5_8,CA_SD_Jsp_PJ5_9,CA_SD_Jsp_PJ6_1,CA_SD_Jsp_PJ6_10,CA_SD_Jsp_PJ6_11,CA_SD_Jsp_PJ6_13,CA_SD_Jsp_PJ6_14,CA_SD_Jsp_PJ6_15,CA_SD_Jsp_PJ6_16,CA_SD_Jsp_PJ6_17,CA_SD_Jsp_PJ6_18,CA_SD_Jsp_PJ6_19,CA_SD_Jsp_PJ6_2,CA_SD_Jsp_PJ6_20,CA_SD_Jsp_PJ6_21,CA_SD_Jsp_PJ6_22,CA_SD_Jsp_PJ6_23,CA_SD_Jsp_PJ6_24,CA_SD_Jsp_PJ6_4,CA_SD_Jsp_PJ6_5,CA_SD_Jsp_PJ6_6,CA_SD_Jsp_PJ6_7,CA_SD_Jsp_PJ6_8,CA_SD_Jsp_PJ6_9,CA_SD_Jsp_PJ7_1,CA_SD_Jsp_PJ7_10,CA_SD_Jsp_PJ7_11,CA_SD_Jsp_PJ7_12,CA_SD_Jsp_PJ7_13,CA_SD_Jsp_PJ7_14,CA_SD_Jsp_PJ7_15,CA_SD_Jsp_PJ7_16,CA_SD_Jsp_PJ7_17,CA_SD_Jsp_PJ7_18,CA_SD_Jsp_PJ7_19,CA_SD_Jsp_PJ7_2,CA_SD_Jsp_PJ7_20,CA_SD_Jsp_PJ7_21,CA_SD_Jsp_PJ7_24,CA_SD_Jsp_PJ7_3,CA_SD_Jsp_PJ7_4,CA_SD_Jsp_PJ7_5,CA_SD_Jsp_PJ7_7,CA_SD_Jsp_PJ7_8,CA_SD_Jsp_PJ7_9,CA_SD_Jsp_PJ8_1,CA_SD_Jsp_PJ8_12,CA_SD_Jsp_PJ8_16,CA_SD_Jsp_PJ8_18,CA_SD_Jsp_PJ8_2,CA_SD_Jsp_PJ8_22,CA_SD_Jsp_PJ8_23,CA_SD_Jsp_PJ8_24,CA_SD_Jsp_PJ8_3,CA_SD_Jsp_PJ8_5,CA_SD_Jsp_PJ8_6,CA_SD_Jsp_PJ8_7
CA_SD_Jsp_PJ7_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ7_4,NA,NA,NA,NA,1.06411585292463,NA,NA,NA,NA,1.36412645420986,NA,NA,NA,1.497866136777,1.11281202592896,NA,NA,NA,NA,NA,1.70059869083108,2.61688942270523,1.63668200507614,NA,1.70059869083108,1.90333124488516,NA,NA,NA,1.96222276271335,NA,1.36412645420986,NA,1.23059506158534,NA,1.32243564974034,1.25020541816198,NA,NA,NA,NA,NA,1.36412645420986,NA,1.53788749061376,NA,0.931751687043448,NA,NA,NA,NA,1.96222276271335,NA,NA,NA,0.762140052046897,0.863610474045242,NA,NA,NA,0,1.26907558215341,NA,0.931751687043448,1.16947636858246,0.987040513011005,1.51827713403712,0.950621851034872,3.26834579879565,2.23103467117371,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ7_5,NA,NA,NA,NA,1.52226121886171,NA,NA,NA,NA,1.242453324894,NA,NA,2.89037175789616,1.44518587894808,1.31144619638095,NA,NA,NA,NA,NA,1.17791480375643,1.46559687620821,1.32163748277973,NA,1.06013176810005,1.62750743574204,NA,NA,NA,1.79175946922805,NA,1.46559687620821,NA,1.31144619638095,NA,1.71158814419047,1.66752878957881,NA,NA,NA,NA,NA,1.06013176810005,NA,1.48520723278485,NA,1.26206368147064,NA,NA,NA,NA,2.19722457733622,NA,NA,NA,1.40260697477793,0.6216882165778,NA,NA,NA,1.26907558215341,0,NA,0.925591444849428,1.11679611075355,1.44518587894808,1.64791843300216,1.09861228866811,3.21566554096674,1.57221860977448,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ7_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ7_8,NA,NA,NA,NA,1.21570898241851,NA,NA,NA,NA,1.53373808920642,NA,NA,2.58381952145296,1.60863727175061,2.5453390008849,NA,NA,NA,NA,NA,0.796139146075637,1.98572321294947,1.78827513457001,NA,1.15904463976501,1.96531221568935,NA,NA,NA,1.40516452511131,NA,1.29257603238953,NA,1.73440878466857,NA,2.50364819641537,2.15948424935337,NA,NA,NA,NA,NA,1.29257603238953,NA,1.75401914124521,NA,1.31218638896617,NA,NA,NA,NA,1.13690053851663,NA,NA,NA,1.53788749061376,0.568916500910695,NA,NA,NA,0.931751687043448,0.925591444849428,NA,0,1.68571261166424,1.20317216364245,1.73440878466857,0.879071429214535,NA,1.46633706879343,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ7_9,NA,NA,NA,NA,1.7227665977411,NA,NA,NA,NA,2.35924943564755,NA,NA,2.39772995621561,2.56198198970163,1.88924580640181,NA,NA,NA,NA,NA,2.87007505941354,3.96868734808165,1.33982130486517,NA,1.26063714697944,2.15651688159347,NA,NA,NA,2.21540839942166,NA,3.2755401675217,NA,2.58239298696176,NA,0.982557564445682,0.621001874671814,NA,NA,NA,NA,NA,1.57079207528328,NA,1.21570898241851,NA,0.621001874671814,NA,NA,NA,NA,1.23457914640993,NA,NA,NA,1.06411585292463,1.06272888948327,NA,NA,NA,1.16947636858246,1.11679611075355,NA,1.68571261166424,0,0.952544077267529,0.710590810060166,1.01143559509572,2.82838425494401,0.769421879790088,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ8_1,NA,NA,NA,NA,2.84966406215341,NA,NA,NA,NA,1.94570185911271,NA,NA,3.93009252873608,NA,1.94570185911271,NA,NA,NA,NA,NA,2.28217409573392,2.28217409573392,1.74825378073324,NA,1.58902691517397,2.77258872223978,NA,NA,NA,NA,NA,1.6943874308318,NA,2.28217409573392,NA,1.14187100259628,1.13863364250488,NA,NA,NA,NA,NA,2.28217409573392,NA,1.83178082306482,NA,0.820179911386343,NA,NA,NA,NA,1.44518587894808,NA,NA,NA,0.89173033320668,1.22204232763387,NA,NA,NA,0.987040513011005,1.44518587894808,NA,1.20317216364245,0.952544077267529,0,0.947173029001578,1.44518587894808,1.90401105464318,0.733168534396713,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ8_12,NA,NA,NA,NA,2.58239298696176,NA,NA,NA,NA,2.52572864430826,NA,NA,2.34106561356211,3.19846482760807,1.71479842809193,NA,NA,NA,NA,NA,3.2188758248682,2.81341071676004,1.28315696221167,NA,2.12026353620009,2.79299971949991,NA,NA,NA,2.34106561356211,NA,2.30258509299405,NA,3.91202300542815,NA,0.612235662937138,0.46589745920506,NA,NA,NA,NA,NA,2.52572864430826,NA,1.22358316090258,NA,0.564337532018313,NA,NA,NA,NA,1.64791843300216,NA,NA,NA,1.00745151027113,1.87106198431637,NA,NA,NA,1.51827713403712,1.64791843300216,NA,1.73440878466857,0.710590810060166,0.947173029001578,0,1.64791843300216,NA,0.599428851829583,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ8_16,NA,NA,NA,NA,0.788292043781511,NA,NA,NA,NA,0.954771252442219,NA,NA,2.89037175789616,1.03972077083992,1.17791480375643,NA,NA,NA,NA,NA,0.954771252442219,3.95050352599621,1.32163748277973,NA,0.905981088272787,1.98418237968077,NA,NA,NA,1.68639895357023,NA,0.772449695648265,NA,0.859461072637894,NA,2.29937480909258,1.33105655295759,NA,NA,NA,NA,NA,0.954771252442219,NA,1.33105655295759,NA,1.02567490340641,NA,NA,NA,NA,0.897941593205959,NA,NA,NA,0.950621851034872,0.944461608840852,NA,NA,NA,0.950621851034872,1.09861228866811,NA,0.879071429214535,1.01143559509572,1.44518587894808,1.64791843300216,0,3.90881272152668,1.57221860977448,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ8_18,NA,NA,NA,NA,1.98108639455681,NA,NA,NA,NA,3.17718502039868,NA,NA,1.82937117984685,2.05816173447044,3.17718502039868,NA,NA,NA,NA,NA,3.17718502039868,1.16228199985641,3.11326833464373,NA,2.77171991229051,2.24048329126439,NA,NA,NA,3.21566554096674,NA,1.79089065927878,NA,3.17718502039868,NA,3.13549421592915,3.88994255753526,NA,NA,NA,NA,NA,2.77171991229051,NA,NA,NA,3.88994255753526,NA,NA,NA,NA,NA,NA,NA,NA,3.26834579879565,3.90881272152668,NA,NA,NA,3.26834579879565,3.21566554096674,NA,NA,2.82838425494401,1.90401105464318,NA,3.90881272152668,0,3.88994255753526,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ8_2,NA,NA,NA,NA,2.6020033435384,NA,NA,NA,NA,2.83302107333668,NA,NA,2.1783544133448,2.30178445231056,2.13987389277673,NA,NA,NA,NA,NA,NA,3.93163336200479,1.22865934663459,NA,2.13987389277673,2.30178445231056,NA,NA,NA,NA,NA,2.83302107333668,NA,2.32219544957069,NA,1.25088522792,0.655406852577098,NA,NA,NA,NA,NA,2.5453390008849,NA,1.11803037452521,NA,0.906721280858004,NA,NA,NA,NA,1.40516452511131,NA,NA,NA,1.1324223825056,1.40516452511131,NA,NA,NA,2.23103467117371,1.57221860977448,NA,1.46633706879343,0.769421879790088,0.733168534396713,0.599428851829583,1.57221860977448,3.88994255753526,0,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ8_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ8_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ8_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_SD_Jsp_PJ8_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_SD_Jsp_PJ8_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_SD_Jsp_PJ8_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_SD_Jsp_PJ8_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
