,NM_Li_JMa_PJ89_1,NM_Li_JMa_PJ89_10,NM_Li_JMa_PJ89_11,NM_Li_JMa_PJ89_12,NM_Li_JMa_PJ89_2,NM_Li_JMa_PJ89_3,NM_Li_JMa_PJ89_5,NM_Li_JMa_PJ89_7,NM_Li_JMa_PJ90_1,NM_Li_JMa_PJ90_10,NM_Li_JMa_PJ90_2,NM_Li_JMa_PJ90_7
NM_Li_JMa_PJ89_1,0,0.871673653,0.889857475,1.062728889,0.522561802,1.080912712,0.441832752,1.134979933,NA,1.270308628,1.011435595,0.897255251
NM_Li_JMa_PJ89_10,0.871673653,0,1.116796111,1.504077397,1.136900539,1.011435595,0.605970487,1.299117668,NA,1.827488951,1.591088774,1.136900539
NM_Li_JMa_PJ89_11,0.889857475,1.116796111,0,0.674963358,0.76942188,1.252762968,0.693147181,0.361790045,NA,4.042897351,0.749071331,0.491790143
NM_Li_JMa_PJ89_12,1.062728889,1.504077397,0.674963358,0,0.834619667,0.605970487,1.116796111,0.639872039,NA,1.459764171,1.044545067,1.136900539
NM_Li_JMa_PJ89_2,0.522561802,1.136900539,0.76942188,0.834619667,0,0.692460839,0.522561802,0.897255251,NA,1.366786035,0.414765821,0.955511445
NM_Li_JMa_PJ89_3,1.080912712,1.011435595,1.252762968,0.605970487,0.692460839,0,0.624154309,0.889857475,NA,0.824021526,0.480807344,1.423348347
NM_Li_JMa_PJ89_5,0.441832752,0.605970487,0.693147181,1.116796111,0.522561802,0.624154309,0,0.84729786,NA,1.152525593,0.674963358,1.097925947
NM_Li_JMa_PJ89_7,1.134979933,1.299117668,0.361790045,0.639872039,0.897255251,0.889857475,0.84729786,0,NA,1.963455809,1.011435595,0.656093194
NM_Li_JMa_PJ90_1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
NM_Li_JMa_PJ90_10,1.270308628,1.827488951,4.042897351,1.459764171,1.366786035,0.824021526,1.152525593,1.963455809,NA,0,1.539806879,3.312696184
NM_Li_JMa_PJ90_2,1.011435595,1.591088774,0.749071331,1.044545067,0.414765821,0.480807344,0.674963358,1.011435595,NA,1.539806879,0,1.136900539
NM_Li_JMa_PJ90_7,0.897255251,1.136900539,0.491790143,1.136900539,0.955511445,1.423348347,1.097925947,0.656093194,NA,3.312696184,1.136900539,0
