,CA_GM10_1,CA_GM10_10,CA_GM10_11,CA_GM10_12,CA_GM10_13,CA_GM10_14,CA_GM10_15,CA_GM10_16,CA_GM10_17,CA_GM10_19,CA_GM10_2,CA_GM10_20,CA_GM10_21,CA_GM10_22,CA_GM10_3,CA_GM10_4,CA_GM10_7,CA_GM10_8,CA_GM10_9
CA_GM10_1,0,1.67397643357167,0.826678573184468,2.07944154167984,1.38629436111989,2.07944154167984,NA,2.07944154167984,1.67397643357167,1.16315080980568,1.16315080980568,1.67397643357167,2.07944154167984,2.07944154167984,NA,2.07944154167984,0.693147180559945,NA,0.980829253011726
CA_GM10_10,1.67397643357167,0,1.38629436111989,2.07944154167984,1.67397643357167,2.07944154167984,1.16315080980568,0.980829253011726,2.07944154167984,2.77258872223978,1.38629436111989,2.07944154167984,1.38629436111989,1.38629436111989,NA,0.470003629245736,1.67397643357167,NA,1.38629436111989
CA_GM10_11,0.826678573184468,1.38629436111989,0,2.07944154167984,0.980829253011726,1.16315080980568,1.67397643357167,2.07944154167984,1.16315080980568,0.826678573184468,1.38629436111989,1.38629436111989,2.77258872223978,2.07944154167984,NA,1.67397643357167,0.980829253011726,NA,0.575364144903562
CA_GM10_12,2.07944154167984,2.07944154167984,2.07944154167984,0,2.07944154167984,1.67397643357167,2.07944154167984,1.67397643357167,1.67397643357167,2.07944154167984,NA,1.38629436111989,0.980829253011726,NA,NA,2.77258872223978,2.07944154167984,NA,2.07944154167984
CA_GM10_13,1.38629436111989,1.67397643357167,0.980829253011726,2.07944154167984,0,0.374693449441411,1.38629436111989,1.16315080980568,1.38629436111989,0.980829253011726,1.67397643357167,1.16315080980568,NA,0.980829253011726,NA,1.67397643357167,1.16315080980568,NA,1.38629436111989
CA_GM10_14,2.07944154167984,2.07944154167984,1.16315080980568,1.67397643357167,0.374693449441411,0,0.826678573184468,0.980829253011726,0.980829253011726,0.980829253011726,2.07944154167984,1.16315080980568,2.07944154167984,1.16315080980568,NA,1.67397643357167,1.16315080980568,NA,1.67397643357167
CA_GM10_15,NA,1.16315080980568,1.67397643357167,2.07944154167984,1.38629436111989,0.826678573184468,0,0.980829253011726,0.980829253011726,1.16315080980568,NA,1.38629436111989,0.826678573184468,2.77258872223978,NA,0.826678573184468,2.07944154167984,NA,NA
CA_GM10_16,2.07944154167984,0.980829253011726,2.07944154167984,1.67397643357167,1.16315080980568,0.980829253011726,0.980829253011726,0,1.16315080980568,0.980829253011726,1.38629436111989,1.38629436111989,1.38629436111989,1.16315080980568,NA,1.67397643357167,1.16315080980568,NA,1.38629436111989
CA_GM10_17,1.67397643357167,2.07944154167984,1.16315080980568,1.67397643357167,1.38629436111989,0.980829253011726,0.980829253011726,1.16315080980568,0,0.980829253011726,2.07944154167984,0.575364144903562,1.67397643357167,2.07944154167984,NA,2.07944154167984,1.16315080980568,NA,1.67397643357167
CA_GM10_19,1.16315080980568,2.77258872223978,0.826678573184468,2.07944154167984,0.980829253011726,0.980829253011726,1.16315080980568,0.980829253011726,0.980829253011726,0,0.826678573184468,0.980829253011726,2.77258872223978,2.07944154167984,NA,NA,0.980829253011726,NA,0.980829253011726
CA_GM10_2,1.16315080980568,1.38629436111989,1.38629436111989,NA,1.67397643357167,2.07944154167984,NA,1.38629436111989,2.07944154167984,0.826678573184468,0,1.67397643357167,2.77258872223978,1.38629436111989,NA,1.38629436111989,0.826678573184468,NA,0.693147180559945
CA_GM10_20,1.67397643357167,2.07944154167984,1.38629436111989,1.38629436111989,1.16315080980568,1.16315080980568,1.38629436111989,1.38629436111989,0.575364144903562,0.980829253011726,1.67397643357167,0,2.07944154167984,NA,NA,2.07944154167984,1.67397643357167,NA,1.38629436111989
CA_GM10_21,2.07944154167984,1.38629436111989,2.77258872223978,0.980829253011726,NA,2.07944154167984,0.826678573184468,1.38629436111989,1.67397643357167,2.77258872223978,2.77258872223978,2.07944154167984,0,NA,NA,1.67397643357167,2.07944154167984,NA,2.77258872223978
CA_GM10_22,2.07944154167984,1.38629436111989,2.07944154167984,NA,0.980829253011726,1.16315080980568,2.77258872223978,1.16315080980568,2.07944154167984,2.07944154167984,1.38629436111989,NA,NA,0,NA,1.38629436111989,1.67397643357167,NA,1.16315080980568
CA_GM10_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_GM10_4,2.07944154167984,0.470003629245736,1.67397643357167,2.77258872223978,1.67397643357167,1.67397643357167,0.826678573184468,1.67397643357167,2.07944154167984,NA,1.38629436111989,2.07944154167984,1.67397643357167,1.38629436111989,NA,0,1.67397643357167,NA,1.16315080980568
CA_GM10_7,0.693147180559945,1.67397643357167,0.980829253011726,2.07944154167984,1.16315080980568,1.16315080980568,2.07944154167984,1.16315080980568,1.16315080980568,0.980829253011726,0.826678573184468,1.67397643357167,2.07944154167984,1.67397643357167,NA,1.67397643357167,0,NA,0.693147180559945
CA_GM10_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_GM10_9,0.980829253011726,1.38629436111989,0.575364144903562,2.07944154167984,1.38629436111989,1.67397643357167,NA,1.38629436111989,1.67397643357167,0.980829253011726,0.693147180559945,1.38629436111989,2.77258872223978,1.16315080980568,NA,1.16315080980568,0.693147180559945,NA,0
