,CA_GM21_1,CA_GM21_10,CA_GM21_11,CA_GM21_12,CA_GM21_13,CA_GM21_15,CA_GM21_16,CA_GM21_17a,CA_GM21_17b,CA_GM21_17c,CA_GM21_2,CA_GM21_3,CA_GM21_4,CA_GM21_5a,CA_GM21_5b,CA_GM21_6,CA_GM21_7a,CA_GM21_7b,CA_GM21_8,CA_GM21_9
CA_GM21_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM21_10,NA,0,2.77258872223978,1.67397643357167,NA,1.16315080980568,0.980829253011726,0.826678573184468,0.980829253011726,0.980829253011726,NA,NA,1.16315080980568,2.07944154167984,1.38629436111989,0.980829253011726,1.38629436111989,2.07944154167984,1.16315080980568,0.575364144903562
CA_GM21_11,NA,2.77258872223978,0,0.980829253011726,NA,2.07944154167984,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,NA,NA,2.07944154167984,NA,NA,2.77258872223978,2.07944154167984,2.07944154167984,1.67397643357167,NA
CA_GM21_12,NA,1.67397643357167,0.980829253011726,0,NA,2.07944154167984,2.07944154167984,1.67397643357167,2.07944154167984,2.77258872223978,NA,NA,2.77258872223978,2.77258872223978,2.77258872223978,2.07944154167984,2.07944154167984,2.07944154167984,0.980829253011726,2.77258872223978
CA_GM21_13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM21_15,NA,1.16315080980568,2.07944154167984,2.07944154167984,NA,0,0.980829253011726,1.38629436111989,1.38629436111989,1.16315080980568,NA,NA,0.575364144903562,0.980829253011726,1.16315080980568,0.575364144903562,1.38629436111989,1.38629436111989,0.826678573184468,0.980829253011726
CA_GM21_16,NA,0.980829253011726,2.77258872223978,2.07944154167984,NA,0.980829253011726,0,0.575364144903562,0.470003629245736,0.575364144903562,NA,NA,0.575364144903562,0.980829253011726,1.16315080980568,0.470003629245736,0.980829253011726,0.826678573184468,0.980829253011726,0.470003629245736
CA_GM21_17a,NA,0.826678573184468,2.77258872223978,1.67397643357167,NA,1.38629436111989,0.575364144903562,0,0.0645385211375712,0.374693449441411,NA,NA,0.826678573184468,1.16315080980568,0.980829253011726,0.826678573184468,0.980829253011726,1.16315080980568,0.826678573184468,0.826678573184468
CA_GM21_17b,NA,0.980829253011726,2.77258872223978,2.07944154167984,NA,1.38629436111989,0.470003629245736,0.0645385211375712,0,0.287682072451781,NA,NA,0.826678573184468,1.16315080980568,0.980829253011726,0.826678573184468,0.826678573184468,0.980829253011726,0.980829253011726,0.693147180559945
CA_GM21_17c,NA,0.980829253011726,2.77258872223978,2.77258872223978,NA,1.16315080980568,0.575364144903562,0.374693449441411,0.287682072451781,0,NA,NA,0.980829253011726,0.980829253011726,0.980829253011726,0.693147180559945,1.16315080980568,0.980829253011726,1.38629436111989,0.826678573184468
CA_GM21_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM21_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM21_4,NA,1.16315080980568,2.07944154167984,2.77258872223978,NA,0.575364144903562,0.575364144903562,0.826678573184468,0.826678573184468,0.980829253011726,NA,NA,0,1.16315080980568,0.980829253011726,0.575364144903562,0.980829253011726,1.16315080980568,0.693147180559945,0.693147180559945
CA_GM21_5a,NA,2.07944154167984,NA,2.77258872223978,NA,0.980829253011726,0.980829253011726,1.16315080980568,1.16315080980568,0.980829253011726,NA,NA,1.16315080980568,0,0.133531392624523,0.980829253011726,1.16315080980568,0.826678573184468,0.826678573184468,1.38629436111989
CA_GM21_5b,NA,1.38629436111989,NA,2.77258872223978,NA,1.16315080980568,1.16315080980568,0.980829253011726,0.980829253011726,0.980829253011726,NA,NA,0.980829253011726,0.133531392624523,0,0.980829253011726,0.980829253011726,1.16315080980568,0.693147180559945,0.980829253011726
CA_GM21_6,NA,0.980829253011726,2.77258872223978,2.07944154167984,NA,0.575364144903562,0.470003629245736,0.826678573184468,0.826678573184468,0.693147180559945,NA,NA,0.575364144903562,0.980829253011726,0.980829253011726,0,0.693147180559945,0.693147180559945,1.16315080980568,0.826678573184468
CA_GM21_7a,NA,1.38629436111989,2.07944154167984,2.07944154167984,NA,1.38629436111989,0.980829253011726,0.980829253011726,0.826678573184468,1.16315080980568,NA,NA,0.980829253011726,1.16315080980568,0.980829253011726,0.693147180559945,0,0.207639364778244,0.980829253011726,1.38629436111989
CA_GM21_7b,NA,2.07944154167984,2.07944154167984,2.07944154167984,NA,1.38629436111989,0.826678573184468,1.16315080980568,0.980829253011726,0.980829253011726,NA,NA,1.16315080980568,0.826678573184468,1.16315080980568,0.693147180559945,0.207639364778244,0,1.16315080980568,1.67397643357167
CA_GM21_8,NA,1.16315080980568,1.67397643357167,0.980829253011726,NA,0.826678573184468,0.980829253011726,0.826678573184468,0.980829253011726,1.38629436111989,NA,NA,0.693147180559945,0.826678573184468,0.693147180559945,1.16315080980568,0.980829253011726,1.16315080980568,0,0.980829253011726
CA_GM21_9,NA,0.575364144903562,NA,2.77258872223978,NA,0.980829253011726,0.470003629245736,0.826678573184468,0.693147180559945,0.826678573184468,NA,NA,0.693147180559945,1.38629436111989,0.980829253011726,0.826678573184468,1.38629436111989,1.67397643357167,0.980829253011726,0
