,CA_Te_JH_PJ63_1,CA_Te_JH_PJ63_10,CA_Te_JH_PJ63_12,CA_Te_JH_PJ63_3,CA_Te_JH_PJ63_5,CA_Te_JH_PJ63_7,CA_Te_JH_PJ63_8,CA_Te_JH_PJ64_11,CA_Te_JH_PJ64_12,CA_Te_JH_PJ64_3,CA_Te_JH_PJ64_4,CA_Te_JH_PJ64_8
CA_Te_JH_PJ63_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_12,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_5,NA,NA,NA,NA,0,1.192138347,1.809943291,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_7,NA,NA,NA,NA,1.192138347,0,0.829114038,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_8,NA,NA,NA,NA,1.809943291,0.829114038,0,NA,NA,NA,NA,NA
CA_Te_JH_PJ64_11,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_Te_JH_PJ64_12,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_Te_JH_PJ64_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_Te_JH_PJ64_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_Te_JH_PJ64_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
