,CA_LA_JC_PJ51_21,CA_LA_JC_PJ51_22,CA_LA_JC_PJ51_4,CA_LA_JC_PJ51_5,CA_LA_JC_PJ51_7,CA_LA_JC_PJ52_10,CA_LA_JC_PJ52_16,CA_LA_JC_PJ52_19,CA_LA_JC_PJ52_20,CA_LA_JC_PJ52_3,CA_LA_JC_PJ52_4,CA_LA_JC_PJ52_6
CA_LA_JC_PJ51_21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ51_22,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ51_4,NA,NA,0,NA,NA,NA,NA,NA,1.925290862,NA,NA,NA
CA_LA_JC_PJ51_5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ51_7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_10,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_16,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_19,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_LA_JC_PJ52_20,NA,NA,1.925290862,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_LA_JC_PJ52_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_LA_JC_PJ52_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_LA_JC_PJ52_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
