,UT_GM3_1,UT_GM3_14,UT_GM3_3,UT_GM3_4,UT_GM3_5,UT_GM3_6,UT_GM3_7,UT_GM3_8
UT_GM3_1,0,NA,1.67397643357167,2.07944154167984,2.77258872223978,NA,NA,NA
UT_GM3_14,NA,0,NA,NA,NA,NA,NA,NA
UT_GM3_3,1.67397643357167,NA,0,0.470003629245736,0.693147180559945,1.16315080980568,1.16315080980568,1.38629436111989
UT_GM3_4,2.07944154167984,NA,0.470003629245736,0,0.575364144903562,1.38629436111989,0.980829253011726,1.67397643357167
UT_GM3_5,2.77258872223978,NA,0.693147180559945,0.575364144903562,0,0.826678573184468,0.207639364778244,0.980829253011726
UT_GM3_6,NA,NA,1.16315080980568,1.38629436111989,0.826678573184468,0,0.980829253011726,0.575364144903562
UT_GM3_7,NA,NA,1.16315080980568,0.980829253011726,0.207639364778244,0.980829253011726,0,0.980829253011726
UT_GM3_8,NA,NA,1.38629436111989,1.67397643357167,0.980829253011726,0.575364144903562,0.980829253011726,0
