,CA_Te_JH_PJ49_1,CA_Te_JH_PJ49_10,CA_Te_JH_PJ49_11,CA_Te_JH_PJ49_18,CA_Te_JH_PJ49_19,CA_Te_JH_PJ49_23,CA_Te_JH_PJ49_24,CA_Te_JH_PJ49_7,CA_Te_JH_PJ50_14,CA_Te_JH_PJ50_19,CA_Te_JH_PJ50_21,CA_Te_JH_PJ50_22
CA_Te_JH_PJ49_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ49_10,NA,0,1.346273007,0.945503578,0.986848242,1.312186389,3.238486181,0.848724395,NA,NA,NA,0.775728149
CA_Te_JH_PJ49_11,NA,1.346273007,0,1.547336111,1.071990031,0.69234654,1.945701859,1.406540042,NA,NA,NA,0.826678573
CA_Te_JH_PJ49_18,NA,0.945503578,1.547336111,0,1.119703096,0.894210284,2.260894289,0.949942163,NA,NA,NA,1.01670786
CA_Te_JH_PJ49_19,NA,0.986848242,1.071990031,1.119703096,0,1.255112229,1.721009688,0.455177998,NA,NA,NA,0.688997779
CA_Te_JH_PJ49_23,NA,1.312186389,0.69234654,0.894210284,1.255112229,0,2.139873893,1.446561396,NA,NA,NA,0.866699927
CA_Te_JH_PJ49_24,NA,3.238486181,1.945701859,2.260894289,1.721009688,2.139873893,0,2.215408399,NA,NA,NA,1.945701859
CA_Te_JH_PJ49_7,NA,0.848724395,1.406540042,0.949942163,0.455177998,1.446561396,2.215408399,0,NA,NA,NA,0.713392861
CA_Te_JH_PJ50_14,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_Te_JH_PJ50_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_Te_JH_PJ50_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_Te_JH_PJ50_22,NA,0.775728149,0.826678573,1.01670786,0.688997779,0.866699927,1.945701859,0.713392861,NA,NA,NA,0
