,CA_GM13_1,CA_GM13_10,CA_GM13_11,CA_GM13_12,CA_GM13_13,CA_GM13_14,CA_GM13_2,CA_GM13_4,CA_GM13_5,CA_GM13_6,CA_GM13_7,CA_GM13_8,CA_GM13_9
CA_GM13_1,0,1.67397643357167,0.575364144903562,2.77258872223978,1.16315080980568,1.16315080980568,1.16315080980568,1.67397643357167,1.16315080980568,1.16315080980568,0.980829253011726,1.16315080980568,0.980829253011726
CA_GM13_10,1.67397643357167,0,2.07944154167984,2.07944154167984,2.77258872223978,1.38629436111989,0.826678573184468,1.67397643357167,1.38629436111989,1.38629436111989,0.575364144903562,0.980829253011726,0.980829253011726
CA_GM13_11,0.575364144903562,2.07944154167984,0,2.77258872223978,0.826678573184468,1.38629436111989,1.67397643357167,2.07944154167984,1.16315080980568,1.38629436111989,1.16315080980568,2.07944154167984,1.16315080980568
CA_GM13_12,2.77258872223978,2.07944154167984,2.77258872223978,0,2.07944154167984,1.38629436111989,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984
CA_GM13_13,1.16315080980568,2.77258872223978,0.826678573184468,2.07944154167984,0,1.67397643357167,2.77258872223978,1.67397643357167,2.07944154167984,2.07944154167984,2.77258872223978,1.38629436111989,2.77258872223978
CA_GM13_14,1.16315080980568,1.38629436111989,1.38629436111989,1.38629436111989,1.67397643357167,0,1.38629436111989,2.07944154167984,1.38629436111989,1.38629436111989,1.16315080980568,1.16315080980568,1.38629436111989
CA_GM13_2,1.16315080980568,0.826678573184468,1.67397643357167,2.07944154167984,2.77258872223978,1.38629436111989,0,0.980829253011726,0.980829253011726,0.980829253011726,0.826678573184468,0.826678573184468,0.980829253011726
CA_GM13_4,1.67397643357167,1.67397643357167,2.07944154167984,2.07944154167984,1.67397643357167,2.07944154167984,0.980829253011726,0,1.67397643357167,2.07944154167984,2.07944154167984,1.38629436111989,2.07944154167984
CA_GM13_5,1.16315080980568,1.38629436111989,1.16315080980568,2.07944154167984,2.07944154167984,1.38629436111989,0.980829253011726,1.67397643357167,0,0.133531392624523,1.16315080980568,1.16315080980568,0.693147180559945
CA_GM13_6,1.16315080980568,1.38629436111989,1.38629436111989,2.07944154167984,2.07944154167984,1.38629436111989,0.980829253011726,2.07944154167984,0.133531392624523,0,0.980829253011726,0.980829253011726,0.826678573184468
CA_GM13_7,0.980829253011726,0.575364144903562,1.16315080980568,2.07944154167984,2.77258872223978,1.16315080980568,0.826678573184468,2.07944154167984,1.16315080980568,0.980829253011726,0,0.693147180559945,0.980829253011726
CA_GM13_8,1.16315080980568,0.980829253011726,2.07944154167984,2.07944154167984,1.38629436111989,1.16315080980568,0.826678573184468,1.38629436111989,1.16315080980568,0.980829253011726,0.693147180559945,0,0.826678573184468
CA_GM13_9,0.980829253011726,0.980829253011726,1.16315080980568,2.07944154167984,2.77258872223978,1.38629436111989,0.980829253011726,2.07944154167984,0.693147180559945,0.826678573184468,0.980829253011726,0.826678573184468,0
