,CA_GM33_10,CA_GM33_11a,CA_GM33_12a,CA_GM33_12b,CA_GM33_13a,CA_GM33_14,CA_GM33_15,CA_GM33_16,CA_GM33_21b,CA_GM33_22a,CA_GM33_22b,CA_GM33_27,CA_GM33_31,CA_GM33_32,CA_GM33_37,CA_GM33_3a,CA_GM33_4,CA_GM33_5,CA_GM33_6,CA_GM33_9a
CA_GM33_10,0,0.693147180559945,0.693147180559945,0.980829253011726,1.38629436111989,0.826678573184468,1.38629436111989,NA,1.38629436111989,1.16315080980568,1.16315080980568,1.16315080980568,1.38629436111989,2.07944154167984,NA,0.980829253011726,0.693147180559945,1.38629436111989,0.980829253011726,NA
CA_GM33_11a,0.693147180559945,0,0.826678573184468,0.470003629245736,0.826678573184468,0.980829253011726,0.980829253011726,NA,1.16315080980568,2.07944154167984,1.67397643357167,1.16315080980568,1.16315080980568,0.693147180559945,NA,0.575364144903562,1.16315080980568,1.38629436111989,1.38629436111989,NA
CA_GM33_12a,0.693147180559945,0.826678573184468,0,0.980829253011726,0.826678573184468,0.980829253011726,1.38629436111989,NA,1.16315080980568,1.38629436111989,1.16315080980568,1.38629436111989,0.826678573184468,1.16315080980568,NA,0.207639364778244,0.207639364778244,0.826678573184468,0.826678573184468,NA
CA_GM33_12b,0.980829253011726,0.470003629245736,0.980829253011726,0,0.575364144903562,0.826678573184468,0.693147180559945,NA,1.16315080980568,1.38629436111989,1.67397643357167,1.16315080980568,1.16315080980568,0.826678573184468,NA,0.693147180559945,0.980829253011726,1.67397643357167,1.16315080980568,2.77258872223978
CA_GM33_13a,1.38629436111989,0.826678573184468,0.826678573184468,0.575364144903562,0,0.980829253011726,0.693147180559945,NA,0.826678573184468,0.980829253011726,0.826678573184468,1.38629436111989,1.38629436111989,0.826678573184468,NA,0.693147180559945,0.575364144903562,0.826678573184468,0.826678573184468,2.77258872223978
CA_GM33_14,0.826678573184468,0.980829253011726,0.980829253011726,0.826678573184468,0.980829253011726,0,0.980829253011726,NA,0.826678573184468,0.575364144903562,0.693147180559945,1.67397643357167,2.07944154167984,0.575364144903562,NA,0.980829253011726,0.826678573184468,0.693147180559945,0.470003629245736,NA
CA_GM33_15,1.38629436111989,0.980829253011726,1.38629436111989,0.693147180559945,0.693147180559945,0.980829253011726,0,NA,2.07944154167984,1.16315080980568,1.38629436111989,2.07944154167984,2.07944154167984,1.38629436111989,NA,1.16315080980568,1.38629436111989,1.16315080980568,1.16315080980568,NA
CA_GM33_16,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM33_21b,1.38629436111989,1.16315080980568,1.16315080980568,1.16315080980568,0.826678573184468,0.826678573184468,2.07944154167984,NA,0,0.374693449441411,0.374693449441411,1.38629436111989,1.38629436111989,0.575364144903562,NA,0.980829253011726,0.693147180559945,1.16315080980568,1.16315080980568,2.07944154167984
CA_GM33_22a,1.16315080980568,2.07944154167984,1.38629436111989,1.38629436111989,0.980829253011726,0.575364144903562,1.16315080980568,NA,0.374693449441411,0,0.287682072451781,1.38629436111989,2.07944154167984,0.826678573184468,NA,1.38629436111989,0.826678573184468,1.16315080980568,0.826678573184468,2.77258872223978
CA_GM33_22b,1.16315080980568,1.67397643357167,1.16315080980568,1.67397643357167,0.826678573184468,0.693147180559945,1.38629436111989,NA,0.374693449441411,0.287682072451781,0,1.38629436111989,2.07944154167984,0.826678573184468,NA,1.16315080980568,0.693147180559945,0.693147180559945,0.980829253011726,NA
CA_GM33_27,1.16315080980568,1.16315080980568,1.38629436111989,1.16315080980568,1.38629436111989,1.67397643357167,2.07944154167984,NA,1.38629436111989,1.38629436111989,1.38629436111989,0,1.16315080980568,1.38629436111989,NA,1.67397643357167,1.16315080980568,2.07944154167984,2.07944154167984,NA
CA_GM33_31,1.38629436111989,1.16315080980568,0.826678573184468,1.16315080980568,1.38629436111989,2.07944154167984,2.07944154167984,NA,1.38629436111989,2.07944154167984,2.07944154167984,1.16315080980568,0,0.980829253011726,NA,0.980829253011726,0.980829253011726,1.38629436111989,1.38629436111989,2.77258872223978
CA_GM33_32,2.07944154167984,0.693147180559945,1.16315080980568,0.826678573184468,0.826678573184468,0.575364144903562,1.38629436111989,NA,0.575364144903562,0.826678573184468,0.826678573184468,1.38629436111989,0.980829253011726,0,NA,0.826678573184468,0.980829253011726,0.826678573184468,0.826678573184468,2.77258872223978
CA_GM33_37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_GM33_3a,0.980829253011726,0.575364144903562,0.207639364778244,0.693147180559945,0.693147180559945,0.980829253011726,1.16315080980568,NA,0.980829253011726,1.38629436111989,1.16315080980568,1.67397643357167,0.980829253011726,0.826678573184468,NA,0,0.470003629245736,1.16315080980568,1.16315080980568,NA
CA_GM33_4,0.693147180559945,1.16315080980568,0.207639364778244,0.980829253011726,0.575364144903562,0.826678573184468,1.38629436111989,NA,0.693147180559945,0.826678573184468,0.693147180559945,1.16315080980568,0.980829253011726,0.980829253011726,NA,0.470003629245736,0,0.693147180559945,0.693147180559945,NA
CA_GM33_5,1.38629436111989,1.38629436111989,0.826678573184468,1.67397643357167,0.826678573184468,0.693147180559945,1.16315080980568,NA,1.16315080980568,1.16315080980568,0.693147180559945,2.07944154167984,1.38629436111989,0.826678573184468,NA,1.16315080980568,0.693147180559945,0,0.133531392624523,2.77258872223978
CA_GM33_6,0.980829253011726,1.38629436111989,0.826678573184468,1.16315080980568,0.826678573184468,0.470003629245736,1.16315080980568,NA,1.16315080980568,0.826678573184468,0.980829253011726,2.07944154167984,1.38629436111989,0.826678573184468,NA,1.16315080980568,0.693147180559945,0.133531392624523,0,2.77258872223978
CA_GM33_9a,NA,NA,NA,2.77258872223978,2.77258872223978,NA,NA,NA,2.07944154167984,2.77258872223978,NA,NA,2.77258872223978,2.77258872223978,NA,NA,NA,2.77258872223978,2.77258872223978,0
