,CA_GM54_1,CA_GM54_10,CA_GM54_2,CA_GM54_3,CA_GM54_4,CA_GM54_5,CA_GM54_6,CA_GM54_7,CA_GM54_8,CA_GM54_9
CA_GM54_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM54_10,NA,0,0.287682072451781,0.133531392624523,0.0645385211375712,0.0645385211375712,1.16315080980568,0.133531392624523,0.0645385211375712,0.0645385211375712
CA_GM54_2,NA,0.287682072451781,0,0.133531392624523,0.374693449441411,0.374693449441411,1.16315080980568,0.287682072451781,0.374693449441411,0.374693449441411
CA_GM54_3,NA,0.133531392624523,0.133531392624523,0,0.207639364778244,0.207639364778244,0.980829253011726,0.133531392624523,0.207639364778244,0.207639364778244
CA_GM54_4,NA,0.0645385211375712,0.374693449441411,0.207639364778244,0,0.133531392624523,0.980829253011726,0.207639364778244,0.133531392624523,0.133531392624523
CA_GM54_5,NA,0.0645385211375712,0.374693449441411,0.207639364778244,0.133531392624523,0,1.38629436111989,0.207639364778244,0.133531392624523,0.133531392624523
CA_GM54_6,NA,1.16315080980568,1.16315080980568,0.980829253011726,0.980829253011726,1.38629436111989,0,0.826678573184468,0.980829253011726,0.980829253011726
CA_GM54_7,NA,0.133531392624523,0.287682072451781,0.133531392624523,0.207639364778244,0.207639364778244,0.826678573184468,0,0.0645385211375712,0.0645385211375712
CA_GM54_8,NA,0.0645385211375712,0.374693449441411,0.207639364778244,0.133531392624523,0.133531392624523,0.980829253011726,0.0645385211375712,0,0
CA_GM54_9,NA,0.0645385211375712,0.374693449441411,0.207639364778244,0.133531392624523,0.133531392624523,0.980829253011726,0.0645385211375712,0,0
