,CA_GM11_1,CA_GM11_10,CA_GM11_11,CA_GM11_12,CA_GM11_13,CA_GM11_14,CA_GM11_15,CA_GM11_16,CA_GM11_2,CA_GM11_3,CA_GM11_4,CA_GM11_5,CA_GM11_6,CA_GM11_7,CA_GM11_8,CA_GM11_9
CA_GM11_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM11_10,NA,0,0.470003629245736,1.67397643357167,2.77258872223978,0.575364144903562,0.287682072451781,0.133531392624523,0.575364144903562,0.0645385211375712,0.287682072451781,0.133531392624523,0.470003629245736,0.207639364778244,1.16315080980568,0.207639364778244
CA_GM11_11,NA,0.470003629245736,0,1.38629436111989,1.67397643357167,0.133531392624523,0.374693449441411,0.470003629245736,0.207639364778244,0.374693449441411,0.575364144903562,0.287682072451781,0.470003629245736,0.374693449441411,1.38629436111989,0.575364144903562
CA_GM11_12,NA,1.67397643357167,1.38629436111989,0,1.16315080980568,1.67397643357167,1.67397643357167,1.38629436111989,1.38629436111989,1.67397643357167,1.38629436111989,1.38629436111989,1.38629436111989,1.67397643357167,2.77258872223978,1.38629436111989
CA_GM11_13,NA,2.77258872223978,1.67397643357167,1.16315080980568,0,2.07944154167984,2.77258872223978,2.07944154167984,1.67397643357167,2.77258872223978,2.07944154167984,2.07944154167984,2.07944154167984,1.67397643357167,2.77258872223978,2.07944154167984
CA_GM11_14,NA,0.575364144903562,0.133531392624523,1.67397643357167,2.07944154167984,0,0.374693449441411,0.575364144903562,0.207639364778244,0.470003629245736,0.693147180559945,0.374693449441411,0.575364144903562,0.470003629245736,1.38629436111989,0.693147180559945
CA_GM11_15,NA,0.287682072451781,0.374693449441411,1.67397643357167,2.77258872223978,0.374693449441411,0,0.287682072451781,0.374693449441411,0.207639364778244,0.374693449441411,0.287682072451781,0.374693449441411,0.374693449441411,1.16315080980568,0.374693449441411
CA_GM11_16,NA,0.133531392624523,0.470003629245736,1.38629436111989,2.07944154167984,0.575364144903562,0.287682072451781,0,0.575364144903562,0.207639364778244,0.133531392624523,0.133531392624523,0.287682072451781,0.207639364778244,0.980829253011726,0.0645385211375712
CA_GM11_2,NA,0.575364144903562,0.207639364778244,1.38629436111989,1.67397643357167,0.207639364778244,0.374693449441411,0.575364144903562,0,0.470003629245736,0.693147180559945,0.374693449441411,0.575364144903562,0.470003629245736,1.67397643357167,0.693147180559945
CA_GM11_3,NA,0.0645385211375712,0.374693449441411,1.67397643357167,2.77258872223978,0.470003629245736,0.207639364778244,0.207639364778244,0.470003629245736,0,0.374693449441411,0.207639364778244,0.374693449441411,0.133531392624523,1.38629436111989,0.287682072451781
CA_GM11_4,NA,0.287682072451781,0.575364144903562,1.38629436111989,2.07944154167984,0.693147180559945,0.374693449441411,0.133531392624523,0.693147180559945,0.374693449441411,0,0.287682072451781,0.287682072451781,0.374693449441411,0.980829253011726,0.207639364778244
CA_GM11_5,NA,0.133531392624523,0.287682072451781,1.38629436111989,2.07944154167984,0.374693449441411,0.287682072451781,0.133531392624523,0.374693449441411,0.207639364778244,0.287682072451781,0,0.470003629245736,0.207639364778244,1.16315080980568,0.207639364778244
CA_GM11_6,NA,0.470003629245736,0.470003629245736,1.38629436111989,2.07944154167984,0.575364144903562,0.374693449441411,0.287682072451781,0.575364144903562,0.374693449441411,0.287682072451781,0.470003629245736,0,0.374693449441411,0.980829253011726,0.207639364778244
CA_GM11_7,NA,0.207639364778244,0.374693449441411,1.67397643357167,1.67397643357167,0.470003629245736,0.374693449441411,0.207639364778244,0.470003629245736,0.133531392624523,0.374693449441411,0.207639364778244,0.374693449441411,0,1.16315080980568,0.287682072451781
CA_GM11_8,NA,1.16315080980568,1.38629436111989,2.77258872223978,2.77258872223978,1.38629436111989,1.16315080980568,0.980829253011726,1.67397643357167,1.38629436111989,0.980829253011726,1.16315080980568,0.980829253011726,1.16315080980568,0,0.980829253011726
CA_GM11_9,NA,0.207639364778244,0.575364144903562,1.38629436111989,2.07944154167984,0.693147180559945,0.374693449441411,0.0645385211375712,0.693147180559945,0.287682072451781,0.207639364778244,0.207639364778244,0.207639364778244,0.287682072451781,0.980829253011726,0
