,CA_GM38_1,CA_GM38_10,CA_GM38_11,CA_GM38_12,CA_GM38_13,CA_GM38_14,CA_GM38_15,CA_GM38_16,CA_GM38_17,CA_GM38_18,CA_GM38_19,CA_GM38_2,CA_GM38_20,CA_GM38_3,CA_GM38_4,CA_GM38_5,CA_GM38_6,CA_GM38_7,CA_GM38_8,CA_GM38_9
CA_GM38_1,0,0.693147180559945,0.980829253011726,0.207639364778244,0.693147180559945,0.207639364778244,0.826678573184468,1.38629436111989,0.693147180559945,1.38629436111989,1.38629436111989,0.826678573184468,NA,0.826678573184468,NA,0.693147180559945,1.67397643357167,NA,2.77258872223978,1.67397643357167
CA_GM38_10,0.693147180559945,0,1.38629436111989,0.693147180559945,0.980829253011726,0.693147180559945,1.38629436111989,1.16315080980568,0.693147180559945,1.16315080980568,2.07944154167984,0.980829253011726,NA,0.826678573184468,NA,0.980829253011726,2.77258872223978,NA,2.77258872223978,2.77258872223978
CA_GM38_11,0.980829253011726,1.38629436111989,0,0.980829253011726,1.16315080980568,0.693147180559945,0.287682072451781,1.16315080980568,0.980829253011726,1.67397643357167,1.38629436111989,0.826678573184468,NA,0.980829253011726,NA,1.67397643357167,1.38629436111989,NA,2.07944154167984,1.67397643357167
CA_GM38_12,0.207639364778244,0.693147180559945,0.980829253011726,0,0.826678573184468,0.470003629245736,1.16315080980568,1.38629436111989,0.826678573184468,1.67397643357167,2.07944154167984,0.826678573184468,NA,0.693147180559945,NA,0.826678573184468,1.67397643357167,NA,2.77258872223978,1.67397643357167
CA_GM38_13,0.693147180559945,0.980829253011726,1.16315080980568,0.826678573184468,0,0.470003629245736,0.980829253011726,0.575364144903562,0.374693449441411,1.67397643357167,0.980829253011726,1.16315080980568,NA,1.16315080980568,NA,0.133531392624523,1.67397643357167,NA,1.67397643357167,1.38629436111989
CA_GM38_14,0.207639364778244,0.693147180559945,0.693147180559945,0.470003629245736,0.470003629245736,0,0.575364144903562,0.980829253011726,0.693147180559945,1.16315080980568,1.16315080980568,0.693147180559945,NA,0.980829253011726,NA,0.693147180559945,1.67397643357167,NA,2.07944154167984,1.67397643357167
CA_GM38_15,0.826678573184468,1.38629436111989,0.287682072451781,1.16315080980568,0.980829253011726,0.575364144903562,0,0.980829253011726,0.980829253011726,1.67397643357167,1.38629436111989,0.826678573184468,NA,0.980829253011726,NA,1.38629436111989,1.16315080980568,NA,2.07944154167984,1.67397643357167
CA_GM38_16,1.38629436111989,1.16315080980568,1.16315080980568,1.38629436111989,0.575364144903562,0.980829253011726,0.980829253011726,0,0.470003629245736,2.07944154167984,1.16315080980568,1.67397643357167,NA,1.16315080980568,NA,0.826678573184468,1.38629436111989,NA,1.67397643357167,1.16315080980568
CA_GM38_17,0.693147180559945,0.693147180559945,0.980829253011726,0.826678573184468,0.374693449441411,0.693147180559945,0.980829253011726,0.470003629245736,0,1.67397643357167,0.980829253011726,1.67397643357167,NA,0.575364144903562,NA,0.374693449441411,1.16315080980568,NA,1.67397643357167,0.826678573184468
CA_GM38_18,1.38629436111989,1.16315080980568,1.67397643357167,1.67397643357167,1.67397643357167,1.16315080980568,1.67397643357167,2.07944154167984,1.67397643357167,0,2.07944154167984,1.16315080980568,NA,1.67397643357167,NA,1.67397643357167,0.980829253011726,NA,2.07944154167984,1.38629436111989
CA_GM38_19,1.38629436111989,2.07944154167984,1.38629436111989,2.07944154167984,0.980829253011726,1.16315080980568,1.38629436111989,1.16315080980568,0.980829253011726,2.07944154167984,0,2.77258872223978,NA,2.77258872223978,NA,1.16315080980568,1.67397643357167,NA,1.16315080980568,1.38629436111989
