,CA_Sol_JC_PJ75_10,CA_Sol_JC_PJ75_12,CA_Sol_JC_PJ75_2,CA_Sol_JC_PJ75_6,CA_Sol_JC_PJ75_7,CA_Sol_JC_PJ75_8,CA_Sol_JC_PJ75_9,CA_Sol_JC_PJ76_1,CA_Sol_JC_PJ76_10,CA_Sol_JC_PJ76_11,CA_Sol_JC_PJ76_7,CA_Sol_JC_PJ76_9
CA_Sol_JC_PJ75_10,0,1.134341771,2.117053252,1.772889305,0.944461609,NA,NA,1.343863364,3.295836866,2.06125772,NA,NA
CA_Sol_JC_PJ75_12,1.134341771,0,1.305484874,1.061404385,0.933671075,NA,NA,2.558247842,1.722128436,1.557990701,NA,NA
CA_Sol_JC_PJ75_2,2.117053252,1.305484874,0,1.587357465,1.423906072,NA,NA,1.430746124,1.606227629,1.036624786,NA,NA
CA_Sol_JC_PJ75_6,1.772889305,1.061404385,1.587357465,0,0.792060052,NA,NA,1.587357465,2.871501594,1.503391055,NA,NA
CA_Sol_JC_PJ75_7,0.944461609,0.933671075,1.423906072,0.792060052,0,NA,NA,1.510917449,1.591088774,1.234579146,NA,NA
CA_Sol_JC_PJ75_8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ75_9,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_Sol_JC_PJ76_1,1.343863364,2.558247842,1.430746124,1.587357465,1.510917449,NA,NA,0,1.606227629,2.317558631,NA,NA
CA_Sol_JC_PJ76_10,3.295836866,1.722128436,1.606227629,2.871501594,1.591088774,NA,NA,1.606227629,0,0.962645431,NA,NA
CA_Sol_JC_PJ76_11,2.06125772,1.557990701,1.036624786,1.503391055,1.234579146,NA,NA,2.317558631,0.962645431,0,NA,NA
CA_Sol_JC_PJ76_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_Sol_JC_PJ76_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
