,CA_GM29_10b,CA_GM29_11,CA_GM29_12,CA_GM29_13,CA_GM29_14,CA_GM29_16b,CA_GM29_17a,CA_GM29_17b,CA_GM29_18a,CA_GM29_18c,CA_GM29_18d,CA_GM29_1a,CA_GM29_1b,CA_GM29_2a,CA_GM29_3,CA_GM29_4,CA_GM29_5,CA_GM29_6,CA_GM29_8,CA_GM29_9
CA_GM29_10b,0,1.16315080980568,1.38629436111989,2.07944154167984,2.07944154167984,1.67397643357167,0.980829253011726,1.67397643357167,2.77258872223978,0.980829253011726,0.826678573184468,1.38629436111989,1.38629436111989,1.67397643357167,1.38629436111989,1.16315080980568,2.07944154167984,1.67397643357167,0.826678573184468,0.980829253011726
CA_GM29_11,1.16315080980568,0,0.826678573184468,1.16315080980568,0.826678573184468,0.287682072451781,0.980829253011726,2.77258872223978,NA,0.980829253011726,0.980829253011726,0.470003629245736,0.693147180559945,0.207639364778244,0.693147180559945,1.16315080980568,0.980829253011726,0.287682072451781,1.16315080980568,2.07944154167984
CA_GM29_12,1.38629436111989,0.826678573184468,0,1.16315080980568,0.826678573184468,0.826678573184468,1.38629436111989,2.07944154167984,2.07944154167984,0.826678573184468,1.16315080980568,0.826678573184468,0.980829253011726,0.980829253011726,0.826678573184468,0.826678573184468,1.16315080980568,0.826678573184468,1.38629436111989,2.07944154167984
CA_GM29_13,2.07944154167984,1.16315080980568,1.16315080980568,0,0.980829253011726,0.693147180559945,1.38629436111989,2.07944154167984,2.77258872223978,0.980829253011726,0.980829253011726,0.826678573184468,0.575364144903562,0.826678573184468,0.575364144903562,1.16315080980568,0.133531392624523,0.693147180559945,2.07944154167984,2.77258872223978
CA_GM29_14,2.07944154167984,0.826678573184468,0.826678573184468,0.980829253011726,0,0.470003629245736,1.16315080980568,2.07944154167984,NA,0.693147180559945,0.693147180559945,0.575364144903562,0.693147180559945,0.575364144903562,0.575364144903562,0.575364144903562,0.980829253011726,0.470003629245736,1.16315080980568,2.07944154167984
CA_GM29_16b,1.67397643357167,0.287682072451781,0.826678573184468,0.693147180559945,0.470003629245736,0,0.826678573184468,2.77258872223978,NA,0.693147180559945,0.693147180559945,0.575364144903562,0.575364144903562,0.0645385211375712,0.575364144903562,0.693147180559945,0.575364144903562,0,1.38629436111989,2.07944154167984
CA_GM29_17a,0.980829253011726,0.980829253011726,1.38629436111989,1.38629436111989,1.16315080980568,0.826678573184468,0,2.07944154167984,2.77258872223978,1.38629436111989,1.16315080980568,0.980829253011726,0.826678573184468,0.980829253011726,0.826678573184468,1.67397643357167,1.38629436111989,0.826678573184468,0.693147180559945,2.77258872223978
CA_GM29_17b,1.67397643357167,2.77258872223978,2.07944154167984,2.07944154167984,2.07944154167984,2.77258872223978,2.07944154167984,0,0.980829253011726,2.77258872223978,2.07944154167984,2.07944154167984,2.07944154167984,2.77258872223978,2.07944154167984,2.77258872223978,2.07944154167984,2.77258872223978,2.77258872223978,0.980829253011726
CA_GM29_18a,2.77258872223978,NA,2.07944154167984,2.77258872223978,NA,NA,2.77258872223978,0.980829253011726,0,2.77258872223978,2.77258872223978,NA,NA,NA,NA,2.77258872223978,2.77258872223978,NA,2.77258872223978,1.67397643357167
CA_GM29_18c,0.980829253011726,0.980829253011726,0.826678573184468,0.980829253011726,0.693147180559945,0.693147180559945,1.38629436111989,2.77258872223978,2.77258872223978,0,0.207639364778244,0.980829253011726,1.16315080980568,0.693147180559945,1.16315080980568,0.470003629245736,0.980829253011726,0.693147180559945,1.38629436111989,2.07944154167984
CA_GM29_18d,0.826678573184468,0.980829253011726,1.16315080980568,0.980829253011726,0.693147180559945,0.693147180559945,1.16315080980568,2.07944154167984,2.77258872223978,0.207639364778244,0,0.826678573184468,0.980829253011726,0.693147180559945,0.980829253011726,0.693147180559945,0.980829253011726,0.693147180559945,1.67397643357167,1.67397643357167
CA_GM29_1a,1.38629436111989,0.470003629245736,0.826678573184468,0.826678573184468,0.575364144903562,0.575364144903562,0.980829253011726,2.07944154167984,NA,0.980829253011726,0.826678573184468,0,0.207639364778244,0.470003629245736,0.133531392624523,0.980829253011726,0.826678573184468,0.575364144903562,1.67397643357167,2.77258872223978
CA_GM29_1b,1.38629436111989,0.693147180559945,0.980829253011726,0.575364144903562,0.693147180559945,0.575364144903562,0.826678573184468,2.07944154167984,NA,1.16315080980568,0.980829253011726,0.207639364778244,0,0.693147180559945,0.0645385211375712,0.826678573184468,0.575364144903562,0.575364144903562,1.38629436111989,2.77258872223978
CA_GM29_2a,1.67397643357167,0.207639364778244,0.980829253011726,0.826678573184468,0.575364144903562,0.0645385211375712,0.980829253011726,2.77258872223978,NA,0.693147180559945,0.693147180559945,0.470003629245736,0.693147180559945,0,0.693147180559945,0.826678573184468,0.693147180559945,0.0645385211375712,1.67397643357167,2.07944154167984
CA_GM29_3,1.38629436111989,0.693147180559945,0.826678573184468,0.575364144903562,0.575364144903562,0.575364144903562,0.826678573184468,2.07944154167984,NA,1.16315080980568,0.980829253011726,0.133531392624523,0.0645385211375712,0.693147180559945,0,0.980829253011726,0.575364144903562,0.575364144903562,1.38629436111989,2.77258872223978
CA_GM29_4,1.16315080980568,1.16315080980568,0.826678573184468,1.16315080980568,0.575364144903562,0.693147180559945,1.67397643357167,2.77258872223978,2.77258872223978,0.470003629245736,0.693147180559945,0.980829253011726,0.826678573184468,0.826678573184468,0.980829253011726,0,1.16315080980568,0.693147180559945,1.16315080980568,1.67397643357167
CA_GM29_5,2.07944154167984,0.980829253011726,1.16315080980568,0.133531392624523,0.980829253011726,0.575364144903562,1.38629436111989,2.07944154167984,2.77258872223978,0.980829253011726,0.980829253011726,0.826678573184468,0.575364144903562,0.693147180559945,0.575364144903562,1.16315080980568,0,0.575364144903562,2.07944154167984,2.77258872223978
CA_GM29_6,1.67397643357167,0.287682072451781,0.826678573184468,0.693147180559945,0.470003629245736,0,0.826678573184468,2.77258872223978,NA,0.693147180559945,0.693147180559945,0.575364144903562,0.575364144903562,0.0645385211375712,0.575364144903562,0.693147180559945,0.575364144903562,0,1.38629436111989,2.07944154167984
CA_GM29_8,0.826678573184468,1.16315080980568,1.38629436111989,2.07944154167984,1.16315080980568,1.38629436111989,0.693147180559945,2.77258872223978,2.77258872223978,1.38629436111989,1.67397643357167,1.67397643357167,1.38629436111989,1.67397643357167,1.38629436111989,1.16315080980568,2.07944154167984,1.38629436111989,0,1.67397643357167
CA_GM29_9,0.980829253011726,2.07944154167984,2.07944154167984,2.77258872223978,2.07944154167984,2.07944154167984,2.77258872223978,0.980829253011726,1.67397643357167,2.07944154167984,1.67397643357167,2.77258872223978,2.77258872223978,2.07944154167984,2.77258872223978,1.67397643357167,2.77258872223978,2.07944154167984,1.67397643357167,0
