,CA_GM10_1,CA_GM10_10,CA_GM10_11,CA_GM10_12,CA_GM10_13,CA_GM10_14,CA_GM10_15,CA_GM10_16,CA_GM10_17,CA_GM10_19,CA_GM10_2,CA_GM10_20,CA_GM10_21,CA_GM10_22,CA_GM10_4,CA_GM10_7,CA_GM10_9
CA_GM10_1,0,1.673976434,0.826678573,2.079441542,1.386294361,2.079441542,NA,2.079441542,1.673976434,1.16315081,1.16315081,1.673976434,2.079441542,2.079441542,2.079441542,0.693147181,0.980829253
CA_GM10_10,1.673976434,0,1.386294361,2.079441542,1.673976434,2.079441542,1.16315081,0.980829253,2.079441542,2.772588722,1.386294361,2.079441542,1.386294361,1.386294361,0.470003629,1.673976434,1.386294361
CA_GM10_11,0.826678573,1.386294361,0,2.079441542,0.980829253,1.16315081,1.673976434,2.079441542,1.16315081,0.826678573,1.386294361,1.386294361,2.772588722,2.079441542,1.673976434,0.980829253,0.575364145
CA_GM10_12,2.079441542,2.079441542,2.079441542,0,2.079441542,1.673976434,2.079441542,1.673976434,1.673976434,2.079441542,NA,1.386294361,0.980829253,NA,2.772588722,2.079441542,2.079441542
CA_GM10_13,1.386294361,1.673976434,0.980829253,2.079441542,0,0.374693449,1.386294361,1.16315081,1.386294361,0.980829253,1.673976434,1.16315081,NA,0.980829253,1.673976434,1.16315081,1.386294361
CA_GM10_14,2.079441542,2.079441542,1.16315081,1.673976434,0.374693449,0,0.826678573,0.980829253,0.980829253,0.980829253,2.079441542,1.16315081,2.079441542,1.16315081,1.673976434,1.16315081,1.673976434
CA_GM10_15,NA,1.16315081,1.673976434,2.079441542,1.386294361,0.826678573,0,0.980829253,0.980829253,1.16315081,NA,1.386294361,0.826678573,2.772588722,0.826678573,2.079441542,NA
CA_GM10_16,2.079441542,0.980829253,2.079441542,1.673976434,1.16315081,0.980829253,0.980829253,0,1.16315081,0.980829253,1.386294361,1.386294361,1.386294361,1.16315081,1.673976434,1.16315081,1.386294361
CA_GM10_17,1.673976434,2.079441542,1.16315081,1.673976434,1.386294361,0.980829253,0.980829253,1.16315081,0,0.980829253,2.079441542,0.575364145,1.673976434,2.079441542,2.079441542,1.16315081,1.673976434
CA_GM10_19,1.16315081,2.772588722,0.826678573,2.079441542,0.980829253,0.980829253,1.16315081,0.980829253,0.980829253,0,0.826678573,0.980829253,2.772588722,2.079441542,NA,0.980829253,0.980829253
CA_GM10_2,1.16315081,1.386294361,1.386294361,NA,1.673976434,2.079441542,NA,1.386294361,2.079441542,0.826678573,0,1.673976434,2.772588722,1.386294361,1.386294361,0.826678573,0.693147181
CA_GM10_20,1.673976434,2.079441542,1.386294361,1.386294361,1.16315081,1.16315081,1.386294361,1.386294361,0.575364145,0.980829253,1.673976434,0,2.079441542,NA,2.079441542,1.673976434,1.386294361
CA_GM10_21,2.079441542,1.386294361,2.772588722,0.980829253,NA,2.079441542,0.826678573,1.386294361,1.673976434,2.772588722,2.772588722,2.079441542,0,NA,1.673976434,2.079441542,2.772588722
CA_GM10_22,2.079441542,1.386294361,2.079441542,NA,0.980829253,1.16315081,2.772588722,1.16315081,2.079441542,2.079441542,1.386294361,NA,NA,0,1.386294361,1.673976434,1.16315081
CA_GM10_4,2.079441542,0.470003629,1.673976434,2.772588722,1.673976434,1.673976434,0.826678573,1.673976434,2.079441542,NA,1.386294361,2.079441542,1.673976434,1.386294361,0,1.673976434,1.16315081
CA_GM10_7,0.693147181,1.673976434,0.980829253,2.079441542,1.16315081,1.16315081,2.079441542,1.16315081,1.16315081,0.980829253,0.826678573,1.673976434,2.079441542,1.673976434,1.673976434,0,0.693147181
CA_GM10_9,0.980829253,1.386294361,0.575364145,2.079441542,1.386294361,1.673976434,NA,1.386294361,1.673976434,0.980829253,0.693147181,1.386294361,2.772588722,1.16315081,1.16315081,0.693147181,0
