,NM_GM42_1,NM_GM42_12,NM_GM42_13,NM_GM42_14,NM_GM42_17,NM_GM42_19,NM_GM42_2,NM_GM42_20,NM_GM42_22,NM_GM42_23,NM_GM42_24,NM_GM42_26,NM_GM42_27,NM_GM42_28,NM_GM42_29,NM_GM42_3,NM_GM42_30,NM_GM42_5,NM_GM42_6,NM_GM42_7,NM_GM42_8
NM_GM42_1,0,0.826678573,0.133531393,0.064538521,0.133531393,0.064538521,0.064538521,0.575364145,0.693147181,0.980829253,0.980829253,0.826678573,0.826678573,0.826678573,0.826678573,0.374693449,2.079441542,0.693147181,0.133531393,0.207639365,1.16315081
NM_GM42_12,0.826678573,0,0.980829253,0.826678573,0.826678573,0.826678573,0.826678573,1.386294361,1.673976434,1.673976434,1.673976434,1.673976434,1.16315081,1.673976434,1.386294361,0.826678573,2.772588722,0.287682072,0.826678573,0.980829253,1.16315081
NM_GM42_13,0.133531393,0.980829253,0,0.207639365,0.133531393,0.207639365,0.207639365,0.575364145,0.693147181,0.980829253,0.980829253,0.826678573,1.16315081,0.826678573,1.16315081,0.575364145,2.079441542,0.826678573,0.287682072,0.374693449,1.386294361
NM_GM42_14,0.064538521,0.826678573,0.207639365,0,0.133531393,0.064538521,0.064538521,0.693147181,0.693147181,0.980829253,0.980829253,0.980829253,0.826678573,0.826678573,0.826678573,0.374693449,2.079441542,0.826678573,0.133531393,0.287682072,1.16315081
NM_GM42_17,0.133531393,0.826678573,0.133531393,0.133531393,0,0.133531393,0.133531393,0.575364145,0.575364145,0.826678573,0.826678573,0.826678573,0.980829253,0.693147181,0.980829253,0.470003629,2.079441542,0.980829253,0.207639365,0.374693449,1.386294361
NM_GM42_19,0.064538521,0.826678573,0.207639365,0.064538521,0.133531393,0,0.064538521,0.693147181,0.693147181,0.980829253,0.980829253,0.980829253,0.826678573,0.826678573,0.826678573,0.374693449,2.079441542,0.826678573,0.133531393,0.287682072,1.16315081
NM_GM42_2,0.064538521,0.826678573,0.207639365,0.064538521,0.133531393,0.064538521,0,0.693147181,0.693147181,0.980829253,0.980829253,0.980829253,0.826678573,0.826678573,0.693147181,0.287682072,2.079441542,0.826678573,0.064538521,0.287682072,0.980829253
NM_GM42_20,0.575364145,1.386294361,0.575364145,0.693147181,0.575364145,0.693147181,0.693147181,0,0.826678573,0.980829253,0.980829253,0.980829253,0.693147181,0.575364145,0.826678573,1.16315081,2.079441542,0.826678573,0.826678573,0.470003629,0.693147181
NM_GM42_22,0.693147181,1.673976434,0.693147181,0.693147181,0.575364145,0.693147181,0.693147181,0.826678573,0,0.133531393,0.133531393,0.374693449,0.374693449,0.287682072,0.470003629,0.980829253,1.386294361,1.386294361,0.826678573,0.980829253,1.386294361
NM_GM42_23,0.980829253,1.673976434,0.980829253,0.980829253,0.826678573,0.980829253,0.980829253,0.980829253,0.133531393,0,0,0.207639365,0.374693449,0.470003629,0.693147181,1.16315081,1.386294361,1.386294361,1.16315081,1.386294361,1.673976434
NM_GM42_24,0.980829253,1.673976434,0.980829253,0.980829253,0.826678573,0.980829253,0.980829253,0.980829253,0.133531393,0,0,0.207639365,0.374693449,0.470003629,0.693147181,1.16315081,1.386294361,1.386294361,1.16315081,1.386294361,1.673976434
NM_GM42_26,0.826678573,1.673976434,0.826678573,0.980829253,0.826678573,0.980829253,0.980829253,0.980829253,0.374693449,0.207639365,0.207639365,0,0.470003629,0.470003629,0.980829253,1.16315081,1.386294361,1.386294361,1.16315081,1.16315081,2.079441542
NM_GM42_27,0.826678573,1.16315081,1.16315081,0.826678573,0.980829253,0.826678573,0.826678573,0.693147181,0.374693449,0.374693449,0.374693449,0.470003629,0,0.207639365,0.693147181,0.980829253,2.079441542,0.980829253,0.980829253,1.16315081,0.826678573
NM_GM42_28,0.826678573,1.673976434,0.826678573,0.826678573,0.693147181,0.826678573,0.826678573,0.575364145,0.287682072,0.470003629,0.470003629,0.470003629,0.207639365,0,0.693147181,1.16315081,2.079441542,1.386294361,0.980829253,1.16315081,0.980829253
NM_GM42_29,0.826678573,1.386294361,1.16315081,0.826678573,0.980829253,0.826678573,0.693147181,0.826678573,0.470003629,0.693147181,0.693147181,0.980829253,0.693147181,0.693147181,0,0.980829253,1.386294361,1.16315081,0.826678573,0.826678573,0.826678573
NM_GM42_3,0.374693449,0.826678573,0.575364145,0.374693449,0.470003629,0.374693449,0.287682072,1.16315081,0.980829253,1.16315081,1.16315081,1.16315081,0.980829253,1.16315081,0.980829253,0,2.772588722,0.980829253,0.207639365,0.470003629,0.826678573
NM_GM42_30,2.079441542,2.772588722,2.079441542,2.079441542,2.079441542,2.079441542,2.079441542,2.079441542,1.386294361,1.386294361,1.386294361,1.386294361,2.079441542,2.079441542,1.386294361,2.772588722,0,2.079441542,2.772588722,2.772588722,2.772588722
NM_GM42_5,0.693147181,0.287682072,0.826678573,0.826678573,0.980829253,0.826678573,0.826678573,0.826678573,1.386294361,1.386294361,1.386294361,1.386294361,0.980829253,1.386294361,1.16315081,0.980829253,2.079441542,0,0.826678573,0.693147181,1.16315081
NM_GM42_6,0.133531393,0.826678573,0.287682072,0.133531393,0.207639365,0.133531393,0.064538521,0.826678573,0.826678573,1.16315081,1.16315081,1.16315081,0.980829253,0.980829253,0.826678573,0.207639365,2.772588722,0.826678573,0,0.207639365,0.826678573
NM_GM42_7,0.207639365,0.980829253,0.374693449,0.287682072,0.374693449,0.287682072,0.287682072,0.470003629,0.980829253,1.386294361,1.386294361,1.16315081,1.16315081,1.16315081,0.826678573,0.470003629,2.772588722,0.693147181,0.207639365,0,0.980829253
NM_GM42_8,1.16315081,1.16315081,1.386294361,1.16315081,1.386294361,1.16315081,0.980829253,0.693147181,1.386294361,1.673976434,1.673976434,2.079441542,0.826678573,0.980829253,0.826678573,0.826678573,2.772588722,1.16315081,0.826678573,0.980829253,0
